disease_area,disease,start_year,trial_count
Neoplastic disease,Brain Tumors,1966,1
Disorder of endocrine system,Hypoparathyroidism,1976,1
Cardiovascular disease,Coronary Artery Disease,1982,1
Disorder of skin,Wound Healing,1984,1
Mental illness,Smoking Cessation,1984,1
Disorder of endocrine system,Growth Hormone Deficiency,1985,1
Respiratory disease,Cystic Fibrosis,1986,1
Disorder of endocrine system,Type 2 Diabetes,1988,1
Disorder of endocrine system,Metabolic Syndrome,1989,1
Neurological disorder,Spinal Cord Injury,1989,1
Neurological disorder,Stroke,1989,1
Cardiovascular disease,Hypertension,1990,1
Disorder of digestive system,Short Bowel Syndrome,1990,1
Infection,HIV/AIDS,1990,2
Neoplastic disease,Hodgkin Lymphoma,1990,2
Neoplastic disease,Neuroendocrine Tumors,1990,1
Neoplastic disease,Sarcoma,1990,1
Cardiovascular disease,Hypertension,1991,2
Disorder of endocrine system,Gestational Diabetes,1991,1
Disorder of endocrine system,Growth Hormone Deficiency,1991,1
Disorder of endocrine system,Hypoparathyroidism,1991,1
Disorder of labour / delivery,Preterm Labor,1991,1
Mental illness,Generalized Anxiety Disorder,1991,1
Musculoskeletal disorder,Osteoporosis,1991,1
Neoplastic disease,Neuroendocrine Tumors,1991,1
Respiratory disease,Asthma,1991,1
Cardiovascular disease,Coronary Artery Disease,1992,1
Cardiovascular disease,Hypertension,1992,1
Congenital disease,Lysosomal Storage Disorders,1992,1
Disorder of endocrine system,Metabolic Syndrome,1992,1
Disorder of the genitourinary system,Erectile Dysfunction,1992,1
Infection,HIV/AIDS,1992,1
Mental illness,Postpartum Depression,1992,1
Disorder of endocrine system,Growth Hormone Deficiency,1993,1
Disorder of endocrine system,Hyperparathyroidism,1993,1
Neoplastic disease,Colorectal Cancer,1993,1
Neoplastic disease,Diffuse Large B-Cell Lymphoma,1993,1
Neoplastic disease,Ovarian Cancer,1993,2
Neoplastic disease,Prostate Cancer,1993,1
Neoplastic disease,Small Cell Lung Cancer,1993,1
Respiratory disease,Allergic Rhinitis,1993,1
Respiratory disease,Asthma,1993,1
Disorder of eye,Glaucoma,1994,1
Disorder of the genitourinary system,Endometriosis,1994,1
Infection,HIV/AIDS,1994,1
Mental illness,Major Depressive Disorder,1994,1
Neoplastic disease,Chronic Myeloid Leukemia,1994,1
Neoplastic disease,Colorectal Cancer,1994,1
Neoplastic disease,Glioblastoma,1994,1
Neoplastic disease,Locally Advanced Cancer,1994,1
Neoplastic disease,Prostate Cancer,1994,2
Neoplastic disease,Sarcoma,1994,1
Neurological disorder,Multiple Sclerosis,1994,1
Respiratory disease,Allergic Rhinitis,1994,2
Situation with explicit context,Healthy Volunteers,1994,1
Cardiovascular disease,Hypertension,1995,1
Disorder of endocrine system,Cushing's Syndrome,1995,1
Disorder of endocrine system,Diabetic Nephropathy,1995,1
Disorder of endocrine system,Type 2 Diabetes,1995,1
Disorder of eye,Cataracts,1995,1
Infection,HIV/AIDS,1995,1
Infection,Herpes Zoster,1995,1
Injury,Burns,1995,2
Neoplastic disease,Brain Tumors,1995,1
Neoplastic disease,Breast Cancer,1995,1
Neoplastic disease,Glioblastoma,1995,1
Neoplastic disease,Hodgkin Lymphoma,1995,3
Neoplastic disease,Prostate Cancer,1995,1
Neoplastic disease,Waldenstrom Macroglobulinemia,1995,1
Neurological disorder,Alzheimer's Disease,1995,1
Neurological disorder,Migraine,1995,5
Respiratory disease,Allergic Rhinitis,1995,1
Respiratory disease,Asthma,1995,1
Cardiovascular disease,Heart Failure,1996,1
Disorder of endocrine system,Gestational Diabetes,1996,1
Disorder of immune function,Organ Transplant Rejection,1996,1
Mental illness,Postpartum Depression,1996,1
Mental illness,Schizophrenia,1996,1
Neoplastic disease,Brain Tumors,1996,9
Neoplastic disease,Chronic Myeloid Leukemia,1996,1
Neoplastic disease,Esophageal Cancer,1996,1
Neoplastic disease,Follicular Lymphoma,1996,1
Neoplastic disease,Glioblastoma,1996,5
Neoplastic disease,Hepatocellular Carcinoma,1996,1
Neoplastic disease,Hodgkin Lymphoma,1996,3
Neoplastic disease,Locally Advanced Cancer,1996,1
Neoplastic disease,Melanoma,1996,2
Neoplastic disease,Mesothelioma,1996,1
Neoplastic disease,Metastatic Disease,1996,4
Neoplastic disease,Multiple Myeloma,1996,1
Neoplastic disease,Sarcoma,1996,1
Neurological disorder,Spinal Cord Injury,1996,1
Respiratory disease,Allergic Rhinitis,1996,1
Disorder of endocrine system,Hypoparathyroidism,1997,1
Disorder of endocrine system,Type 2 Diabetes,1997,2
Disorder of haemostatic system,Deep Vein Thrombosis,1997,1
Disorder of haemostatic system,Hemophilia A,1997,1
Disorder of immune function,Graft-versus-Host Disease,1997,1
Disorder of immune function,Rheumatoid Arthritis,1997,1
Disorder of skin,Wound Healing,1997,1
Infection,Cytomegalovirus,1997,1
Infection,Hepatitis C,1997,1
Infection,Herpes Simplex Virus,1997,1
Infection,Osteomyelitis,1997,1
Injury,Burns,1997,1
Mental illness,Alcohol Use Disorder,1997,1
Mental illness,Bipolar Disorder,1997,1
Mental illness,Major Depressive Disorder,1997,1
Mental illness,Schizophrenia,1997,1
Musculoskeletal disorder,Juvenile Idiopathic Arthritis,1997,1
Musculoskeletal disorder,Low Back Pain,1997,1
Neoplastic disease,Bladder Cancer,1997,1
Neoplastic disease,Brain Tumors,1997,3
Neoplastic disease,Breast Cancer,1997,4
Neoplastic disease,Chronic Lymphocytic Leukemia,1997,1
Neoplastic disease,Endometrial Cancer,1997,1
Neoplastic disease,Hodgkin Lymphoma,1997,4
Neoplastic disease,Non-Hodgkin Lymphoma,1997,1
Neoplastic disease,Prostate Cancer,1997,2
Neoplastic disease,Renal Cell Carcinoma,1997,1
Neoplastic disease,Small Cell Lung Cancer,1997,1
Neurological disorder,Trigeminal Neuralgia,1997,1
Respiratory disease,Asthma,1997,1
Blood disease,Anemia,1998,1
Cardiovascular disease,Aortic Stenosis,1998,2
Cardiovascular disease,Atherosclerosis,1998,1
Cardiovascular disease,Coronary Artery Disease,1998,1
Disorder of endocrine system,Gestational Diabetes,1998,2
Disorder of endocrine system,Hypogonadism,1998,1
Disorder of endocrine system,Type 2 Diabetes,1998,1
Disorder of eye,Inherited Retinal Diseases,1998,1
Disorder of immune function,Organ Transplant Rejection,1998,1
Disorder of immune function,Rheumatoid Arthritis,1998,1
Infection,Cytomegalovirus,1998,1
Infection,HIV/AIDS,1998,1
Infection,Influenza,1998,1
Mental illness,Schizophrenia,1998,2
Mental illness,Social Anxiety Disorder,1998,1
Musculoskeletal disorder,Osteoarthritis,1998,1
Neoplastic disease,Acute Myeloid Leukemia,1998,1
Neoplastic disease,Breast Cancer,1998,4
Neoplastic disease,Chronic Myeloid Leukemia,1998,2
Neoplastic disease,Colorectal Cancer,1998,2
Neoplastic disease,Glioblastoma,1998,2
Neoplastic disease,Hepatocellular Carcinoma,1998,2
Neoplastic disease,Hodgkin Lymphoma,1998,10
Neoplastic disease,Locally Advanced Cancer,1998,1
Neoplastic disease,Melanoma,1998,2
Neoplastic disease,Multiple Myeloma,1998,2
Neoplastic disease,Myeloproliferative Neoplasms,1998,1
Neoplastic disease,Non-Small Cell Lung Cancer,1998,1
Neoplastic disease,Ovarian Cancer,1998,1
Neoplastic disease,Prostate Cancer,1998,3
Neoplastic disease,Renal Cell Carcinoma,1998,2
Neurological disorder,Alzheimer's Disease,1998,1
Neurological disorder,Epilepsy,1998,1
Neurological disorder,Stroke,1998,1
Situation with explicit context,Geriatric Population,1998,1
Situation with explicit context,Healthy Volunteers,1998,1
Blood disease,Myelodysplastic Syndromes,1999,2
Blood disease,Sickle Cell Disease,1999,1
Cardiovascular disease,Atherosclerosis,1999,1
Cardiovascular disease,Atrial Fibrillation,1999,1
Cardiovascular disease,Coronary Artery Disease,1999,2
Cardiovascular disease,Familial Hypercholesterolemia,1999,1
Cardiovascular disease,Myocardial Infarction,1999,1
Clinical finding,Acute Pain,1999,1
Congenital disease,Lysosomal Storage Disorders,1999,1
Disorder of digestive system,Chronic Pancreatitis,1999,1
Disorder of endocrine system,Cushing's Syndrome,1999,1
Disorder of endocrine system,Growth Hormone Deficiency,1999,1
Disorder of endocrine system,Menopause Symptoms,1999,1
Disorder of endocrine system,Type 1 Diabetes,1999,1
Disorder of eye,Glaucoma,1999,1
Disorder of haemostatic system,Hemophilia A,1999,1
Disorder of immune function,Organ Transplant Rejection,1999,1
Disorder of labour / delivery,Preterm Labor,1999,1
Infection,Cytomegalovirus,1999,1
Infection,Herpes Simplex Virus,1999,1
Infection,Respiratory Syncytial Virus,1999,1
Infection,Sexually Transmitted Infections,1999,1
Mental illness,Alcohol Use Disorder,1999,1
Mental illness,Attention Deficit Hyperactivity Disorder,1999,1
Mental illness,Panic Disorder,1999,1
Mental illness,Schizophrenia,1999,1
Mental illness,Smoking Cessation,1999,1
Musculoskeletal disorder,Fibromyalgia,1999,1
Musculoskeletal disorder,Osteoarthritis,1999,2
Musculoskeletal disorder,Osteoporosis,1999,1
Neoplastic disease,Acute Lymphoblastic Leukemia,1999,1
Neoplastic disease,Brain Tumors,1999,2
Neoplastic disease,Breast Cancer,1999,9
Neoplastic disease,Cervical Cancer,1999,3
Neoplastic disease,Chronic Myeloid Leukemia,1999,8
Neoplastic disease,Diffuse Large B-Cell Lymphoma,1999,1
Neoplastic disease,Endometrial Cancer,1999,3
Neoplastic disease,Gastric Cancer,1999,1
Neoplastic disease,Glioblastoma,1999,1
Neoplastic disease,Head and Neck Cancer,1999,1
Neoplastic disease,Hepatocellular Carcinoma,1999,1
Neoplastic disease,Hodgkin Lymphoma,1999,2
Neoplastic disease,Locally Advanced Cancer,1999,1
Neoplastic disease,Melanoma,1999,2
Neoplastic disease,Multiple Myeloma,1999,1
Neoplastic disease,Myeloproliferative Neoplasms,1999,1
Neoplastic disease,Non-Hodgkin Lymphoma,1999,2
Neoplastic disease,Non-Small Cell Lung Cancer,1999,1
Neoplastic disease,Prostate Cancer,1999,4
Neoplastic disease,Recurrent Cancer,1999,4
Neoplastic disease,Renal Cell Carcinoma,1999,1
Neoplastic disease,Small Cell Lung Cancer,1999,3
Neoplastic disease,Solid Tumors (Advanced),1999,1
Neurological disorder,Parkinson's Disease,1999,1
Neurological disorder,Stroke,1999,1
Procedure,Blood Transfusion,1999,1
Respiratory disease,Allergic Rhinitis,1999,1
Respiratory disease,Chronic Obstructive Pulmonary Disease,1999,1
Respiratory disease,Pulmonary Arterial Hypertension,1999,2
Sleep disorder,Insomnia,1999,1
Blood disease,Anemia,2000,1
Blood disease,Myelodysplastic Syndromes,2000,2
Blood disease,Sickle Cell Disease,2000,1
Cardiovascular disease,Atherosclerosis,2000,1
Cardiovascular disease,Cardiomyopathy,2000,1
Cardiovascular disease,Coronary Artery Disease,2000,3
Cardiovascular disease,Heart Failure,2000,2
Cardiovascular disease,Ventricular Arrhythmias,2000,1
Clinical finding,Acute Pain,2000,1
Congenital disease,Lysosomal Storage Disorders,2000,2
Disorder of digestive system,Acute Pancreatitis,2000,1
Disorder of digestive system,Inflammatory Bowel Disease,2000,1
Disorder of digestive system,Short Bowel Syndrome,2000,1
Disorder of digestive system,Ulcerative Colitis,2000,2
Disorder of ear,Meniere's Disease,2000,1
Disorder of endocrine system,Diabetic Neuropathy,2000,1
Disorder of endocrine system,Gestational Diabetes,2000,4
Disorder of endocrine system,Menopause Symptoms,2000,2
Disorder of endocrine system,Metabolic Syndrome,2000,1
Disorder of endocrine system,Obesity,2000,2
Disorder of endocrine system,Type 1 Diabetes,2000,4
Disorder of endocrine system,Type 2 Diabetes,2000,4
Disorder of eye,Conjunctivitis,2000,1
Disorder of eye,Dry Eye Disease,2000,1
Disorder of eye,Glaucoma,2000,1
Disorder of eye,Retinal Vein Occlusion,2000,1
Disorder of haemostatic system,Hemophilia A,2000,1
Disorder of immune function,Organ Transplant Rejection,2000,3
Disorder of immune function,Rheumatoid Arthritis,2000,4
Disorder of skin,Wound Healing,2000,1
Disorder of the genitourinary system,Chronic Kidney Disease,2000,1
Disorder of the genitourinary system,Erectile Dysfunction,2000,1
Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,2000,1
Disorder of the genitourinary system,Uterine Fibroids,2000,1
Infection,Cytomegalovirus,2000,3
Infection,Fungal Infection,2000,1
Infection,HIV/AIDS,2000,4
Infection,Hepatitis C,2000,2
Infection,Herpes Simplex Virus,2000,1
Infection,Malaria,2000,1
Infection,Respiratory Syncytial Virus,2000,1
Injury,Trauma,2000,1
Mental illness,Alcohol Use Disorder,2000,2
Mental illness,Anorexia,2000,2
Mental illness,Attention Deficit Hyperactivity Disorder,2000,1
Mental illness,Major Depressive Disorder,2000,1
Mental illness,Postpartum Depression,2000,1
Mental illness,Schizophrenia,2000,4
Musculoskeletal disorder,Juvenile Idiopathic Arthritis,2000,1
Musculoskeletal disorder,Osteoarthritis,2000,1
Musculoskeletal disorder,Osteoporosis,2000,2
Neoplastic disease,Acute Lymphoblastic Leukemia,2000,5
Neoplastic disease,Acute Myeloid Leukemia,2000,2
Neoplastic disease,Brain Tumors,2000,2
Neoplastic disease,Breast Cancer,2000,10
Neoplastic disease,Chronic Myeloid Leukemia,2000,6
Neoplastic disease,Colorectal Cancer,2000,1
Neoplastic disease,Endometrial Cancer,2000,1
Neoplastic disease,Glioblastoma,2000,1
Neoplastic disease,Head and Neck Cancer,2000,2
Neoplastic disease,Hematologic Malignancies General,2000,4
Neoplastic disease,Hodgkin Lymphoma,2000,6
Neoplastic disease,Locally Advanced Cancer,2000,4
Neoplastic disease,Mantle Cell Lymphoma,2000,3
Neoplastic disease,Melanoma,2000,2
Neoplastic disease,Metastatic Disease,2000,1
Neoplastic disease,Multiple Myeloma,2000,3
Neoplastic disease,Non-Hodgkin Lymphoma,2000,1
Neoplastic disease,Non-Small Cell Lung Cancer,2000,1
Neoplastic disease,Ovarian Cancer,2000,2
Neoplastic disease,Prostate Cancer,2000,4
Neoplastic disease,Small Cell Lung Cancer,2000,5
Neurological disorder,Alzheimer's Disease,2000,1
Neurological disorder,Chronic Pain,2000,1
Neurological disorder,Dementia,2000,1
Neurological disorder,Epilepsy,2000,3
Neurological disorder,Multiple Sclerosis,2000,1
Neurological disorder,Neuropathic Pain,2000,1
Neurological disorder,Parkinson's Disease,2000,1
Neurological disorder,Spinal Cord Injury,2000,1
Respiratory disease,Acute Respiratory Distress Syndrome,2000,1
Respiratory disease,Allergic Rhinitis,2000,2
Respiratory disease,Asthma,2000,1
Situation with explicit context,Contraception,2000,1
Situation with explicit context,Healthy Volunteers,2000,4
Blood disease,Anemia,2001,1
Blood disease,Immune Thrombocytopenia,2001,1
Cardiovascular disease,Aortic Stenosis,2001,4
Cardiovascular disease,Atrial Fibrillation,2001,1
Cardiovascular disease,Coronary Artery Disease,2001,4
Cardiovascular disease,Familial Hypercholesterolemia,2001,1
Cardiovascular disease,Heart Failure,2001,3
Cardiovascular disease,Myocardial Infarction,2001,4
Cardiovascular disease,Peripheral Artery Disease,2001,1
Clinical finding,Acute Pain,2001,1
Congenital disease,Lysosomal Storage Disorders,2001,5
Disorder of body system,Cachexia,2001,1
Disorder of digestive system,Gastroesophageal Reflux Disease,2001,1
Disorder of digestive system,Gastroparesis,2001,1
Disorder of digestive system,Irritable Bowel Syndrome,2001,1
Disorder of digestive system,Malnutrition,2001,1
Disorder of digestive system,Ulcerative Colitis,2001,1
Disorder of endocrine system,Gestational Diabetes,2001,2
Disorder of endocrine system,Hypogonadism,2001,1
Disorder of endocrine system,Metabolic Syndrome,2001,1
Disorder of endocrine system,Obesity,2001,1
Disorder of endocrine system,Type 1 Diabetes,2001,3
Disorder of endocrine system,Type 2 Diabetes,2001,2
Disorder of eye,Age-Related Macular Degeneration,2001,1
Disorder of eye,Conjunctivitis,2001,1
Disorder of eye,Diabetic Retinopathy,2001,1
Disorder of eye,Inherited Retinal Diseases,2001,1
Disorder of haemostatic system,Venous Thromboembolism,2001,1
Disorder of immune function,Graft-versus-Host Disease,2001,1
Disorder of immune function,Organ Transplant Rejection,2001,2
Disorder of immune function,Rheumatoid Arthritis,2001,1
Disorder of immune function,Sarcoidosis,2001,1
Disorder of immune function,Systemic Sclerosis,2001,1
Disorder of labour / delivery,Preterm Labor,2001,1
Disorder of skin,Alopecia Areata,2001,1
Disorder of the genitourinary system,End-Stage Renal Disease,2001,1
Disorder of the genitourinary system,Pregnancy Study,2001,1
Disorder of the genitourinary system,Urinary Incontinence,2001,1
Infection,HIV/AIDS,2001,10
Infection,Hepatitis B,2001,5
Infection,Hepatitis C,2001,3
Infection,Respiratory Syncytial Virus,2001,1
Infection,Tuberculosis,2001,1
Injury,Trauma,2001,1
Mental illness,Alcohol Use Disorder,2001,7
Mental illness,Attention Deficit Hyperactivity Disorder,2001,1
Mental illness,Bipolar Disorder,2001,1
Mental illness,Major Depressive Disorder,2001,3
Mental illness,Post-Traumatic Stress Disorder,2001,1
Mental illness,Schizophrenia,2001,5
Mental illness,Smoking Cessation,2001,1
Mental illness,Substance Use Disorder,2001,1
Musculoskeletal disorder,Bone Fracture,2001,1
Musculoskeletal disorder,Fibromyalgia,2001,1
Musculoskeletal disorder,Gout,2001,2
Musculoskeletal disorder,Juvenile Idiopathic Arthritis,2001,1
Musculoskeletal disorder,Osteoarthritis,2001,5
Musculoskeletal disorder,Osteoporosis,2001,4
Neoplastic disease,Acute Lymphoblastic Leukemia,2001,2
Neoplastic disease,Acute Myeloid Leukemia,2001,4
Neoplastic disease,Bladder Cancer,2001,3
Neoplastic disease,Brain Tumors,2001,6
Neoplastic disease,Breast Cancer,2001,16
Neoplastic disease,Cervical Cancer,2001,3
Neoplastic disease,Chronic Myeloid Leukemia,2001,9
Neoplastic disease,Colorectal Cancer,2001,4
Neoplastic disease,Endometrial Cancer,2001,3
Neoplastic disease,Esophageal Cancer,2001,1
Neoplastic disease,Follicular Lymphoma,2001,2
Neoplastic disease,Gastric Cancer,2001,1
Neoplastic disease,Head and Neck Cancer,2001,1
Neoplastic disease,Hepatocellular Carcinoma,2001,1
Neoplastic disease,Hodgkin Lymphoma,2001,4
Neoplastic disease,Locally Advanced Cancer,2001,1
Neoplastic disease,Mantle Cell Lymphoma,2001,2
Neoplastic disease,Metastatic Disease,2001,2
Neoplastic disease,Multiple Myeloma,2001,3
Neoplastic disease,Myeloproliferative Neoplasms,2001,1
Neoplastic disease,Neuroendocrine Tumors,2001,3
Neoplastic disease,Non-Hodgkin Lymphoma,2001,1
Neoplastic disease,Non-Small Cell Lung Cancer,2001,1
Neoplastic disease,Ovarian Cancer,2001,3
Neoplastic disease,Pancreatic Cancer,2001,1
Neoplastic disease,Prostate Cancer,2001,10
Neoplastic disease,Recurrent Cancer,2001,3
Neoplastic disease,Sarcoma,2001,1
Neoplastic disease,Small Cell Lung Cancer,2001,4
Neoplastic disease,Solid Tumors (Advanced),2001,3
Neoplastic disease,Thyroid Cancer,2001,2
Neurological disorder,Alzheimer's Disease,2001,1
Neurological disorder,Chronic Pain,2001,4
Neurological disorder,Epilepsy,2001,6
Neurological disorder,Essential Tremor,2001,2
Neurological disorder,Migraine,2001,1
Neurological disorder,Multiple Sclerosis,2001,4
Neurological disorder,Spinal Cord Injury,2001,1
Neurological disorder,Stroke,2001,1
Procedure,Mechanical Ventilation,2001,2
Procedure,Surgical Procedures,2001,1
Respiratory disease,Acute Respiratory Distress Syndrome,2001,1
Respiratory disease,Allergic Rhinitis,2001,4
Respiratory disease,Asthma,2001,1
Respiratory disease,Chronic Obstructive Pulmonary Disease,2001,2
Respiratory disease,Pulmonary Arterial Hypertension,2001,1
Situation with explicit context,Geriatric Population,2001,1
Situation with explicit context,Healthy Volunteers,2001,8
Blood disease,Anemia,2002,5
Blood disease,Immune Thrombocytopenia,2002,2
Blood disease,Myelodysplastic Syndromes,2002,4
Blood disease,Sickle Cell Disease,2002,2
Blood disease,Thrombotic Thrombocytopenic Purpura,2002,1
Cardiovascular disease,Aortic Stenosis,2002,4
Cardiovascular disease,Atherosclerosis,2002,2
Cardiovascular disease,Coronary Artery Disease,2002,4
Cardiovascular disease,Heart Failure,2002,2
Cardiovascular disease,Hyperlipidemia,2002,1
Cardiovascular disease,Hypertension,2002,3
Cardiovascular disease,Myocardial Infarction,2002,1
Clinical finding,Acute Pain,2002,7
Clinical finding,Fatigue,2002,1
Congenital disease,Lysosomal Storage Disorders,2002,4
Disorder of body system,Multiple Organ Failure,2002,1
Disorder of digestive system,Chronic Pancreatitis,2002,2
Disorder of digestive system,Constipation,2002,2
Disorder of digestive system,Crohn's Disease,2002,4
Disorder of digestive system,Gastroesophageal Reflux Disease,2002,1
Disorder of digestive system,Gastroparesis,2002,1
Disorder of digestive system,Irritable Bowel Syndrome,2002,1
Disorder of digestive system,Nonalcoholic Fatty Liver Disease,2002,1
Disorder of digestive system,Peptic Ulcer Disease,2002,1
Disorder of digestive system,Ulcerative Colitis,2002,2
Disorder of endocrine system,Addison's Disease,2002,1
Disorder of endocrine system,Cushing's Syndrome,2002,1
Disorder of endocrine system,Diabetic Nephropathy,2002,1
Disorder of endocrine system,Gestational Diabetes,2002,4
Disorder of endocrine system,Hyperparathyroidism,2002,1
Disorder of endocrine system,Hypoparathyroidism,2002,1
Disorder of endocrine system,Hypothyroidism,2002,1
Disorder of endocrine system,Metabolic Syndrome,2002,1
Disorder of endocrine system,Obesity,2002,2
Disorder of endocrine system,Polycystic Ovary Syndrome,2002,1
Disorder of endocrine system,Type 1 Diabetes,2002,4
Disorder of endocrine system,Type 2 Diabetes,2002,2
Disorder of eye,Glaucoma,2002,1
Disorder of eye,Inherited Retinal Diseases,2002,1
Disorder of eye,Retinal Vein Occlusion,2002,1
Disorder of haemostatic system,Deep Vein Thrombosis,2002,2
Disorder of haemostatic system,Hemophilia A,2002,1
Disorder of haemostatic system,Venous Thromboembolism,2002,1
Disorder of immune function,Graft-versus-Host Disease,2002,2
Disorder of immune function,Lupus Nephritis,2002,1
Disorder of immune function,Organ Transplant Rejection,2002,5
Disorder of immune function,Primary Immunodeficiency,2002,1
Disorder of immune function,Rheumatoid Arthritis,2002,7
Disorder of immune function,Sarcoidosis,2002,2
Disorder of labour / delivery,Preterm Labor,2002,1
Disorder of skin,Atopic Dermatitis,2002,1
Disorder of skin,Psoriasis,2002,1
Disorder of skin,Rosacea,2002,1
Disorder of skin,Wound Healing,2002,1
Disorder of the genitourinary system,Chronic Kidney Disease,2002,2
Disorder of the genitourinary system,End-Stage Renal Disease,2002,2
Disorder of the genitourinary system,Erectile Dysfunction,2002,1
Disorder of the genitourinary system,IgA Nephropathy,2002,1
Disorder of the genitourinary system,Overactive Bladder,2002,1
Disorder of the genitourinary system,Urinary Incontinence,2002,2
Infection,Fungal Infection,2002,2
Infection,HIV/AIDS,2002,8
Infection,Hepatitis B,2002,1
Infection,Hepatitis C,2002,5
Infection,Pneumonia,2002,1
Infection,Respiratory Syncytial Virus,2002,2
Infection,Tuberculosis,2002,1
Injury,Overdose,2002,1
Mental illness,Alcohol Use Disorder,2002,4
Mental illness,Anorexia,2002,2
Mental illness,Autism Spectrum Disorder,2002,2
Mental illness,Bipolar Disorder,2002,1
Mental illness,Delirium,2002,1
Mental illness,Major Depressive Disorder,2002,6
Mental illness,Opioid Use Disorder,2002,1
Mental illness,Post-Traumatic Stress Disorder,2002,1
Mental illness,Postpartum Depression,2002,1
Mental illness,Schizophrenia,2002,11
Mental illness,Smoking Cessation,2002,1
Mental illness,Social Anxiety Disorder,2002,5
Mental illness,Substance Use Disorder,2002,1
Musculoskeletal disorder,Bone Fracture,2002,1
Musculoskeletal disorder,Fibromyalgia,2002,2
Musculoskeletal disorder,Gout,2002,3
Musculoskeletal disorder,Juvenile Idiopathic Arthritis,2002,1
Musculoskeletal disorder,Low Back Pain,2002,1
Musculoskeletal disorder,Osteoarthritis,2002,9
Musculoskeletal disorder,Osteoporosis,2002,9
Musculoskeletal disorder,Psoriatic Arthritis,2002,1
Neoplastic disease,Acute Lymphoblastic Leukemia,2002,4
Neoplastic disease,Acute Myeloid Leukemia,2002,2
Neoplastic disease,Bladder Cancer,2002,1
Neoplastic disease,Brain Tumors,2002,5
Neoplastic disease,Breast Cancer,2002,25
Neoplastic disease,Cancer Immunotherapy,2002,2
Neoplastic disease,Cancer Supportive Care,2002,1
Neoplastic disease,Cervical Cancer,2002,4
Neoplastic disease,Cholangiocarcinoma,2002,3
Neoplastic disease,Chronic Lymphocytic Leukemia,2002,2
Neoplastic disease,Chronic Myeloid Leukemia,2002,6
Neoplastic disease,Colorectal Cancer,2002,2
Neoplastic disease,Endometrial Cancer,2002,1
Neoplastic disease,Esophageal Cancer,2002,3
Neoplastic disease,Follicular Lymphoma,2002,3
Neoplastic disease,Gastric Cancer,2002,1
Neoplastic disease,Glioblastoma,2002,6
Neoplastic disease,Head and Neck Cancer,2002,5
Neoplastic disease,Hematologic Malignancies General,2002,1
Neoplastic disease,Hepatocellular Carcinoma,2002,3
Neoplastic disease,Hodgkin Lymphoma,2002,11
Neoplastic disease,Melanoma,2002,4
Neoplastic disease,Metastatic Disease,2002,1
Neoplastic disease,Multiple Myeloma,2002,7
Neoplastic disease,Myeloproliferative Neoplasms,2002,1
Neoplastic disease,Neuroendocrine Tumors,2002,3
Neoplastic disease,Non-Hodgkin Lymphoma,2002,1
Neoplastic disease,Non-Small Cell Lung Cancer,2002,5
Neoplastic disease,Ovarian Cancer,2002,5
Neoplastic disease,Pancreatic Cancer,2002,3
Neoplastic disease,Prostate Cancer,2002,13
Neoplastic disease,Recurrent Cancer,2002,2
Neoplastic disease,Renal Cell Carcinoma,2002,3
Neoplastic disease,Sarcoma,2002,1
Neoplastic disease,Small Cell Lung Cancer,2002,8
Neoplastic disease,Solid Tumors (Advanced),2002,1
Neurological disorder,Alzheimer's Disease,2002,1
Neurological disorder,Chronic Pain,2002,1
Neurological disorder,Epilepsy,2002,7
Neurological disorder,Migraine,2002,1
Neurological disorder,Multiple Sclerosis,2002,7
Neurological disorder,Myasthenia Gravis,2002,2
Neurological disorder,Parkinson's Disease,2002,6
Neurological disorder,Spinal Cord Injury,2002,4
Neurological disorder,Spinal Muscular Atrophy,2002,2
Neurological disorder,Stroke,2002,5
Neurological disorder,Trigeminal Neuralgia,2002,1
Procedure,Surgical Procedures,2002,1
Respiratory disease,Allergic Asthma,2002,1
Respiratory disease,Asthma,2002,1
Respiratory disease,Chronic Obstructive Pulmonary Disease,2002,4
Respiratory disease,Neonatal Respiratory Distress,2002,1
Situation with explicit context,Contraception,2002,1
Situation with explicit context,Geriatric Population,2002,1
Situation with explicit context,Healthy Volunteers,2002,37
Sleep disorder,Insomnia,2002,1
Blood disease,Anemia,2003,11
Blood disease,Immune Thrombocytopenia,2003,2
Blood disease,Myelodysplastic Syndromes,2003,4
Blood disease,Sickle Cell Disease,2003,1
Cardiovascular disease,Aortic Stenosis,2003,3
Cardiovascular disease,Atherosclerosis,2003,3
Cardiovascular disease,Atrial Fibrillation,2003,7
Cardiovascular disease,Coronary Artery Disease,2003,6
Cardiovascular disease,Familial Hypercholesterolemia,2003,2
Cardiovascular disease,Heart Failure,2003,8
Cardiovascular disease,Hyperlipidemia,2003,1
Cardiovascular disease,Hypertension,2003,4
Cardiovascular disease,Mitral Regurgitation,2003,1
Cardiovascular disease,Myocardial Infarction,2003,6
Cardiovascular disease,Peripheral Artery Disease,2003,1
Cardiovascular disease,Shock,2003,1
Cardiovascular disease,Ventricular Arrhythmias,2003,1
Clinical finding,Acute Pain,2003,7
Clinical finding,Fever,2003,1
Congenital disease,Lysosomal Storage Disorders,2003,4
Disorder of body system,Multiple Organ Failure,2003,2
Disorder of digestive system,Acute Pancreatitis,2003,1
Disorder of digestive system,Chronic Pancreatitis,2003,2
Disorder of digestive system,Constipation,2003,1
