outcome_normalized,completion_period,outcome_trial_count,period_trial_count,percentage
CHANGE IN CREATININE,2011-2015,70,19618,0.3568
CHANGE IN CREATININE,2016-2020,87,22670,0.3838
CHANGE IN CREATININE,2021-2025,57,18711,0.3046
CHANGE IN CRP,2006-2010,69,10330,0.6680
CHANGE IN CRP,2011-2015,123,19618,0.6270
CHANGE IN CRP,2016-2020,138,22670,0.6087
CHANGE IN CRP,2021-2025,97,18711,0.5184
CHANGE IN DAS28 SCORE,2006-2010,58,10330,0.5615
CHANGE IN DAS28 SCORE,2011-2015,162,19618,0.8258
CHANGE IN DAS28 SCORE,2016-2020,108,22670,0.4764
CHANGE IN DAS28 SCORE,2021-2025,31,18711,0.1657
CHANGE IN DEPRESSION SCORE,2006-2010,6,10330,0.0581
CHANGE IN DEPRESSION SCORE,2011-2015,5,19618,0.0255
CHANGE IN DEPRESSION SCORE,2016-2020,11,22670,0.0485
CHANGE IN DEPRESSION SCORE,2021-2025,29,18711,0.1550
CHANGE IN DIASTOLIC BLOOD PRESSURE,2006-2010,55,10330,0.5324
CHANGE IN DIASTOLIC BLOOD PRESSURE,2011-2015,74,19618,0.3772
CHANGE IN DIASTOLIC BLOOD PRESSURE,2016-2020,83,22670,0.3661
CHANGE IN DIASTOLIC BLOOD PRESSURE,2021-2025,66,18711,0.3527
CHANGE IN DLQI SCORE,2006-2010,19,10330,0.1839
CHANGE IN DLQI SCORE,2011-2015,44,19618,0.2243
CHANGE IN DLQI SCORE,2016-2020,110,22670,0.4852
CHANGE IN DLQI SCORE,2021-2025,80,18711,0.4276
CHANGE IN DYSPNEA SCORE,2006-2010,6,10330,0.0581
CHANGE IN DYSPNEA SCORE,2011-2015,16,19618,0.0816
CHANGE IN DYSPNEA SCORE,2016-2020,26,22670,0.1147
CHANGE IN DYSPNEA SCORE,2021-2025,18,18711,0.0962
CHANGE IN ECOG PERFORMANCE STATUS,2006-2010,4,10330,0.0387
CHANGE IN ECOG PERFORMANCE STATUS,2011-2015,14,19618,0.0714
CHANGE IN ECOG PERFORMANCE STATUS,2016-2020,24,22670,0.1059
CHANGE IN ECOG PERFORMANCE STATUS,2021-2025,23,18711,0.1229
CHANGE IN EDSS SCORE,2006-2010,4,10330,0.0387
CHANGE IN EDSS SCORE,2011-2015,29,19618,0.1478
CHANGE IN EDSS SCORE,2016-2020,31,22670,0.1367
CHANGE IN EDSS SCORE,2021-2025,27,18711,0.1443
CHANGE IN EGFR,2006-2010,24,10330,0.2323
CHANGE IN EGFR,2011-2015,67,19618,0.3415
CHANGE IN EGFR,2016-2020,115,22670,0.5073
CHANGE IN EGFR,2021-2025,87,18711,0.4650
CHANGE IN EJECTION FRACTION,2006-2010,16,10330,0.1549
CHANGE IN EJECTION FRACTION,2011-2015,48,19618,0.2447
CHANGE IN EJECTION FRACTION,2016-2020,58,22670,0.2558
CHANGE IN EJECTION FRACTION,2021-2025,35,18711,0.1871
CHANGE IN EORTC QLQ-C30 SCORE,2006-2010,11,10330,0.1065
CHANGE IN EORTC QLQ-C30 SCORE,2011-2015,27,19618,0.1376
CHANGE IN EORTC QLQ-C30 SCORE,2016-2020,70,22670,0.3088
CHANGE IN EORTC QLQ-C30 SCORE,2021-2025,106,18711,0.5665
CHANGE IN EQ-5D SCORE,2006-2010,51,10330,0.4937
CHANGE IN EQ-5D SCORE,2011-2015,141,19618,0.7187
CHANGE IN EQ-5D SCORE,2016-2020,195,22670,0.8602
CHANGE IN EQ-5D SCORE,2021-2025,166,18711,0.8872
CHANGE IN EQ-5D VAS SCORE,2006-2010,12,10330,0.1162
CHANGE IN EQ-5D VAS SCORE,2011-2015,33,19618,0.1682
CHANGE IN EQ-5D VAS SCORE,2016-2020,34,22670,0.1500
CHANGE IN EQ-5D VAS SCORE,2021-2025,20,18711,0.1069
CHANGE IN EQ-5D-5L SCORE,2011-2015,10,19618,0.0510
CHANGE IN EQ-5D-5L SCORE,2016-2020,40,22670,0.1764
CHANGE IN EQ-5D-5L SCORE,2021-2025,50,18711,0.2672
CHANGE IN EQ-5D-5L VAS SCORE,2016-2020,26,22670,0.1147
CHANGE IN EQ-5D-5L VAS SCORE,2021-2025,32,18711,0.1710
CHANGE IN ESR,2006-2010,18,10330,0.1742
CHANGE IN ESR,2011-2015,52,19618,0.2651
CHANGE IN ESR,2016-2020,29,22670,0.1279
CHANGE IN ESR,2021-2025,14,18711,0.0748
CHANGE IN FACIT-FATIGUE SCORE,2006-2010,6,10330,0.0581
CHANGE IN FACIT-FATIGUE SCORE,2011-2015,6,19618,0.0306
CHANGE IN FACIT-FATIGUE SCORE,2016-2020,19,22670,0.0838
CHANGE IN FACIT-FATIGUE SCORE,2021-2025,30,18711,0.1603
CHANGE IN FASTING GLUCOSE,2006-2010,15,10330,0.1452
CHANGE IN FASTING GLUCOSE,2011-2015,16,19618,0.0816
CHANGE IN FASTING GLUCOSE,2016-2020,25,22670,0.1103
CHANGE IN FASTING GLUCOSE,2021-2025,24,18711,0.1283
CHANGE IN FASTING INSULIN,2006-2010,20,10330,0.1936
CHANGE IN FASTING INSULIN,2011-2015,17,19618,0.0867
CHANGE IN FASTING INSULIN,2016-2020,25,22670,0.1103
CHANGE IN FASTING INSULIN,2021-2025,18,18711,0.0962
CHANGE IN FASTING PLASMA GLUCOSE,2006-2010,175,10330,1.6941
CHANGE IN FASTING PLASMA GLUCOSE,2011-2015,239,19618,1.2183
CHANGE IN FASTING PLASMA GLUCOSE,2016-2020,229,22670,1.0101
CHANGE IN FASTING PLASMA GLUCOSE,2021-2025,76,18711,0.4062
CHANGE IN FASTING SERUM GLUCOSE,2006-2010,10,10330,0.0968
CHANGE IN FASTING SERUM GLUCOSE,2011-2015,13,19618,0.0663
CHANGE IN FASTING SERUM GLUCOSE,2016-2020,7,22670,0.0309
CHANGE IN FASTING SERUM GLUCOSE,2021-2025,12,18711,0.0641
CHANGE IN FATIGUE SCORE,2006-2010,9,10330,0.0871
CHANGE IN FATIGUE SCORE,2011-2015,20,19618,0.1019
CHANGE IN FATIGUE SCORE,2016-2020,30,22670,0.1323
CHANGE IN FATIGUE SCORE,2021-2025,36,18711,0.1924
CHANGE IN FERRITIN,2006-2010,9,10330,0.0871
CHANGE IN FERRITIN,2011-2015,29,19618,0.1478
CHANGE IN FERRITIN,2016-2020,47,22670,0.2073
CHANGE IN FERRITIN,2021-2025,34,18711,0.1817
CHANGE IN FEV1,2006-2010,28,10330,0.2711
CHANGE IN FEV1,2011-2015,37,19618,0.1886
CHANGE IN FEV1,2016-2020,24,22670,0.1059
CHANGE IN FEV1,2021-2025,19,18711,0.1015
CHANGE IN FORCED VITAL CAPACITY,2006-2010,10,10330,0.0968
CHANGE IN FORCED VITAL CAPACITY,2011-2015,7,19618,0.0357
CHANGE IN FORCED VITAL CAPACITY,2016-2020,20,22670,0.0882
CHANGE IN FORCED VITAL CAPACITY,2021-2025,11,18711,0.0588
CHANGE IN GAD-7 SCORE,2011-2015,12,19618,0.0612
CHANGE IN GAD-7 SCORE,2016-2020,68,22670,0.3000
CHANGE IN GAD-7 SCORE,2021-2025,163,18711,0.8711
CHANGE IN HADS SCORE,2006-2010,20,10330,0.1936
CHANGE IN HADS SCORE,2011-2015,12,19618,0.0612
CHANGE IN HADS SCORE,2016-2020,32,22670,0.1412
CHANGE IN HADS SCORE,2021-2025,35,18711,0.1871
CHANGE IN HAM-A SCORE,2006-2010,53,10330,0.5131
CHANGE IN HAM-A SCORE,2011-2015,35,19618,0.1784
CHANGE IN HAM-A SCORE,2016-2020,34,22670,0.1500
CHANGE IN HAM-A SCORE,2021-2025,26,18711,0.1390
CHANGE IN HAM-D SCORE,2006-2010,80,10330,0.7744
CHANGE IN HAM-D SCORE,2011-2015,88,19618,0.4486
CHANGE IN HAM-D SCORE,2016-2020,71,22670,0.3132
CHANGE IN HAM-D SCORE,2021-2025,48,18711,0.2565
CHANGE IN HAQ-DI SCORE,2006-2010,41,10330,0.3969
CHANGE IN HAQ-DI SCORE,2011-2015,128,19618,0.6525
CHANGE IN HAQ-DI SCORE,2016-2020,115,22670,0.5073
CHANGE IN HAQ-DI SCORE,2021-2025,46,18711,0.2458
CHANGE IN HDL CHOLESTEROL,2006-2010,76,10330,0.7357
CHANGE IN HDL CHOLESTEROL,2011-2015,111,19618,0.5658
CHANGE IN HDL CHOLESTEROL,2016-2020,124,22670,0.5470
CHANGE IN HDL CHOLESTEROL,2021-2025,57,18711,0.3046
CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,2006-2010,8,10330,0.0774
CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,2011-2015,8,19618,0.0408
CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,2016-2020,18,22670,0.0794
CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,2021-2025,18,18711,0.0962
CHANGE IN HEART RATE,2006-2010,101,10330,0.9777
CHANGE IN HEART RATE,2011-2015,156,19618,0.7952
CHANGE IN HEART RATE,2016-2020,246,22670,1.0851
CHANGE IN HEART RATE,2021-2025,151,18711,0.8070
CHANGE IN HEMATOCRIT,2006-2010,17,10330,0.1646
CHANGE IN HEMATOCRIT,2011-2015,22,19618,0.1121
CHANGE IN HEMATOCRIT,2016-2020,28,22670,0.1235
CHANGE IN HEMATOCRIT,2021-2025,27,18711,0.1443
CHANGE IN HEMOGLOBIN,2006-2010,95,10330,0.9197
CHANGE IN HEMOGLOBIN,2011-2015,146,19618,0.7442
CHANGE IN HEMOGLOBIN,2016-2020,243,22670,1.0719
CHANGE IN HEMOGLOBIN,2021-2025,157,18711,0.8391
CHANGE IN HEMOGLOBIN A1C,2006-2010,267,10330,2.5847
CHANGE IN HEMOGLOBIN A1C,2011-2015,421,19618,2.1460
CHANGE IN HEMOGLOBIN A1C,2016-2020,455,22670,2.0071
CHANGE IN HEMOGLOBIN A1C,2021-2025,295,18711,1.5766
CHANGE IN HOMA-IR,2006-2010,7,10330,0.0678
CHANGE IN HOMA-IR,2011-2015,23,19618,0.1172
CHANGE IN HOMA-IR,2016-2020,31,22670,0.1367
CHANGE IN HOMA-IR,2021-2025,17,18711,0.0909
CHANGE IN HSCRP,2006-2010,12,10330,0.1162
CHANGE IN HSCRP,2011-2015,30,19618,0.1529
CHANGE IN HSCRP,2016-2020,31,22670,0.1367
CHANGE IN HSCRP,2021-2025,18,18711,0.0962
CHANGE IN INR,2006-2010,6,10330,0.0581
CHANGE IN INR,2011-2015,16,19618,0.0816
CHANGE IN INR,2016-2020,29,22670,0.1279
CHANGE IN INR,2021-2025,25,18711,0.1336
CHANGE IN INSOMNIA SEVERITY INDEX SCORE,2006-2010,2,10330,0.0194
CHANGE IN INSOMNIA SEVERITY INDEX SCORE,2011-2015,9,19618,0.0459
CHANGE IN INSOMNIA SEVERITY INDEX SCORE,2016-2020,16,22670,0.0706
CHANGE IN INSOMNIA SEVERITY INDEX SCORE,2021-2025,22,18711,0.1176
CHANGE IN INSULIN SENSITIVITY,2006-2010,9,10330,0.0871
CHANGE IN INSULIN SENSITIVITY,2011-2015,18,19618,0.0918
CHANGE IN INSULIN SENSITIVITY,2016-2020,15,22670,0.0662
CHANGE IN INSULIN SENSITIVITY,2021-2025,10,18711,0.0534
CHANGE IN INTRAOCULAR PRESSURE,2006-2010,5,10330,0.0484
CHANGE IN INTRAOCULAR PRESSURE,2011-2015,17,19618,0.0867
CHANGE IN INTRAOCULAR PRESSURE,2016-2020,23,22670,0.1015
CHANGE IN INTRAOCULAR PRESSURE,2021-2025,10,18711,0.0534
CHANGE IN KCCQ SCORE,2006-2010,5,10330,0.0484
CHANGE IN KCCQ SCORE,2011-2015,18,19618,0.0918
CHANGE IN KCCQ SCORE,2016-2020,27,22670,0.1191
CHANGE IN KCCQ SCORE,2021-2025,30,18711,0.1603
CHANGE IN LDL CHOLESTEROL,2006-2010,95,10330,0.9197
CHANGE IN LDL CHOLESTEROL,2011-2015,148,19618,0.7544
CHANGE IN LDL CHOLESTEROL,2016-2020,161,22670,0.7102
CHANGE IN LDL CHOLESTEROL,2021-2025,82,18711,0.4382
CHANGE IN LEFT VENTRICULAR EJECTION FRACTION,2006-2010,7,10330,0.0678
CHANGE IN LEFT VENTRICULAR EJECTION FRACTION,2011-2015,13,19618,0.0663
CHANGE IN LEFT VENTRICULAR EJECTION FRACTION,2016-2020,15,22670,0.0662
CHANGE IN LEFT VENTRICULAR EJECTION FRACTION,2021-2025,8,18711,0.0428
CHANGE IN MADRS SCORE,2006-2010,93,10330,0.9003
CHANGE IN MADRS SCORE,2011-2015,128,19618,0.6525
CHANGE IN MADRS SCORE,2016-2020,127,22670,0.5602
CHANGE IN MADRS SCORE,2021-2025,83,18711,0.4436
CHANGE IN MMSE SCORE,2006-2010,37,10330,0.3582
CHANGE IN MMSE SCORE,2011-2015,56,19618,0.2855
CHANGE IN MMSE SCORE,2016-2020,67,22670,0.2955
CHANGE IN MMSE SCORE,2021-2025,48,18711,0.2565
CHANGE IN MOCA SCORE,2011-2015,17,19618,0.0867
CHANGE IN MOCA SCORE,2016-2020,60,22670,0.2647
CHANGE IN MOCA SCORE,2021-2025,70,18711,0.3741
CHANGE IN NRS PAIN SCORE,2006-2010,62,10330,0.6002
CHANGE IN NRS PAIN SCORE,2011-2015,129,19618,0.6576
CHANGE IN NRS PAIN SCORE,2016-2020,172,22670,0.7587
CHANGE IN NRS PAIN SCORE,2021-2025,174,18711,0.9299
CHANGE IN NT-PROBNP,2006-2010,7,10330,0.0678
CHANGE IN NT-PROBNP,2011-2015,22,19618,0.1121
CHANGE IN NT-PROBNP,2016-2020,46,22670,0.2029
CHANGE IN NT-PROBNP,2021-2025,31,18711,0.1657
CHANGE IN PAIN SCORE,2006-2010,146,10330,1.4134
CHANGE IN PAIN SCORE,2011-2015,226,19618,1.1520
CHANGE IN PAIN SCORE,2016-2020,303,22670,1.3366
CHANGE IN PAIN SCORE,2021-2025,244,18711,1.3040
CHANGE IN PANSS SCORE,2006-2010,68,10330,0.6583
CHANGE IN PANSS SCORE,2011-2015,73,19618,0.3721
CHANGE IN PANSS SCORE,2016-2020,50,22670,0.2206
CHANGE IN PANSS SCORE,2021-2025,23,18711,0.1229
CHANGE IN PERCEIVED STRESS SCORE,2006-2010,3,10330,0.0290
CHANGE IN PERCEIVED STRESS SCORE,2011-2015,5,19618,0.0255
CHANGE IN PERCEIVED STRESS SCORE,2016-2020,23,22670,0.1015
CHANGE IN PERCEIVED STRESS SCORE,2021-2025,25,18711,0.1336
CHANGE IN PHQ-8 SCORE,2011-2015,5,19618,0.0255
CHANGE IN PHQ-8 SCORE,2016-2020,23,22670,0.1015
CHANGE IN PHQ-8 SCORE,2021-2025,55,18711,0.2939
CHANGE IN PHQ-9 SCORE,2006-2010,7,10330,0.0678
CHANGE IN PHQ-9 SCORE,2011-2015,51,19618,0.2600
CHANGE IN PHQ-9 SCORE,2016-2020,132,22670,0.5823
CHANGE IN PHQ-9 SCORE,2021-2025,211,18711,1.1277
CHANGE IN PHYSICAL ACTIVITY,2011-2015,10,19618,0.0510
CHANGE IN PHYSICAL ACTIVITY,2016-2020,30,22670,0.1323
CHANGE IN PHYSICAL ACTIVITY,2021-2025,26,18711,0.1390
CHANGE IN PITTSBURGH SLEEP QUALITY INDEX SCORE,2006-2010,4,10330,0.0387
CHANGE IN PITTSBURGH SLEEP QUALITY INDEX SCORE,2011-2015,3,19618,0.0153
CHANGE IN PITTSBURGH SLEEP QUALITY INDEX SCORE,2016-2020,18,22670,0.0794
CHANGE IN PITTSBURGH SLEEP QUALITY INDEX SCORE,2021-2025,16,18711,0.0855
CHANGE IN PLATELET COUNT,2006-2010,35,10330,0.3388
CHANGE IN PLATELET COUNT,2011-2015,46,19618,0.2345
CHANGE IN PLATELET COUNT,2016-2020,60,22670,0.2647
CHANGE IN PLATELET COUNT,2021-2025,61,18711,0.3260
CHANGE IN PRURITUS SCORE,2006-2010,6,10330,0.0581
CHANGE IN PRURITUS SCORE,2011-2015,24,19618,0.1223
CHANGE IN PRURITUS SCORE,2016-2020,51,22670,0.2250
CHANGE IN PRURITUS SCORE,2021-2025,32,18711,0.1710
CHANGE IN PSA,2006-2010,9,10330,0.0871
CHANGE IN PSA,2011-2015,24,19618,0.1223
CHANGE IN PSA,2016-2020,30,22670,0.1323
CHANGE IN PSA,2021-2025,11,18711,0.0588
CHANGE IN PULSE RATE,2006-2010,16,10330,0.1549
CHANGE IN PULSE RATE,2011-2015,24,19618,0.1223
CHANGE IN PULSE RATE,2016-2020,44,22670,0.1941
CHANGE IN PULSE RATE,2021-2025,28,18711,0.1496
CHANGE IN QUALITY OF LIFE SCORE,2006-2010,124,10330,1.2004
CHANGE IN QUALITY OF LIFE SCORE,2011-2015,243,19618,1.2387
CHANGE IN QUALITY OF LIFE SCORE,2016-2020,356,22670,1.5704
CHANGE IN QUALITY OF LIFE SCORE,2021-2025,343,18711,1.8331
CHANGE IN RESPIRATORY RATE,2006-2010,3,10330,0.0290
CHANGE IN RESPIRATORY RATE,2011-2015,8,19618,0.0408
CHANGE IN RESPIRATORY RATE,2016-2020,24,22670,0.1059
CHANGE IN RESPIRATORY RATE,2021-2025,15,18711,0.0802
CHANGE IN SDAI SCORE,2006-2010,3,10330,0.0290
CHANGE IN SDAI SCORE,2011-2015,34,19618,0.1733
CHANGE IN SDAI SCORE,2016-2020,39,22670,0.1720
CHANGE IN SDAI SCORE,2021-2025,7,18711,0.0374
CHANGE IN SELF-EFFICACY SCORE,2006-2010,1,10330,0.0097
CHANGE IN SELF-EFFICACY SCORE,2011-2015,4,19618,0.0204
CHANGE IN SELF-EFFICACY SCORE,2016-2020,14,22670,0.0618
CHANGE IN SELF-EFFICACY SCORE,2021-2025,32,18711,0.1710
CHANGE IN SERUM CREATININE,2006-2010,7,10330,0.0678
CHANGE IN SERUM CREATININE,2011-2015,21,19618,0.1070
CHANGE IN SERUM CREATININE,2016-2020,26,22670,0.1147
CHANGE IN SERUM CREATININE,2021-2025,11,18711,0.0588
CHANGE IN SF-12 SCORE,2006-2010,5,10330,0.0484
CHANGE IN SF-12 SCORE,2011-2015,14,19618,0.0714
CHANGE IN SF-12 SCORE,2016-2020,32,22670,0.1412
CHANGE IN SF-12 SCORE,2021-2025,13,18711,0.0695
CHANGE IN SF-36 SCORE,2006-2010,127,10330,1.2294
CHANGE IN SF-36 SCORE,2011-2015,207,19618,1.0552
CHANGE IN SF-36 SCORE,2016-2020,252,22670,1.1116
CHANGE IN SF-36 SCORE,2021-2025,138,18711,0.7375
CHANGE IN SGRQ SCORE,2006-2010,12,10330,0.1162
CHANGE IN SGRQ SCORE,2011-2015,51,19618,0.2600
CHANGE IN SGRQ SCORE,2016-2020,39,22670,0.1720
CHANGE IN SGRQ SCORE,2021-2025,32,18711,0.1710
CHANGE IN SLEEP QUALITY SCORE,2006-2010,11,10330,0.1065
CHANGE IN SLEEP QUALITY SCORE,2011-2015,10,19618,0.0510
CHANGE IN SLEEP QUALITY SCORE,2016-2020,15,22670,0.0662
CHANGE IN SLEEP QUALITY SCORE,2021-2025,17,18711,0.0909
CHANGE IN SWOLLEN JOINT COUNT,2006-2010,6,10330,0.0581
CHANGE IN SWOLLEN JOINT COUNT,2011-2015,22,19618,0.1121
CHANGE IN SWOLLEN JOINT COUNT,2016-2020,15,22670,0.0662
CHANGE IN SWOLLEN JOINT COUNT,2021-2025,4,18711,0.0214
CHANGE IN SYSTOLIC BLOOD PRESSURE,2006-2010,62,10330,0.6002
CHANGE IN SYSTOLIC BLOOD PRESSURE,2011-2015,87,19618,0.4435
CHANGE IN SYSTOLIC BLOOD PRESSURE,2016-2020,106,22670,0.4676
CHANGE IN SYSTOLIC BLOOD PRESSURE,2021-2025,100,18711,0.5344
CHANGE IN TEMPERATURE,2006-2010,7,10330,0.0678
CHANGE IN TEMPERATURE,2011-2015,25,19618,0.1274
CHANGE IN TEMPERATURE,2016-2020,77,22670,0.3397
CHANGE IN TEMPERATURE,2021-2025,46,18711,0.2458
CHANGE IN TENDER JOINT COUNT,2006-2010,3,10330,0.0290
CHANGE IN TENDER JOINT COUNT,2011-2015,20,19618,0.1019
CHANGE IN TENDER JOINT COUNT,2016-2020,13,22670,0.0573
CHANGE IN TENDER JOINT COUNT,2021-2025,6,18711,0.0321
CHANGE IN TOTAL BILIRUBIN,2006-2010,6,10330,0.0581
CHANGE IN TOTAL BILIRUBIN,2011-2015,14,19618,0.0714
CHANGE IN TOTAL BILIRUBIN,2016-2020,23,22670,0.1015
CHANGE IN TOTAL BILIRUBIN,2021-2025,26,18711,0.1390
CHANGE IN TOTAL CHOLESTEROL,2006-2010,78,10330,0.7551
CHANGE IN TOTAL CHOLESTEROL,2011-2015,114,19618,0.5811
CHANGE IN TOTAL CHOLESTEROL,2016-2020,127,22670,0.5602
CHANGE IN TOTAL CHOLESTEROL,2021-2025,64,18711,0.3420
CHANGE IN TREATMENT SATISFACTION SCORE,2006-2010,6,10330,0.0581
CHANGE IN TREATMENT SATISFACTION SCORE,2011-2015,23,19618,0.1172
CHANGE IN TREATMENT SATISFACTION SCORE,2016-2020,12,22670,0.0529
CHANGE IN TREATMENT SATISFACTION SCORE,2021-2025,12,18711,0.0641
CHANGE IN TRIGLYCERIDES,2006-2010,72,10330,0.6970
CHANGE IN TRIGLYCERIDES,2011-2015,114,19618,0.5811
CHANGE IN TRIGLYCERIDES,2016-2020,137,22670,0.6043
CHANGE IN TRIGLYCERIDES,2021-2025,72,18711,0.3848
CHANGE IN TUMOR SIZE,2006-2010,13,10330,0.1258
CHANGE IN TUMOR SIZE,2011-2015,35,19618,0.1784
CHANGE IN TUMOR SIZE,2016-2020,31,22670,0.1367
CHANGE IN TUMOR SIZE,2021-2025,19,18711,0.1015
CHANGE IN UPDRS SCORE,2006-2010,24,10330,0.2323
CHANGE IN UPDRS SCORE,2011-2015,45,19618,0.2294
CHANGE IN UPDRS SCORE,2016-2020,18,22670,0.0794
CHANGE IN UPDRS SCORE,2021-2025,12,18711,0.0641
CHANGE IN VAS PAIN SCORE,2006-2010,149,10330,1.4424
CHANGE IN VAS PAIN SCORE,2011-2015,345,19618,1.7586
CHANGE IN VAS PAIN SCORE,2016-2020,352,22670,1.5527
CHANGE IN VAS PAIN SCORE,2021-2025,214,18711,1.1437
CHANGE IN VIRAL LOAD,2006-2010,64,10330,0.6196
CHANGE IN VIRAL LOAD,2011-2015,78,19618,0.3976
CHANGE IN VIRAL LOAD,2016-2020,82,22670,0.3617
CHANGE IN VIRAL LOAD,2021-2025,91,18711,0.4863
CHANGE IN VISUAL ACUITY,2006-2010,13,10330,0.1258
CHANGE IN VISUAL ACUITY,2011-2015,24,19618,0.1223
CHANGE IN VISUAL ACUITY,2016-2020,22,22670,0.0970
CHANGE IN VISUAL ACUITY,2021-2025,10,18711,0.0534
CHANGE IN WAIST CIRCUMFERENCE,2006-2010,46,10330,0.4453
CHANGE IN WAIST CIRCUMFERENCE,2011-2015,64,19618,0.3262
CHANGE IN WAIST CIRCUMFERENCE,2016-2020,124,22670,0.5470
CHANGE IN WAIST CIRCUMFERENCE,2021-2025,84,18711,0.4489
CHANGE IN WHITE BLOOD CELL COUNT,2006-2010,21,10330,0.2033
CHANGE IN WHITE BLOOD CELL COUNT,2011-2015,42,19618,0.2141
CHANGE IN WHITE BLOOD CELL COUNT,2016-2020,55,22670,0.2426
CHANGE IN WHITE BLOOD CELL COUNT,2021-2025,48,18711,0.2565
CHANGE IN WHO FUNCTIONAL CLASS,2006-2010,6,10330,0.0581
CHANGE IN WHO FUNCTIONAL CLASS,2011-2015,9,19618,0.0459
CHANGE IN WHO FUNCTIONAL CLASS,2016-2020,16,22670,0.0706
CHANGE IN WHO FUNCTIONAL CLASS,2021-2025,8,18711,0.0428
CHANGE IN WOMAC PAIN SCORE,2006-2010,24,10330,0.2323
CHANGE IN WOMAC PAIN SCORE,2011-2015,46,19618,0.2345
CHANGE IN WOMAC PAIN SCORE,2016-2020,52,22670,0.2294
CHANGE IN WOMAC PAIN SCORE,2021-2025,44,18711,0.2352
CHANGE IN WOMAC PHYSICAL FUNCTION SCORE,2006-2010,12,10330,0.1162
CHANGE IN WOMAC PHYSICAL FUNCTION SCORE,2011-2015,12,19618,0.0612
CHANGE IN WOMAC PHYSICAL FUNCTION SCORE,2016-2020,9,22670,0.0397
CHANGE IN WOMAC PHYSICAL FUNCTION SCORE,2021-2025,12,18711,0.0641
CHANGE IN WOMAC SCORE,2006-2010,2,10330,0.0194
CHANGE IN WOMAC SCORE,2011-2015,14,19618,0.0714
CHANGE IN WOMAC SCORE,2016-2020,15,22670,0.0662
CHANGE IN WOMAC SCORE,2021-2025,11,18711,0.0588
CHANGE IN WOMAC STIFFNESS SCORE,2006-2010,14,10330,0.1355
CHANGE IN WOMAC STIFFNESS SCORE,2011-2015,15,19618,0.0765
CHANGE IN WOMAC STIFFNESS SCORE,2016-2020,15,22670,0.0662
CHANGE IN WOMAC STIFFNESS SCORE,2021-2025,9,18711,0.0481
CHANGE IN YMRS SCORE,2006-2010,53,10330,0.5131
CHANGE IN YMRS SCORE,2011-2015,42,19618,0.2141
CHANGE IN YMRS SCORE,2016-2020,27,22670,0.1191
CHANGE IN YMRS SCORE,2021-2025,12,18711,0.0641
CHANGES IN FORCED VITAL CAPACITY,2006-2010,10,10330,0.0968
CHANGES IN FORCED VITAL CAPACITY,2011-2015,17,19618,0.0867
CHANGES IN FORCED VITAL CAPACITY,2016-2020,18,22670,0.0794
CHANGES IN FORCED VITAL CAPACITY,2021-2025,9,18711,0.0481
CLEARANCE,2006-2010,36,10330,0.3485
CLEARANCE,2011-2015,90,19618,0.4588
CLEARANCE,2016-2020,107,22670,0.4720
CLEARANCE,2021-2025,102,18711,0.5451
CLIENT SATISFACTION,2011-2015,2,19618,0.0102
CLIENT SATISFACTION,2016-2020,18,22670,0.0794
CLIENT SATISFACTION,2021-2025,45,18711,0.2405
CLINICAL BENEFIT RATE,2006-2010,27,10330,0.2614
CLINICAL BENEFIT RATE,2011-2015,110,19618,0.5607
CLINICAL BENEFIT RATE,2016-2020,196,22670,0.8646
CLINICAL BENEFIT RATE,2021-2025,226,18711,1.2078
CLINICAL CURE,2006-2010,14,10330,0.1355
CLINICAL CURE,2011-2015,12,19618,0.0612
CLINICAL CURE,2016-2020,14,22670,0.0618
CLINICAL CURE,2021-2025,6,18711,0.0321
CLINICAL CURE RATE,2006-2010,12,10330,0.1162
CLINICAL CURE RATE,2011-2015,19,19618,0.0968
CLINICAL CURE RATE,2016-2020,25,22670,0.1103
CLINICAL CURE RATE,2021-2025,11,18711,0.0588
CLINICAL GLOBAL IMPRESSION - IMPROVEMENT,2006-2010,14,10330,0.1355
CLINICAL GLOBAL IMPRESSION - IMPROVEMENT,2011-2015,13,19618,0.0663
CLINICAL GLOBAL IMPRESSION - IMPROVEMENT,2016-2020,19,22670,0.0838
CLINICAL GLOBAL IMPRESSION - IMPROVEMENT,2021-2025,12,18711,0.0641
CLINICAL GLOBAL IMPRESSION OF CHANGE,2006-2010,15,10330,0.1452
CLINICAL GLOBAL IMPRESSION OF CHANGE,2011-2015,17,19618,0.0867
CLINICAL GLOBAL IMPRESSION OF CHANGE,2016-2020,13,22670,0.0573
CLINICAL GLOBAL IMPRESSION OF CHANGE,2021-2025,5,18711,0.0267
CLINICAL REMISSION,2006-2010,21,10330,0.2033
CLINICAL REMISSION,2011-2015,31,19618,0.1580
CLINICAL REMISSION,2016-2020,68,22670,0.3000
CLINICAL REMISSION,2021-2025,60,18711,0.3207
CLINICAL RESPONSE,2006-2010,19,10330,0.1839
CLINICAL RESPONSE,2011-2015,37,19618,0.1886
CLINICAL RESPONSE,2016-2020,24,22670,0.1059
CLINICAL RESPONSE,2021-2025,16,18711,0.0855
