outcome_normalized,phase,outcome_trial_count,phase_trial_count,percentage
CHANGE IN DYSPNEA SCORE,Phase 4,11,7428,0.1481
CHANGE IN ECOG PERFORMANCE STATUS,Phase 1,15,5382,0.2787
CHANGE IN ECOG PERFORMANCE STATUS,Phase 2,23,17715,0.1298
CHANGE IN ECOG PERFORMANCE STATUS,Phase 3,15,12737,0.1178
CHANGE IN ECOG PERFORMANCE STATUS,Phase 4,2,7428,0.0269
CHANGE IN EDSS SCORE,Phase 1,1,5382,0.0186
CHANGE IN EDSS SCORE,Phase 2,24,17715,0.1355
CHANGE IN EDSS SCORE,Phase 3,31,12737,0.2434
CHANGE IN EDSS SCORE,Phase 4,16,7428,0.2154
CHANGE IN EGFR,Phase 1,5,5382,0.0929
CHANGE IN EGFR,Phase 2,95,17715,0.5363
CHANGE IN EGFR,Phase 3,102,12737,0.8008
CHANGE IN EGFR,Phase 4,45,7428,0.6058
CHANGE IN EJECTION FRACTION,Phase 1,13,5382,0.2415
CHANGE IN EJECTION FRACTION,Phase 2,53,17715,0.2992
CHANGE IN EJECTION FRACTION,Phase 3,27,12737,0.2120
CHANGE IN EJECTION FRACTION,Phase 4,18,7428,0.2423
CHANGE IN EORTC QLQ-C30 SCORE,Phase 1,2,5382,0.0372
CHANGE IN EORTC QLQ-C30 SCORE,Phase 2,82,17715,0.4629
CHANGE IN EORTC QLQ-C30 SCORE,Phase 3,106,12737,0.8322
CHANGE IN EORTC QLQ-C30 SCORE,Phase 4,7,7428,0.0942
CHANGE IN EQ-5D SCORE,Phase 2,69,17715,0.3895
CHANGE IN EQ-5D SCORE,Phase 3,219,12737,1.7194
CHANGE IN EQ-5D SCORE,Phase 4,51,7428,0.6866
CHANGE IN EQ-5D VAS SCORE,Phase 2,21,17715,0.1185
CHANGE IN EQ-5D VAS SCORE,Phase 3,45,12737,0.3533
CHANGE IN EQ-5D VAS SCORE,Phase 4,13,7428,0.1750
CHANGE IN EQ-5D-5L SCORE,Phase 2,14,17715,0.0790
CHANGE IN EQ-5D-5L SCORE,Phase 3,59,12737,0.4632
CHANGE IN EQ-5D-5L SCORE,Phase 4,9,7428,0.1212
CHANGE IN EQ-5D-5L VAS SCORE,Phase 2,9,17715,0.0508
CHANGE IN EQ-5D-5L VAS SCORE,Phase 3,40,12737,0.3140
CHANGE IN EQ-5D-5L VAS SCORE,Phase 4,5,7428,0.0673
CHANGE IN ESR,Phase 1,4,5382,0.0743
CHANGE IN ESR,Phase 2,22,17715,0.1242
CHANGE IN ESR,Phase 3,42,12737,0.3297
CHANGE IN ESR,Phase 4,17,7428,0.2289
CHANGE IN FACIT-FATIGUE SCORE,Phase 1,1,5382,0.0186
CHANGE IN FACIT-FATIGUE SCORE,Phase 2,24,17715,0.1355
CHANGE IN FACIT-FATIGUE SCORE,Phase 3,29,12737,0.2277
CHANGE IN FACIT-FATIGUE SCORE,Phase 4,2,7428,0.0269
CHANGE IN FASTING GLUCOSE,Phase 1,4,5382,0.0743
CHANGE IN FASTING GLUCOSE,Phase 2,22,17715,0.1242
CHANGE IN FASTING GLUCOSE,Phase 3,21,12737,0.1649
CHANGE IN FASTING GLUCOSE,Phase 4,12,7428,0.1616
CHANGE IN FASTING INSULIN,Phase 1,4,5382,0.0743
CHANGE IN FASTING INSULIN,Phase 2,20,17715,0.1129
CHANGE IN FASTING INSULIN,Phase 3,22,12737,0.1727
CHANGE IN FASTING INSULIN,Phase 4,14,7428,0.1885
CHANGE IN FASTING PLASMA GLUCOSE,Phase 1,19,5382,0.3530
CHANGE IN FASTING PLASMA GLUCOSE,Phase 2,137,17715,0.7734
CHANGE IN FASTING PLASMA GLUCOSE,Phase 3,378,12737,2.9677
CHANGE IN FASTING PLASMA GLUCOSE,Phase 4,110,7428,1.4809
CHANGE IN FASTING SERUM GLUCOSE,Phase 2,8,17715,0.0452
CHANGE IN FASTING SERUM GLUCOSE,Phase 3,28,12737,0.2198
CHANGE IN FASTING SERUM GLUCOSE,Phase 4,6,7428,0.0808
CHANGE IN FATIGUE SCORE,Phase 2,28,17715,0.1581
CHANGE IN FATIGUE SCORE,Phase 3,23,12737,0.1806
CHANGE IN FATIGUE SCORE,Phase 4,9,7428,0.1212
CHANGE IN FERRITIN,Phase 1,1,5382,0.0186
CHANGE IN FERRITIN,Phase 2,48,17715,0.2710
CHANGE IN FERRITIN,Phase 3,33,12737,0.2591
CHANGE IN FERRITIN,Phase 4,17,7428,0.2289
CHANGE IN FEV1,Phase 1,4,5382,0.0743
CHANGE IN FEV1,Phase 2,43,17715,0.2427
CHANGE IN FEV1,Phase 3,24,12737,0.1884
CHANGE IN FEV1,Phase 4,16,7428,0.2154
CHANGE IN FORCED VITAL CAPACITY,Phase 1,1,5382,0.0186
CHANGE IN FORCED VITAL CAPACITY,Phase 2,17,17715,0.0960
CHANGE IN FORCED VITAL CAPACITY,Phase 3,11,12737,0.0864
CHANGE IN FORCED VITAL CAPACITY,Phase 4,8,7428,0.1077
CHANGE IN GAD-7 SCORE,Phase 1,3,5382,0.0557
CHANGE IN GAD-7 SCORE,Phase 2,16,17715,0.0903
CHANGE IN GAD-7 SCORE,Phase 3,11,12737,0.0864
CHANGE IN GAD-7 SCORE,Phase 4,6,7428,0.0808
CHANGE IN HADS SCORE,Phase 1,1,5382,0.0186
CHANGE IN HADS SCORE,Phase 2,15,17715,0.0847
CHANGE IN HADS SCORE,Phase 3,24,12737,0.1884
CHANGE IN HADS SCORE,Phase 4,13,7428,0.1750
CHANGE IN HAM-A SCORE,Phase 1,1,5382,0.0186
CHANGE IN HAM-A SCORE,Phase 2,41,17715,0.2314
CHANGE IN HAM-A SCORE,Phase 3,57,12737,0.4475
CHANGE IN HAM-A SCORE,Phase 4,23,7428,0.3096
CHANGE IN HAM-D SCORE,Phase 1,2,5382,0.0372
CHANGE IN HAM-D SCORE,Phase 2,58,17715,0.3274
CHANGE IN HAM-D SCORE,Phase 3,55,12737,0.4318
CHANGE IN HAM-D SCORE,Phase 4,68,7428,0.9155
CHANGE IN HAQ-DI SCORE,Phase 1,3,5382,0.0557
CHANGE IN HAQ-DI SCORE,Phase 2,87,17715,0.4911
CHANGE IN HAQ-DI SCORE,Phase 3,173,12737,1.3582
CHANGE IN HAQ-DI SCORE,Phase 4,27,7428,0.3635
CHANGE IN HDL CHOLESTEROL,Phase 1,11,5382,0.2044
CHANGE IN HDL CHOLESTEROL,Phase 2,70,17715,0.3951
CHANGE IN HDL CHOLESTEROL,Phase 3,103,12737,0.8087
CHANGE IN HDL CHOLESTEROL,Phase 4,59,7428,0.7943
CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,Phase 2,11,17715,0.0621
CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,Phase 3,19,12737,0.1492
CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,Phase 4,8,7428,0.1077
CHANGE IN HEART RATE,Phase 1,109,5382,2.0253
CHANGE IN HEART RATE,Phase 2,180,17715,1.0161
CHANGE IN HEART RATE,Phase 3,137,12737,1.0756
CHANGE IN HEART RATE,Phase 4,78,7428,1.0501
CHANGE IN HEMATOCRIT,Phase 1,11,5382,0.2044
CHANGE IN HEMATOCRIT,Phase 2,30,17715,0.1693
CHANGE IN HEMATOCRIT,Phase 3,25,12737,0.1963
CHANGE IN HEMATOCRIT,Phase 4,11,7428,0.1481
CHANGE IN HEMOGLOBIN,Phase 1,63,5382,1.1706
CHANGE IN HEMOGLOBIN,Phase 2,182,17715,1.0274
CHANGE IN HEMOGLOBIN,Phase 3,239,12737,1.8764
CHANGE IN HEMOGLOBIN,Phase 4,70,7428,0.9424
CHANGE IN HEMOGLOBIN A1C,Phase 1,15,5382,0.2787
CHANGE IN HEMOGLOBIN A1C,Phase 2,245,17715,1.3830
CHANGE IN HEMOGLOBIN A1C,Phase 3,577,12737,4.5301
CHANGE IN HEMOGLOBIN A1C,Phase 4,187,7428,2.5175
CHANGE IN HOMA-IR,Phase 1,1,5382,0.0186
CHANGE IN HOMA-IR,Phase 2,33,17715,0.1863
CHANGE IN HOMA-IR,Phase 3,10,12737,0.0785
CHANGE IN HOMA-IR,Phase 4,15,7428,0.2019
CHANGE IN HSCRP,Phase 1,2,5382,0.0372
CHANGE IN HSCRP,Phase 2,27,17715,0.1524
CHANGE IN HSCRP,Phase 3,31,12737,0.2434
CHANGE IN HSCRP,Phase 4,14,7428,0.1885
CHANGE IN INR,Phase 1,8,5382,0.1486
CHANGE IN INR,Phase 2,33,17715,0.1863
CHANGE IN INR,Phase 3,18,12737,0.1413
CHANGE IN INR,Phase 4,7,7428,0.0942
CHANGE IN INSOMNIA SEVERITY INDEX SCORE,Phase 2,8,17715,0.0452
CHANGE IN INSOMNIA SEVERITY INDEX SCORE,Phase 3,7,12737,0.0550
CHANGE IN INSOMNIA SEVERITY INDEX SCORE,Phase 4,7,7428,0.0942
CHANGE IN INSULIN SENSITIVITY,Phase 1,4,5382,0.0743
CHANGE IN INSULIN SENSITIVITY,Phase 2,9,17715,0.0508
CHANGE IN INSULIN SENSITIVITY,Phase 3,5,12737,0.0393
CHANGE IN INSULIN SENSITIVITY,Phase 4,8,7428,0.1077
CHANGE IN INTRAOCULAR PRESSURE,Phase 1,3,5382,0.0557
CHANGE IN INTRAOCULAR PRESSURE,Phase 2,9,17715,0.0508
CHANGE IN INTRAOCULAR PRESSURE,Phase 3,9,12737,0.0707
CHANGE IN INTRAOCULAR PRESSURE,Phase 4,10,7428,0.1346
CHANGE IN KCCQ SCORE,Phase 2,12,17715,0.0677
CHANGE IN KCCQ SCORE,Phase 3,19,12737,0.1492
CHANGE IN KCCQ SCORE,Phase 4,16,7428,0.2154
CHANGE IN LDL CHOLESTEROL,Phase 1,12,5382,0.2230
CHANGE IN LDL CHOLESTEROL,Phase 2,101,17715,0.5701
CHANGE IN LDL CHOLESTEROL,Phase 3,143,12737,1.1227
CHANGE IN LDL CHOLESTEROL,Phase 4,64,7428,0.8616
CHANGE IN LEFT VENTRICULAR EJECTION FRACTION,Phase 1,1,5382,0.0186
CHANGE IN LEFT VENTRICULAR EJECTION FRACTION,Phase 2,13,17715,0.0734
CHANGE IN LEFT VENTRICULAR EJECTION FRACTION,Phase 3,5,12737,0.0393
CHANGE IN LEFT VENTRICULAR EJECTION FRACTION,Phase 4,5,7428,0.0673
CHANGE IN MADRS SCORE,Phase 1,3,5382,0.0557
CHANGE IN MADRS SCORE,Phase 2,127,17715,0.7169
CHANGE IN MADRS SCORE,Phase 3,156,12737,1.2248
CHANGE IN MADRS SCORE,Phase 4,72,7428,0.9693
CHANGE IN MMSE SCORE,Phase 1,7,5382,0.1301
CHANGE IN MMSE SCORE,Phase 2,63,17715,0.3556
CHANGE IN MMSE SCORE,Phase 3,48,12737,0.3769
CHANGE IN MMSE SCORE,Phase 4,31,7428,0.4173
CHANGE IN MOCA SCORE,Phase 1,1,5382,0.0186
CHANGE IN MOCA SCORE,Phase 2,35,17715,0.1976
CHANGE IN MOCA SCORE,Phase 3,13,12737,0.1021
CHANGE IN MOCA SCORE,Phase 4,13,7428,0.1750
CHANGE IN NRS PAIN SCORE,Phase 1,7,5382,0.1301
CHANGE IN NRS PAIN SCORE,Phase 2,137,17715,0.7734
CHANGE IN NRS PAIN SCORE,Phase 3,132,12737,1.0364
CHANGE IN NRS PAIN SCORE,Phase 4,88,7428,1.1847
CHANGE IN NT-PROBNP,Phase 1,3,5382,0.0557
CHANGE IN NT-PROBNP,Phase 2,33,17715,0.1863
CHANGE IN NT-PROBNP,Phase 3,25,12737,0.1963
CHANGE IN NT-PROBNP,Phase 4,27,7428,0.3635
CHANGE IN PAIN SCORE,Phase 1,13,5382,0.2415
CHANGE IN PAIN SCORE,Phase 2,181,17715,1.0217
CHANGE IN PAIN SCORE,Phase 3,194,12737,1.5231
CHANGE IN PAIN SCORE,Phase 4,156,7428,2.1002
CHANGE IN PANSS SCORE,Phase 1,5,5382,0.0929
CHANGE IN PANSS SCORE,Phase 2,59,17715,0.3331
CHANGE IN PANSS SCORE,Phase 3,76,12737,0.5967
CHANGE IN PANSS SCORE,Phase 4,41,7428,0.5520
CHANGE IN PERCEIVED STRESS SCORE,Phase 1,1,5382,0.0186
CHANGE IN PERCEIVED STRESS SCORE,Phase 2,5,17715,0.0282
CHANGE IN PERCEIVED STRESS SCORE,Phase 3,1,12737,0.0079
CHANGE IN PERCEIVED STRESS SCORE,Phase 4,2,7428,0.0269
CHANGE IN PHQ-8 SCORE,Phase 1,2,5382,0.0372
CHANGE IN PHQ-8 SCORE,Phase 2,2,17715,0.0113
CHANGE IN PHQ-8 SCORE,Phase 3,1,12737,0.0079
CHANGE IN PHQ-8 SCORE,Phase 4,1,7428,0.0135
CHANGE IN PHQ-9 SCORE,Phase 1,5,5382,0.0929
CHANGE IN PHQ-9 SCORE,Phase 2,33,17715,0.1863
CHANGE IN PHQ-9 SCORE,Phase 3,28,12737,0.2198
CHANGE IN PHQ-9 SCORE,Phase 4,17,7428,0.2289
CHANGE IN PHYSICAL ACTIVITY,Phase 3,1,12737,0.0079
CHANGE IN PHYSICAL ACTIVITY,Phase 4,2,7428,0.0269
CHANGE IN PITTSBURGH SLEEP QUALITY INDEX SCORE,Phase 1,1,5382,0.0186
CHANGE IN PITTSBURGH SLEEP QUALITY INDEX SCORE,Phase 2,7,17715,0.0395
CHANGE IN PITTSBURGH SLEEP QUALITY INDEX SCORE,Phase 3,3,12737,0.0236
CHANGE IN PITTSBURGH SLEEP QUALITY INDEX SCORE,Phase 4,6,7428,0.0808
CHANGE IN PLATELET COUNT,Phase 1,16,5382,0.2973
CHANGE IN PLATELET COUNT,Phase 2,75,17715,0.4234
CHANGE IN PLATELET COUNT,Phase 3,65,12737,0.5103
CHANGE IN PLATELET COUNT,Phase 4,17,7428,0.2289
CHANGE IN PRURITUS SCORE,Phase 2,66,17715,0.3726
CHANGE IN PRURITUS SCORE,Phase 3,38,12737,0.2983
CHANGE IN PRURITUS SCORE,Phase 4,4,7428,0.0539
CHANGE IN PSA,Phase 1,1,5382,0.0186
CHANGE IN PSA,Phase 2,40,17715,0.2258
CHANGE IN PSA,Phase 3,13,12737,0.1021
CHANGE IN PSA,Phase 4,5,7428,0.0673
CHANGE IN PULSE RATE,Phase 1,22,5382,0.4088
CHANGE IN PULSE RATE,Phase 2,27,17715,0.1524
CHANGE IN PULSE RATE,Phase 3,49,12737,0.3847
CHANGE IN PULSE RATE,Phase 4,6,7428,0.0808
CHANGE IN QUALITY OF LIFE SCORE,Phase 1,3,5382,0.0557
CHANGE IN QUALITY OF LIFE SCORE,Phase 2,210,17715,1.1854
CHANGE IN QUALITY OF LIFE SCORE,Phase 3,208,12737,1.6330
CHANGE IN QUALITY OF LIFE SCORE,Phase 4,94,7428,1.2655
CHANGE IN RESPIRATORY RATE,Phase 1,8,5382,0.1486
CHANGE IN RESPIRATORY RATE,Phase 2,13,17715,0.0734
CHANGE IN RESPIRATORY RATE,Phase 3,9,12737,0.0707
CHANGE IN RESPIRATORY RATE,Phase 4,2,7428,0.0269
CHANGE IN SDAI SCORE,Phase 1,1,5382,0.0186
CHANGE IN SDAI SCORE,Phase 2,29,17715,0.1637
CHANGE IN SDAI SCORE,Phase 3,36,12737,0.2826
CHANGE IN SDAI SCORE,Phase 4,6,7428,0.0808
CHANGE IN SELF-EFFICACY SCORE,Phase 2,1,17715,0.0056
CHANGE IN SELF-EFFICACY SCORE,Phase 4,1,7428,0.0135
CHANGE IN SERUM CREATININE,Phase 1,1,5382,0.0186
CHANGE IN SERUM CREATININE,Phase 2,22,17715,0.1242
CHANGE IN SERUM CREATININE,Phase 3,23,12737,0.1806
CHANGE IN SERUM CREATININE,Phase 4,7,7428,0.0942
CHANGE IN SF-12 SCORE,Phase 2,5,17715,0.0282
CHANGE IN SF-12 SCORE,Phase 3,9,12737,0.0707
CHANGE IN SF-12 SCORE,Phase 4,7,7428,0.0942
CHANGE IN SF-36 SCORE,Phase 1,3,5382,0.0557
CHANGE IN SF-36 SCORE,Phase 2,157,17715,0.8863
CHANGE IN SF-36 SCORE,Phase 3,271,12737,2.1277
CHANGE IN SF-36 SCORE,Phase 4,66,7428,0.8885
CHANGE IN SGRQ SCORE,Phase 1,1,5382,0.0186
CHANGE IN SGRQ SCORE,Phase 2,37,17715,0.2089
CHANGE IN SGRQ SCORE,Phase 3,67,12737,0.5260
CHANGE IN SGRQ SCORE,Phase 4,13,7428,0.1750
CHANGE IN SLEEP QUALITY SCORE,Phase 1,2,5382,0.0372
CHANGE IN SLEEP QUALITY SCORE,Phase 2,11,17715,0.0621
CHANGE IN SLEEP QUALITY SCORE,Phase 3,17,12737,0.1335
CHANGE IN SLEEP QUALITY SCORE,Phase 4,4,7428,0.0539
CHANGE IN SWOLLEN JOINT COUNT,Phase 1,2,5382,0.0372
CHANGE IN SWOLLEN JOINT COUNT,Phase 2,13,17715,0.0734
CHANGE IN SWOLLEN JOINT COUNT,Phase 3,17,12737,0.1335
CHANGE IN SWOLLEN JOINT COUNT,Phase 4,7,7428,0.0942
CHANGE IN SYSTOLIC BLOOD PRESSURE,Phase 1,16,5382,0.2973
CHANGE IN SYSTOLIC BLOOD PRESSURE,Phase 2,55,17715,0.3105
CHANGE IN SYSTOLIC BLOOD PRESSURE,Phase 3,102,12737,0.8008
CHANGE IN SYSTOLIC BLOOD PRESSURE,Phase 4,36,7428,0.4847
CHANGE IN TEMPERATURE,Phase 1,34,5382,0.6317
CHANGE IN TEMPERATURE,Phase 2,41,17715,0.2314
CHANGE IN TEMPERATURE,Phase 3,28,12737,0.2198
CHANGE IN TEMPERATURE,Phase 4,9,7428,0.1212
CHANGE IN TENDER JOINT COUNT,Phase 2,10,17715,0.0564
CHANGE IN TENDER JOINT COUNT,Phase 3,21,12737,0.1649
CHANGE IN TENDER JOINT COUNT,Phase 4,3,7428,0.0404
CHANGE IN TOTAL BILIRUBIN,Phase 1,6,5382,0.1115
CHANGE IN TOTAL BILIRUBIN,Phase 2,22,17715,0.1242
CHANGE IN TOTAL BILIRUBIN,Phase 3,22,12737,0.1727
CHANGE IN TOTAL BILIRUBIN,Phase 4,7,7428,0.0942
CHANGE IN TOTAL CHOLESTEROL,Phase 1,13,5382,0.2415
CHANGE IN TOTAL CHOLESTEROL,Phase 2,73,17715,0.4121
CHANGE IN TOTAL CHOLESTEROL,Phase 3,112,12737,0.8793
CHANGE IN TOTAL CHOLESTEROL,Phase 4,68,7428,0.9155
CHANGE IN TREATMENT SATISFACTION SCORE,Phase 2,2,17715,0.0113
CHANGE IN TREATMENT SATISFACTION SCORE,Phase 3,31,12737,0.2434
CHANGE IN TREATMENT SATISFACTION SCORE,Phase 4,15,7428,0.2019
CHANGE IN TRIGLYCERIDES,Phase 1,9,5382,0.1672
CHANGE IN TRIGLYCERIDES,Phase 2,76,17715,0.4290
CHANGE IN TRIGLYCERIDES,Phase 3,101,12737,0.7930
CHANGE IN TRIGLYCERIDES,Phase 4,68,7428,0.9155
CHANGE IN TUMOR SIZE,Phase 1,8,5382,0.1486
CHANGE IN TUMOR SIZE,Phase 2,48,17715,0.2710
CHANGE IN TUMOR SIZE,Phase 3,6,12737,0.0471
CHANGE IN TUMOR SIZE,Phase 4,4,7428,0.0539
CHANGE IN UPDRS SCORE,Phase 2,20,17715,0.1129
CHANGE IN UPDRS SCORE,Phase 3,37,12737,0.2905
CHANGE IN UPDRS SCORE,Phase 4,22,7428,0.2962
CHANGE IN VAS PAIN SCORE,Phase 1,16,5382,0.2973
CHANGE IN VAS PAIN SCORE,Phase 2,166,17715,0.9371
CHANGE IN VAS PAIN SCORE,Phase 3,208,12737,1.6330
CHANGE IN VAS PAIN SCORE,Phase 4,177,7428,2.3829
CHANGE IN VIRAL LOAD,Phase 1,26,5382,0.4831
CHANGE IN VIRAL LOAD,Phase 2,133,17715,0.7508
CHANGE IN VIRAL LOAD,Phase 3,76,12737,0.5967
CHANGE IN VIRAL LOAD,Phase 4,27,7428,0.3635
CHANGE IN VISUAL ACUITY,Phase 1,3,5382,0.0557
CHANGE IN VISUAL ACUITY,Phase 2,13,17715,0.0734
CHANGE IN VISUAL ACUITY,Phase 3,20,12737,0.1570
CHANGE IN VISUAL ACUITY,Phase 4,6,7428,0.0808
CHANGE IN WAIST CIRCUMFERENCE,Phase 1,2,5382,0.0372
CHANGE IN WAIST CIRCUMFERENCE,Phase 2,66,17715,0.3726
CHANGE IN WAIST CIRCUMFERENCE,Phase 3,99,12737,0.7773
CHANGE IN WAIST CIRCUMFERENCE,Phase 4,30,7428,0.4039
CHANGE IN WHITE BLOOD CELL COUNT,Phase 1,20,5382,0.3716
CHANGE IN WHITE BLOOD CELL COUNT,Phase 2,50,17715,0.2822
CHANGE IN WHITE BLOOD CELL COUNT,Phase 3,39,12737,0.3062
CHANGE IN WHITE BLOOD CELL COUNT,Phase 4,10,7428,0.1346
CHANGE IN WHO FUNCTIONAL CLASS,Phase 2,11,17715,0.0621
CHANGE IN WHO FUNCTIONAL CLASS,Phase 3,16,12737,0.1256
CHANGE IN WHO FUNCTIONAL CLASS,Phase 4,12,7428,0.1616
CHANGE IN WOMAC PAIN SCORE,Phase 1,1,5382,0.0186
CHANGE IN WOMAC PAIN SCORE,Phase 2,44,17715,0.2484
CHANGE IN WOMAC PAIN SCORE,Phase 3,49,12737,0.3847
CHANGE IN WOMAC PAIN SCORE,Phase 4,7,7428,0.0942
CHANGE IN WOMAC PHYSICAL FUNCTION SCORE,Phase 2,13,17715,0.0734
CHANGE IN WOMAC PHYSICAL FUNCTION SCORE,Phase 3,19,12737,0.1492
CHANGE IN WOMAC SCORE,Phase 1,1,5382,0.0186
CHANGE IN WOMAC SCORE,Phase 2,8,17715,0.0452
CHANGE IN WOMAC SCORE,Phase 3,4,12737,0.0314
CHANGE IN WOMAC SCORE,Phase 4,2,7428,0.0269
CHANGE IN WOMAC STIFFNESS SCORE,Phase 2,17,17715,0.0960
CHANGE IN WOMAC STIFFNESS SCORE,Phase 3,22,12737,0.1727
CHANGE IN WOMAC STIFFNESS SCORE,Phase 4,2,7428,0.0269
CHANGE IN YMRS SCORE,Phase 1,2,5382,0.0372
CHANGE IN YMRS SCORE,Phase 2,15,17715,0.0847
CHANGE IN YMRS SCORE,Phase 3,61,12737,0.4789
CHANGE IN YMRS SCORE,Phase 4,36,7428,0.4847
CHANGES IN FORCED VITAL CAPACITY,Phase 1,1,5382,0.0186
CHANGES IN FORCED VITAL CAPACITY,Phase 2,36,17715,0.2032
CHANGES IN FORCED VITAL CAPACITY,Phase 3,9,12737,0.0707
CHANGES IN FORCED VITAL CAPACITY,Phase 4,7,7428,0.0942
CLEARANCE,Phase 1,174,5382,3.2330
CLEARANCE,Phase 2,75,17715,0.4234
CLEARANCE,Phase 3,38,12737,0.2983
CLEARANCE,Phase 4,11,7428,0.1481
CLIENT SATISFACTION,Phase 1,3,5382,0.0557
CLIENT SATISFACTION,Phase 2,2,17715,0.0113
CLINICAL BENEFIT RATE,Phase 1,44,5382,0.8175
CLINICAL BENEFIT RATE,Phase 2,341,17715,1.9249
CLINICAL BENEFIT RATE,Phase 3,74,12737,0.5810
CLINICAL BENEFIT RATE,Phase 4,3,7428,0.0404
CLINICAL CURE,Phase 1,1,5382,0.0186
CLINICAL CURE,Phase 2,11,17715,0.0621
CLINICAL CURE,Phase 3,22,12737,0.1727
CLINICAL CURE,Phase 4,7,7428,0.0942
CLINICAL CURE RATE,Phase 2,15,17715,0.0847
CLINICAL CURE RATE,Phase 3,40,12737,0.3140
CLINICAL CURE RATE,Phase 4,5,7428,0.0673
CLINICAL GLOBAL IMPRESSION - IMPROVEMENT,Phase 2,20,17715,0.1129
CLINICAL GLOBAL IMPRESSION - IMPROVEMENT,Phase 3,23,12737,0.1806
CLINICAL GLOBAL IMPRESSION - IMPROVEMENT,Phase 4,6,7428,0.0808
CLINICAL GLOBAL IMPRESSION OF CHANGE,Phase 1,1,5382,0.0186
CLINICAL GLOBAL IMPRESSION OF CHANGE,Phase 2,9,17715,0.0508
CLINICAL GLOBAL IMPRESSION OF CHANGE,Phase 3,18,12737,0.1413
CLINICAL GLOBAL IMPRESSION OF CHANGE,Phase 4,12,7428,0.1616
CLINICAL REMISSION,Phase 1,3,5382,0.0557
CLINICAL REMISSION,Phase 2,61,17715,0.3443
CLINICAL REMISSION,Phase 3,89,12737,0.6988
CLINICAL REMISSION,Phase 4,13,7428,0.1750
CLINICAL RESPONSE,Phase 1,5,5382,0.0929
CLINICAL RESPONSE,Phase 2,40,17715,0.2258
CLINICAL RESPONSE,Phase 3,31,12737,0.2434
CLINICAL RESPONSE,Phase 4,8,7428,0.1077
CLINICAL RESPONSE RATE,Phase 1,2,5382,0.0372
CLINICAL RESPONSE RATE,Phase 2,65,17715,0.3669
CLINICAL RESPONSE RATE,Phase 3,19,12737,0.1492
CLINICAL RESPONSE RATE,Phase 4,6,7428,0.0808
CLINICAL SUCCESS,Phase 1,1,5382,0.0186
CLINICAL SUCCESS,Phase 2,5,17715,0.0282
CLINICAL SUCCESS,Phase 3,28,12737,0.2198
CLINICAL SUCCESS,Phase 4,6,7428,0.0808
CLINICIAN GLOBAL IMPRESSION,Phase 1,1,5382,0.0186
CLINICIAN GLOBAL IMPRESSION,Phase 2,16,17715,0.0903
CLINICIAN GLOBAL IMPRESSION,Phase 3,12,12737,0.0942
CLINICIAN GLOBAL IMPRESSION,Phase 4,17,7428,0.2289
CLINICIAN GLOBAL IMPRESSION OF CHANGE,Phase 2,14,17715,0.0790
CLINICIAN GLOBAL IMPRESSION OF CHANGE,Phase 3,26,12737,0.2041
CLINICIAN GLOBAL IMPRESSION OF CHANGE,Phase 4,9,7428,0.1212
COMPLETE REMISSION,Phase 1,15,5382,0.2787
COMPLETE REMISSION,Phase 2,108,17715,0.6097
COMPLETE REMISSION,Phase 3,44,12737,0.3455
COMPLETE REMISSION,Phase 4,9,7428,0.1212
COMPLETE REMISSION RATE,Phase 1,5,5382,0.0929
COMPLETE REMISSION RATE,Phase 2,40,17715,0.2258
COMPLETE REMISSION RATE,Phase 3,11,12737,0.0864
COMPLETE RESPONSE,Phase 1,13,5382,0.2415
COMPLETE RESPONSE,Phase 2,96,17715,0.5419
COMPLETE RESPONSE,Phase 3,41,12737,0.3219
COMPLETE RESPONSE,Phase 4,4,7428,0.0539
COMPLETE RESPONSE RATE,Phase 1,37,5382,0.6875
COMPLETE RESPONSE RATE,Phase 2,372,17715,2.0999
COMPLETE RESPONSE RATE,Phase 3,128,12737,1.0049
COMPLETE RESPONSE RATE,Phase 4,11,7428,0.1481
COMPLIANCE RATE,Phase 1,3,5382,0.0557
COMPLIANCE RATE,Phase 2,37,17715,0.2089
COMPLIANCE RATE,Phase 3,21,12737,0.1649
COMPLIANCE RATE,Phase 4,25,7428,0.3366
CONFIRMED OBJECTIVE RESPONSE RATE,Phase 1,2,5382,0.0372
CONFIRMED OBJECTIVE RESPONSE RATE,Phase 2,31,17715,0.1750
CONFIRMED OBJECTIVE RESPONSE RATE,Phase 3,5,12737,0.0393
CONFIRMED OBJECTIVE RESPONSE RATE,Phase 4,2,7428,0.0269
CONFIRMED RESPONSE RATE,Phase 1,1,5382,0.0186
CONFIRMED RESPONSE RATE,Phase 2,42,17715,0.2371
CONFIRMED RESPONSE RATE,Phase 3,1,12737,0.0079
CURE RATE,Phase 2,19,17715,0.1073
CURE RATE,Phase 3,32,12737,0.2512
CURE RATE,Phase 4,5,7428,0.0673
DEPRESSION REMISSION RATE,Phase 2,13,17715,0.0734
DEPRESSION REMISSION RATE,Phase 3,27,12737,0.2120
DEPRESSION REMISSION RATE,Phase 4,19,7428,0.2558
DEPRESSION RESPONSE RATE,Phase 1,1,5382,0.0186
