disease_area,disease,start_year,outcome_category,outcome_record_count,trial_count
Neoplastic disease,Brain Tumors,1966,Response Rates,1,1
Neoplastic disease,Brain Tumors,1966,Survival/Time-to-Event,1,1
Disorder of endocrine system,Hypoparathyroidism,1976,Biomarkers/Lab Values,1,1
Cardiovascular disease,Coronary Artery Disease,1982,Adverse Events/Safety,1,1
Cardiovascular disease,Coronary Artery Disease,1982,Mortality,1,1
Disorder of skin,Wound Healing,1984,Hospitalization/Healthcare Use,1,1
Mental illness,Smoking Cessation,1984,Quality of Life/PRO,1,1
Mental illness,Smoking Cessation,1984,Treatment Adherence,1,1
Disorder of endocrine system,Growth Hormone Deficiency,1985,Mortality,1,1
Disorder of endocrine system,Growth Hormone Deficiency,1985,Vital Signs/Physical Measures,4,1
Respiratory disease,Cystic Fibrosis,1986,Adverse Events/Safety,1,1
Respiratory disease,Cystic Fibrosis,1986,Disease Control,1,1
Disorder of endocrine system,Type 2 Diabetes,1988,Biomarkers/Lab Values,6,1
Disorder of endocrine system,Metabolic Syndrome,1989,Adverse Events/Safety,3,1
Disorder of endocrine system,Metabolic Syndrome,1989,Biomarkers/Lab Values,10,1
Disorder of endocrine system,Metabolic Syndrome,1989,Disease Control,1,1
Disorder of endocrine system,Metabolic Syndrome,1989,Vital Signs/Physical Measures,3,1
Neurological disorder,Spinal Cord Injury,1989,Functional Status,2,1
Neurological disorder,Stroke,1989,Adverse Events/Safety,1,1
Neurological disorder,Stroke,1989,Quality of Life/PRO,1,1
Cardiovascular disease,Hypertension,1990,Disease Control,1,1
Cardiovascular disease,Hypertension,1990,Vital Signs/Physical Measures,2,1
Disorder of digestive system,Short Bowel Syndrome,1990,Functional Status,4,1
Disorder of digestive system,Short Bowel Syndrome,1990,Vital Signs/Physical Measures,1,1
Infection,HIV/AIDS,1990,Mental Health Outcomes,2,1
Infection,HIV/AIDS,1990,Mortality,1,1
Neoplastic disease,Hodgkin Lymphoma,1990,Biomarkers/Lab Values,5,1
Neoplastic disease,Hodgkin Lymphoma,1990,Dose-Finding,2,1
Neoplastic disease,Hodgkin Lymphoma,1990,Imaging Outcomes,1,1
Neoplastic disease,Hodgkin Lymphoma,1990,Immunogenicity,2,1
Neoplastic disease,Hodgkin Lymphoma,1990,Microbiological/Virological,1,1
Neoplastic disease,Hodgkin Lymphoma,1990,Pharmacokinetics,5,1
Neoplastic disease,Hodgkin Lymphoma,1990,Remission/Cure,1,1
Neoplastic disease,Hodgkin Lymphoma,1990,Response Rates,3,1
Neoplastic disease,Hodgkin Lymphoma,1990,Survival/Time-to-Event,2,1
Neoplastic disease,Neuroendocrine Tumors,1990,Other Clinical Endpoints,1,1
Neoplastic disease,Neuroendocrine Tumors,1990,Survival/Time-to-Event,2,1
Neoplastic disease,Neuroendocrine Tumors,1990,Treatment Adherence,1,1
Neoplastic disease,Sarcoma,1990,Survival/Time-to-Event,1,1
Cardiovascular disease,Hypertension,1991,Disease Control,1,1
Cardiovascular disease,Hypertension,1991,Vital Signs/Physical Measures,6,2
Disorder of endocrine system,Gestational Diabetes,1991,Biomarkers/Lab Values,6,1
Disorder of endocrine system,Gestational Diabetes,1991,Immunogenicity,1,1
Disorder of endocrine system,Gestational Diabetes,1991,Survival/Time-to-Event,2,1
Disorder of endocrine system,Growth Hormone Deficiency,1991,Vital Signs/Physical Measures,5,1
Disorder of endocrine system,Hypoparathyroidism,1991,Biomarkers/Lab Values,7,1
Disorder of labour / delivery,Preterm Labor,1991,Biomarkers/Lab Values,3,1
Disorder of labour / delivery,Preterm Labor,1991,Disease Control,1,1
Disorder of labour / delivery,Preterm Labor,1991,Imaging Outcomes,1,1
Disorder of labour / delivery,Preterm Labor,1991,Other Clinical Endpoints,1,1
Disorder of labour / delivery,Preterm Labor,1991,Quality of Life/PRO,2,1
Disorder of labour / delivery,Preterm Labor,1991,Response Rates,1,1
Disorder of labour / delivery,Preterm Labor,1991,Vital Signs/Physical Measures,1,1
Mental illness,Generalized Anxiety Disorder,1991,Mental Health Outcomes,2,1
Musculoskeletal disorder,Osteoporosis,1991,Response Rates,1,1
Neoplastic disease,Neuroendocrine Tumors,1991,Response Rates,1,1
Respiratory disease,Asthma,1991,Disease Control,2,1
Respiratory disease,Asthma,1991,Hospitalization/Healthcare Use,1,1
Respiratory disease,Asthma,1991,Mental Health Outcomes,1,1
Respiratory disease,Asthma,1991,Mortality,1,1
Respiratory disease,Asthma,1991,Vital Signs/Physical Measures,2,1
Cardiovascular disease,Coronary Artery Disease,1992,Adverse Events/Safety,1,1
Cardiovascular disease,Coronary Artery Disease,1992,Mortality,1,1
Cardiovascular disease,Hypertension,1992,Adverse Events/Safety,8,1
Cardiovascular disease,Hypertension,1992,Mortality,1,1
Cardiovascular disease,Hypertension,1992,Response Rates,1,1
Cardiovascular disease,Hypertension,1992,Vital Signs/Physical Measures,3,1
Congenital disease,Lysosomal Storage Disorders,1992,Adverse Events/Safety,1,1
Congenital disease,Lysosomal Storage Disorders,1992,Biomarkers/Lab Values,4,1
Congenital disease,Lysosomal Storage Disorders,1992,Vital Signs/Physical Measures,1,1
Disorder of endocrine system,Metabolic Syndrome,1992,Biomarkers/Lab Values,2,1
Disorder of endocrine system,Metabolic Syndrome,1992,Functional Status,1,1
Disorder of endocrine system,Metabolic Syndrome,1992,Imaging Outcomes,1,1
Disorder of endocrine system,Metabolic Syndrome,1992,Vital Signs/Physical Measures,1,1
Disorder of the genitourinary system,Erectile Dysfunction,1992,Imaging Outcomes,1,1
Infection,HIV/AIDS,1992,Disease Control,1,1
Mental illness,Postpartum Depression,1992,Mental Health Outcomes,1,1
Disorder of endocrine system,Growth Hormone Deficiency,1993,Functional Status,3,1
Disorder of endocrine system,Growth Hormone Deficiency,1993,Imaging Outcomes,2,1
Disorder of endocrine system,Growth Hormone Deficiency,1993,Quality of Life/PRO,1,1
Disorder of endocrine system,Growth Hormone Deficiency,1993,Vital Signs/Physical Measures,6,1
Disorder of endocrine system,Hyperparathyroidism,1993,Disease Activity Scores,1,1
Disorder of endocrine system,Hyperparathyroidism,1993,Imaging Outcomes,2,1
Neoplastic disease,Colorectal Cancer,1993,Survival/Time-to-Event,2,1
Neoplastic disease,Diffuse Large B-Cell Lymphoma,1993,Adverse Events/Safety,2,1
Neoplastic disease,Diffuse Large B-Cell Lymphoma,1993,Response Rates,1,1
Neoplastic disease,Diffuse Large B-Cell Lymphoma,1993,Survival/Time-to-Event,1,1
Neoplastic disease,Ovarian Cancer,1993,Adverse Events/Safety,2,2
Neoplastic disease,Ovarian Cancer,1993,Biomarkers/Lab Values,5,2
Neoplastic disease,Ovarian Cancer,1993,Imaging Outcomes,5,2
Neoplastic disease,Ovarian Cancer,1993,Mortality,10,2
Neoplastic disease,Prostate Cancer,1993,Adverse Events/Safety,1,1
Neoplastic disease,Prostate Cancer,1993,Biomarkers/Lab Values,5,1
Neoplastic disease,Prostate Cancer,1993,Disease Control,2,1
Neoplastic disease,Prostate Cancer,1993,Mortality,4,1
Neoplastic disease,Prostate Cancer,1993,Survival/Time-to-Event,1,1
Neoplastic disease,Small Cell Lung Cancer,1993,Adverse Events/Safety,1,1
Neoplastic disease,Small Cell Lung Cancer,1993,Disease Control,1,1
Neoplastic disease,Small Cell Lung Cancer,1993,Imaging Outcomes,4,1
Neoplastic disease,Small Cell Lung Cancer,1993,Mortality,3,1
Neoplastic disease,Small Cell Lung Cancer,1993,Survival/Time-to-Event,1,1
Respiratory disease,Allergic Rhinitis,1993,Adverse Events/Safety,2,1
Respiratory disease,Allergic Rhinitis,1993,Response Rates,6,1
Respiratory disease,Allergic Rhinitis,1993,Symptoms/Pain,4,1
Respiratory disease,Asthma,1993,Dose-Finding,1,1
Respiratory disease,Asthma,1993,Vital Signs/Physical Measures,1,1
Disorder of eye,Glaucoma,1994,Survival/Time-to-Event,1,1
Disorder of the genitourinary system,Endometriosis,1994,Quality of Life/PRO,1,1
Infection,HIV/AIDS,1994,Survival/Time-to-Event,1,1
Mental illness,Major Depressive Disorder,1994,Mental Health Outcomes,1,1
Mental illness,Major Depressive Disorder,1994,Response Rates,1,1
Neoplastic disease,Chronic Myeloid Leukemia,1994,Biomarkers/Lab Values,1,1
Neoplastic disease,Chronic Myeloid Leukemia,1994,Remission/Cure,1,1
Neoplastic disease,Colorectal Cancer,1994,Survival/Time-to-Event,1,1
Neoplastic disease,Glioblastoma,1994,Response Rates,1,1
Neoplastic disease,Glioblastoma,1994,Survival/Time-to-Event,1,1
Neoplastic disease,Locally Advanced Cancer,1994,Response Rates,1,1
Neoplastic disease,Prostate Cancer,1994,Biomarkers/Lab Values,1,1
Neoplastic disease,Prostate Cancer,1994,Disease Control,2,1
Neoplastic disease,Prostate Cancer,1994,Mortality,1,1
Neoplastic disease,Prostate Cancer,1994,Response Rates,2,1
Neoplastic disease,Prostate Cancer,1994,Survival/Time-to-Event,4,1
Neoplastic disease,Sarcoma,1994,Adverse Events/Safety,2,1
Neoplastic disease,Sarcoma,1994,Survival/Time-to-Event,2,1
Neurological disorder,Multiple Sclerosis,1994,Adverse Events/Safety,1,1
Neurological disorder,Multiple Sclerosis,1994,Functional Status,1,1
Respiratory disease,Allergic Rhinitis,1994,Disease Activity Scores,2,1
Respiratory disease,Allergic Rhinitis,1994,Disease Control,1,1
Respiratory disease,Allergic Rhinitis,1994,Response Rates,2,1
Respiratory disease,Allergic Rhinitis,1994,Survival/Time-to-Event,1,1
Respiratory disease,Allergic Rhinitis,1994,Symptoms/Pain,6,2
Situation with explicit context,Healthy Volunteers,1994,Mental Health Outcomes,1,1
Cardiovascular disease,Hypertension,1995,Adverse Events/Safety,1,1
Cardiovascular disease,Hypertension,1995,Biomarkers/Lab Values,1,1
Cardiovascular disease,Hypertension,1995,Imaging Outcomes,3,1
Cardiovascular disease,Hypertension,1995,Vital Signs/Physical Measures,1,1
Disorder of endocrine system,Cushing's Syndrome,1995,Adverse Events/Safety,1,1
Disorder of endocrine system,Cushing's Syndrome,1995,Biomarkers/Lab Values,7,1
Disorder of endocrine system,Cushing's Syndrome,1995,Disease Control,1,1
Disorder of endocrine system,Cushing's Syndrome,1995,Functional Status,1,1
Disorder of endocrine system,Cushing's Syndrome,1995,Pharmacokinetics,2,1
Disorder of endocrine system,Cushing's Syndrome,1995,Quality of Life/PRO,2,1
Disorder of endocrine system,Cushing's Syndrome,1995,Vital Signs/Physical Measures,6,1
Disorder of endocrine system,Diabetic Nephropathy,1995,Biomarkers/Lab Values,2,1
Disorder of endocrine system,Type 2 Diabetes,1995,Quality of Life/PRO,1,1
Disorder of eye,Cataracts,1995,Disease Activity Scores,1,1
Disorder of eye,Cataracts,1995,Disease Control,1,1
Disorder of eye,Cataracts,1995,Functional Status,1,1
Disorder of eye,Cataracts,1995,Hospitalization/Healthcare Use,1,1
Disorder of eye,Cataracts,1995,Imaging Outcomes,2,1
Infection,HIV/AIDS,1995,Mortality,1,1
Infection,Herpes Zoster,1995,Adverse Events/Safety,4,1
Injury,Burns,1995,Adverse Events/Safety,1,1
Injury,Burns,1995,Biomarkers/Lab Values,1,1
Injury,Burns,1995,Imaging Outcomes,1,1
Injury,Burns,1995,Quality of Life/PRO,1,1
Injury,Burns,1995,Treatment Adherence,1,1
Injury,Burns,1995,Vital Signs/Physical Measures,2,1
Neoplastic disease,Brain Tumors,1995,Response Rates,1,1
Neoplastic disease,Brain Tumors,1995,Survival/Time-to-Event,1,1
Neoplastic disease,Breast Cancer,1995,Disease Control,1,1
Neoplastic disease,Breast Cancer,1995,Mortality,1,1
Neoplastic disease,Glioblastoma,1995,Response Rates,1,1
Neoplastic disease,Glioblastoma,1995,Survival/Time-to-Event,1,1
Neoplastic disease,Hodgkin Lymphoma,1995,Dose-Finding,2,1
Neoplastic disease,Hodgkin Lymphoma,1995,Response Rates,7,3
Neoplastic disease,Hodgkin Lymphoma,1995,Survival/Time-to-Event,5,2
Neoplastic disease,Prostate Cancer,1995,Quality of Life/PRO,3,1
Neoplastic disease,Prostate Cancer,1995,Survival/Time-to-Event,1,1
Neoplastic disease,Prostate Cancer,1995,Symptoms/Pain,1,1
Neoplastic disease,Waldenstrom Macroglobulinemia,1995,Adverse Events/Safety,1,1
Neoplastic disease,Waldenstrom Macroglobulinemia,1995,Response Rates,1,1
Neoplastic disease,Waldenstrom Macroglobulinemia,1995,Survival/Time-to-Event,2,1
Neurological disorder,Alzheimer's Disease,1995,Adverse Events/Safety,3,1
Neurological disorder,Alzheimer's Disease,1995,Disease Control,1,1
Neurological disorder,Alzheimer's Disease,1995,Survival/Time-to-Event,1,1
Neurological disorder,Migraine,1995,Adverse Events/Safety,6,3
Neurological disorder,Migraine,1995,Functional Status,3,3
Neurological disorder,Migraine,1995,Response Rates,1,1
Neurological disorder,Migraine,1995,Survival/Time-to-Event,1,1
Neurological disorder,Migraine,1995,Symptoms/Pain,12,4
Respiratory disease,Allergic Rhinitis,1995,Disease Control,1,1
Respiratory disease,Allergic Rhinitis,1995,Response Rates,1,1
Respiratory disease,Allergic Rhinitis,1995,Symptoms/Pain,2,1
Respiratory disease,Asthma,1995,Disease Control,2,1
Respiratory disease,Asthma,1995,Symptoms/Pain,2,1
Respiratory disease,Asthma,1995,Treatment Adherence,1,1
Cardiovascular disease,Heart Failure,1996,Adverse Events/Safety,1,1
Disorder of endocrine system,Gestational Diabetes,1996,Adverse Events/Safety,1,1
Disorder of immune function,Organ Transplant Rejection,1996,Functional Status,1,1
Disorder of immune function,Organ Transplant Rejection,1996,Hospitalization/Healthcare Use,1,1
Disorder of immune function,Organ Transplant Rejection,1996,Symptoms/Pain,3,1
Mental illness,Postpartum Depression,1996,Mental Health Outcomes,1,1
Mental illness,Schizophrenia,1996,Symptoms/Pain,1,1
Neoplastic disease,Brain Tumors,1996,Response Rates,9,9
Neoplastic disease,Brain Tumors,1996,Survival/Time-to-Event,9,9
Neoplastic disease,Chronic Myeloid Leukemia,1996,Remission/Cure,1,1
Neoplastic disease,Esophageal Cancer,1996,Response Rates,1,1
Neoplastic disease,Follicular Lymphoma,1996,Response Rates,1,1
Neoplastic disease,Follicular Lymphoma,1996,Survival/Time-to-Event,1,1
Neoplastic disease,Glioblastoma,1996,Response Rates,5,5
Neoplastic disease,Glioblastoma,1996,Survival/Time-to-Event,5,5
Neoplastic disease,Hepatocellular Carcinoma,1996,Adverse Events/Safety,1,1
Neoplastic disease,Hepatocellular Carcinoma,1996,Survival/Time-to-Event,2,1
Neoplastic disease,Hodgkin Lymphoma,1996,Adverse Events/Safety,11,2
Neoplastic disease,Hodgkin Lymphoma,1996,Biomarkers/Lab Values,5,2
Neoplastic disease,Hodgkin Lymphoma,1996,Immunogenicity,5,2
Neoplastic disease,Hodgkin Lymphoma,1996,Microbiological/Virological,1,1
Neoplastic disease,Hodgkin Lymphoma,1996,Mortality,1,1
Neoplastic disease,Hodgkin Lymphoma,1996,Pharmacokinetics,8,1
Neoplastic disease,Hodgkin Lymphoma,1996,Response Rates,9,3
Neoplastic disease,Hodgkin Lymphoma,1996,Survival/Time-to-Event,7,2
Neoplastic disease,Hodgkin Lymphoma,1996,Symptoms/Pain,1,1
Neoplastic disease,Hodgkin Lymphoma,1996,Treatment Adherence,1,1
Neoplastic disease,Locally Advanced Cancer,1996,Response Rates,1,1
Neoplastic disease,Melanoma,1996,Adverse Events/Safety,1,1
Neoplastic disease,Melanoma,1996,Disease Control,1,1
Neoplastic disease,Melanoma,1996,Immunogenicity,2,1
Neoplastic disease,Melanoma,1996,Survival/Time-to-Event,1,1
Neoplastic disease,Mesothelioma,1996,Response Rates,1,1
Neoplastic disease,Metastatic Disease,1996,Response Rates,4,4
Neoplastic disease,Metastatic Disease,1996,Survival/Time-to-Event,1,1
Neoplastic disease,Multiple Myeloma,1996,Response Rates,1,1
Neoplastic disease,Sarcoma,1996,Adverse Events/Safety,1,1
Neoplastic disease,Sarcoma,1996,Biomarkers/Lab Values,1,1
Neoplastic disease,Sarcoma,1996,Immunogenicity,1,1
Neoplastic disease,Sarcoma,1996,Survival/Time-to-Event,3,1
Neurological disorder,Spinal Cord Injury,1996,Functional Status,1,1
Neurological disorder,Spinal Cord Injury,1996,Vital Signs/Physical Measures,1,1
Respiratory disease,Allergic Rhinitis,1996,Symptoms/Pain,3,1
Disorder of endocrine system,Hypoparathyroidism,1997,Quality of Life/PRO,5,1
Disorder of endocrine system,Hypoparathyroidism,1997,Symptoms/Pain,7,1
Disorder of endocrine system,Hypoparathyroidism,1997,Vital Signs/Physical Measures,2,1
Disorder of endocrine system,Type 2 Diabetes,1997,Disease Control,1,1
Disorder of endocrine system,Type 2 Diabetes,1997,Mortality,2,2
Disorder of endocrine system,Type 2 Diabetes,1997,Survival/Time-to-Event,4,2
Disorder of haemostatic system,Deep Vein Thrombosis,1997,Disease Control,1,1
Disorder of haemostatic system,Deep Vein Thrombosis,1997,Hospitalization/Healthcare Use,1,1
Disorder of haemostatic system,Hemophilia A,1997,Adverse Events/Safety,3,1
Disorder of haemostatic system,Hemophilia A,1997,Functional Status,1,1
Disorder of haemostatic system,Hemophilia A,1997,Imaging Outcomes,1,1
Disorder of haemostatic system,Hemophilia A,1997,Immunogenicity,1,1
Disorder of haemostatic system,Hemophilia A,1997,Treatment Adherence,1,1
Disorder of immune function,Graft-versus-Host Disease,1997,Response Rates,1,1
Disorder of immune function,Graft-versus-Host Disease,1997,Survival/Time-to-Event,1,1
Disorder of immune function,Rheumatoid Arthritis,1997,Adverse Events/Safety,7,1
Disorder of immune function,Rheumatoid Arthritis,1997,Biomarkers/Lab Values,1,1
Disorder of immune function,Rheumatoid Arthritis,1997,Disease Activity Scores,3,1
Disorder of immune function,Rheumatoid Arthritis,1997,Dose-Finding,1,1
Disorder of immune function,Rheumatoid Arthritis,1997,Functional Status,2,1
Disorder of immune function,Rheumatoid Arthritis,1997,Mortality,3,1
Disorder of immune function,Rheumatoid Arthritis,1997,Response Rates,1,1
Disorder of immune function,Rheumatoid Arthritis,1997,Treatment Adherence,1,1
Disorder of skin,Wound Healing,1997,Response Rates,2,1
Infection,Cytomegalovirus,1997,Survival/Time-to-Event,1,1
Infection,Hepatitis C,1997,Response Rates,2,1
Infection,Herpes Simplex Virus,1997,Disease Control,1,1
Infection,Herpes Simplex Virus,1997,Functional Status,1,1
Infection,Herpes Simplex Virus,1997,Microbiological/Virological,1,1
Infection,Osteomyelitis,1997,Adverse Events/Safety,1,1
Injury,Burns,1997,Symptoms/Pain,1,1
Mental illness,Alcohol Use Disorder,1997,Functional Status,1,1
Mental illness,Alcohol Use Disorder,1997,Mental Health Outcomes,5,1
Mental illness,Alcohol Use Disorder,1997,Quality of Life/PRO,2,1
Mental illness,Alcohol Use Disorder,1997,Symptoms/Pain,9,1
Mental illness,Bipolar Disorder,1997,Mental Health Outcomes,1,1
Mental illness,Bipolar Disorder,1997,Remission/Cure,2,1
Mental illness,Bipolar Disorder,1997,Survival/Time-to-Event,1,1
Mental illness,Major Depressive Disorder,1997,Mental Health Outcomes,1,1
Mental illness,Schizophrenia,1997,Mental Health Outcomes,6,1
Mental illness,Schizophrenia,1997,Symptoms/Pain,3,1
Mental illness,Schizophrenia,1997,Vital Signs/Physical Measures,2,1
Musculoskeletal disorder,Juvenile Idiopathic Arthritis,1997,Adverse Events/Safety,1,1
Musculoskeletal disorder,Juvenile Idiopathic Arthritis,1997,Disease Activity Scores,1,1
Musculoskeletal disorder,Juvenile Idiopathic Arthritis,1997,Survival/Time-to-Event,1,1
Musculoskeletal disorder,Low Back Pain,1997,Mental Health Outcomes,1,1
Musculoskeletal disorder,Low Back Pain,1997,Quality of Life/PRO,8,1
Musculoskeletal disorder,Low Back Pain,1997,Response Rates,1,1
Musculoskeletal disorder,Low Back Pain,1997,Survival/Time-to-Event,1,1
Musculoskeletal disorder,Low Back Pain,1997,Symptoms/Pain,3,1
Neoplastic disease,Bladder Cancer,1997,Survival/Time-to-Event,2,1
Neoplastic disease,Brain Tumors,1997,Adverse Events/Safety,3,2
Neoplastic disease,Brain Tumors,1997,Disease Control,1,1
Neoplastic disease,Brain Tumors,1997,Response Rates,1,1
Neoplastic disease,Brain Tumors,1997,Survival/Time-to-Event,2,1
Neoplastic disease,Breast Cancer,1997,Adverse Events/Safety,2,2
Neoplastic disease,Breast Cancer,1997,Mental Health Outcomes,2,1
Neoplastic disease,Breast Cancer,1997,Quality of Life/PRO,2,2
Neoplastic disease,Breast Cancer,1997,Survival/Time-to-Event,4,2
Neoplastic disease,Chronic Lymphocytic Leukemia,1997,Adverse Events/Safety,1,1
Neoplastic disease,Chronic Lymphocytic Leukemia,1997,Biomarkers/Lab Values,1,1
Neoplastic disease,Endometrial Cancer,1997,Adverse Events/Safety,1,1
Neoplastic disease,Endometrial Cancer,1997,Survival/Time-to-Event,2,1
Neoplastic disease,Hodgkin Lymphoma,1997,Adverse Events/Safety,2,2
Neoplastic disease,Hodgkin Lymphoma,1997,Dose-Finding,1,1
Neoplastic disease,Hodgkin Lymphoma,1997,Response Rates,3,2
Neoplastic disease,Hodgkin Lymphoma,1997,Survival/Time-to-Event,8,3
Neoplastic disease,Non-Hodgkin Lymphoma,1997,Response Rates,1,1
Neoplastic disease,Prostate Cancer,1997,Biomarkers/Lab Values,3,1
Neoplastic disease,Prostate Cancer,1997,Functional Status,2,1
Neoplastic disease,Prostate Cancer,1997,Imaging Outcomes,2,2
Neoplastic disease,Prostate Cancer,1997,Mental Health Outcomes,5,1
Neoplastic disease,Prostate Cancer,1997,Survival/Time-to-Event,3,2
Neoplastic disease,Renal Cell Carcinoma,1997,Survival/Time-to-Event,1,1
Neoplastic disease,Small Cell Lung Cancer,1997,Adverse Events/Safety,1,1
Neoplastic disease,Small Cell Lung Cancer,1997,Pharmacokinetics,1,1
Neurological disorder,Trigeminal Neuralgia,1997,Functional Status,1,1
Neurological disorder,Trigeminal Neuralgia,1997,Symptoms/Pain,1,1
Neurological disorder,Trigeminal Neuralgia,1997,Vital Signs/Physical Measures,1,1
Respiratory disease,Asthma,1997,Adverse Events/Safety,18,1
Blood disease,Anemia,1998,Adverse Events/Safety,1,1
Blood disease,Anemia,1998,Quality of Life/PRO,1,1
Blood disease,Anemia,1998,Survival/Time-to-Event,1,1
Cardiovascular disease,Aortic Stenosis,1998,Adverse Events/Safety,1,1
Cardiovascular disease,Aortic Stenosis,1998,Imaging Outcomes,1,1
Cardiovascular disease,Atherosclerosis,1998,Imaging Outcomes,3,1
Cardiovascular disease,Coronary Artery Disease,1998,Adverse Events/Safety,1,1
Disorder of endocrine system,Gestational Diabetes,1998,Functional Status,1,1
Disorder of endocrine system,Gestational Diabetes,1998,Hospitalization/Healthcare Use,2,1
Disorder of endocrine system,Gestational Diabetes,1998,Imaging Outcomes,1,1
Disorder of endocrine system,Gestational Diabetes,1998,Vital Signs/Physical Measures,5,2
Disorder of endocrine system,Hypogonadism,1998,Adverse Events/Safety,1,1
Disorder of endocrine system,Hypogonadism,1998,Biomarkers/Lab Values,5,1
Disorder of endocrine system,Type 2 Diabetes,1998,Biomarkers/Lab Values,4,1
Disorder of eye,Inherited Retinal Diseases,1998,Mental Health Outcomes,1,1
Disorder of eye,Inherited Retinal Diseases,1998,Response Rates,2,1
Disorder of immune function,Organ Transplant Rejection,1998,Adverse Events/Safety,3,1
Disorder of immune function,Rheumatoid Arthritis,1998,Adverse Events/Safety,7,1
Disorder of immune function,Rheumatoid Arthritis,1998,Biomarkers/Lab Values,1,1
Disorder of immune function,Rheumatoid Arthritis,1998,Disease Activity Scores,5,1
Disorder of immune function,Rheumatoid Arthritis,1998,Dose-Finding,1,1
Disorder of immune function,Rheumatoid Arthritis,1998,Functional Status,1,1
Disorder of immune function,Rheumatoid Arthritis,1998,Imaging Outcomes,1,1
Disorder of immune function,Rheumatoid Arthritis,1998,Mortality,3,1
Disorder of immune function,Rheumatoid Arthritis,1998,Quality of Life/PRO,3,1
Disorder of immune function,Rheumatoid Arthritis,1998,Response Rates,3,1
Disorder of immune function,Rheumatoid Arthritis,1998,Symptoms/Pain,2,1
Disorder of immune function,Rheumatoid Arthritis,1998,Treatment Adherence,1,1
Infection,Cytomegalovirus,1998,Immunogenicity,4,1
Infection,HIV/AIDS,1998,Other Clinical Endpoints,1,1
Infection,HIV/AIDS,1998,Quality of Life/PRO,1,1
Infection,HIV/AIDS,1998,Survival/Time-to-Event,1,1
Infection,HIV/AIDS,1998,Symptoms/Pain,3,1
Infection,HIV/AIDS,1998,Treatment Adherence,1,1
Infection,Influenza,1998,Adverse Events/Safety,1,1
Infection,Influenza,1998,Hospitalization/Healthcare Use,1,1
Mental illness,Schizophrenia,1998,Adverse Events/Safety,2,1
Mental illness,Schizophrenia,1998,Biomarkers/Lab Values,1,1
Mental illness,Schizophrenia,1998,Disease Activity Scores,2,1
Mental illness,Schizophrenia,1998,Mental Health Outcomes,7,2
Mental illness,Schizophrenia,1998,Symptoms/Pain,2,1
Mental illness,Schizophrenia,1998,Vital Signs/Physical Measures,1,1
Mental illness,Social Anxiety Disorder,1998,Mental Health Outcomes,1,1
Mental illness,Social Anxiety Disorder,1998,Response Rates,2,1
Musculoskeletal disorder,Osteoarthritis,1998,Functional Status,1,1
Musculoskeletal disorder,Osteoarthritis,1998,Hospitalization/Healthcare Use,1,1
Musculoskeletal disorder,Osteoarthritis,1998,Imaging Outcomes,2,1
Musculoskeletal disorder,Osteoarthritis,1998,Quality of Life/PRO,1,1
Neoplastic disease,Acute Myeloid Leukemia,1998,Adverse Events/Safety,2,1
Neoplastic disease,Acute Myeloid Leukemia,1998,Remission/Cure,1,1
Neoplastic disease,Acute Myeloid Leukemia,1998,Survival/Time-to-Event,1,1
Neoplastic disease,Breast Cancer,1998,Adverse Events/Safety,3,3
Neoplastic disease,Breast Cancer,1998,Biomarkers/Lab Values,5,1
Neoplastic disease,Breast Cancer,1998,Disease Activity Scores,1,1
Neoplastic disease,Breast Cancer,1998,Disease Control,1,1
Neoplastic disease,Breast Cancer,1998,Imaging Outcomes,5,1
Neoplastic disease,Breast Cancer,1998,Quality of Life/PRO,9,1
Neoplastic disease,Breast Cancer,1998,Response Rates,3,2
Neoplastic disease,Breast Cancer,1998,Survival/Time-to-Event,7,4
Neoplastic disease,Breast Cancer,1998,Symptoms/Pain,2,1
Neoplastic disease,Chronic Myeloid Leukemia,1998,Biomarkers/Lab Values,1,1
Neoplastic disease,Chronic Myeloid Leukemia,1998,Response Rates,4,2
Neoplastic disease,Chronic Myeloid Leukemia,1998,Survival/Time-to-Event,2,2
Neoplastic disease,Colorectal Cancer,1998,Adverse Events/Safety,3,2
Neoplastic disease,Colorectal Cancer,1998,Quality of Life/PRO,1,1
Neoplastic disease,Colorectal Cancer,1998,Response Rates,1,1
Neoplastic disease,Colorectal Cancer,1998,Survival/Time-to-Event,4,2
Neoplastic disease,Glioblastoma,1998,Adverse Events/Safety,1,1
Neoplastic disease,Glioblastoma,1998,Response Rates,2,2
Neoplastic disease,Glioblastoma,1998,Survival/Time-to-Event,1,1
Neoplastic disease,Hepatocellular Carcinoma,1998,Adverse Events/Safety,1,1
Neoplastic disease,Hepatocellular Carcinoma,1998,Response Rates,1,1
Neoplastic disease,Hepatocellular Carcinoma,1998,Survival/Time-to-Event,2,1
Neoplastic disease,Hodgkin Lymphoma,1998,Adverse Events/Safety,32,6
Neoplastic disease,Hodgkin Lymphoma,1998,Biomarkers/Lab Values,17,4
Neoplastic disease,Hodgkin Lymphoma,1998,Disease Control,2,1
Neoplastic disease,Hodgkin Lymphoma,1998,Hospitalization/Healthcare Use,1,1
Neoplastic disease,Hodgkin Lymphoma,1998,Immunogenicity,4,3
Neoplastic disease,Hodgkin Lymphoma,1998,Microbiological/Virological,5,4
Neoplastic disease,Hodgkin Lymphoma,1998,Mortality,5,3
