rank,semantic_pattern,n_distinct_titles,n_endpoint_records,pct_distinct_titles,pct_endpoint_records
79,object+temporal_expression+baseline_or_comparator+instrument_or_scale+participant_population,44,45,0.011275,0.009617
80,object+temporal_expression+measurement_operator+instrument_or_scale+composite_or_multiple_objects,40,41,0.010250,0.008762
81,object+measurement_operator+baseline_or_comparator+composite_or_multiple_objects,39,40,0.009994,0.008549
82,object+baseline_or_comparator+explicit_unit+participant_population,35,39,0.008969,0.008335
83,object+temporal_expression+measurement_operator+baseline_or_comparator+explicit_unit+composite_or_multiple_objects+participant_population,29,30,0.007432,0.006412
84,object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale+composite_or_multiple_objects,26,30,0.006663,0.006412
85,object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale+explicit_unit+composite_or_multiple_objects+participant_population,29,30,0.007432,0.006412
86,object+measurement_operator+explicit_unit+composite_or_multiple_objects+participant_population,21,23,0.005381,0.004916
87,object+temporal_expression+measurement_operator+baseline_or_comparator+composite_or_multiple_objects+participant_population,23,23,0.005894,0.004916
88,object+temporal_expression+explicit_unit+composite_or_multiple_objects+participant_population,20,20,0.005125,0.004274
89,object+temporal_expression+measurement_operator+instrument_or_scale+composite_or_multiple_objects+participant_population,18,18,0.004613,0.003847
90,object+temporal_expression+composite_or_multiple_objects+participant_population,16,16,0.004100,0.003420
91,object+temporal_expression+instrument_or_scale+explicit_unit+composite_or_multiple_objects,14,15,0.003588,0.003206
92,object+measurement_operator+baseline_or_comparator+instrument_or_scale+composite_or_multiple_objects+participant_population,14,14,0.003588,0.002992
93,object+temporal_expression+instrument_or_scale+composite_or_multiple_objects,14,14,0.003588,0.002992
94,object+temporal_expression+baseline_or_comparator+explicit_unit+composite_or_multiple_objects,12,13,0.003075,0.002778
95,object+instrument_or_scale+explicit_unit+participant_population,12,12,0.003075,0.002565
96,object+measurement_operator+explicit_unit+composite_or_multiple_objects,12,12,0.003075,0.002565
97,object+instrument_or_scale+composite_or_multiple_objects+participant_population,11,11,0.002819,0.002351
98,object+baseline_or_comparator+instrument_or_scale+explicit_unit,10,10,0.002563,0.002137
99,object+explicit_unit+composite_or_multiple_objects,10,10,0.002563,0.002137
100,object+measurement_operator+instrument_or_scale+explicit_unit+composite_or_multiple_objects,8,9,0.002050,0.001923
101,object+temporal_expression+measurement_operator+baseline_or_comparator+composite_or_multiple_objects,9,9,0.002306,0.001923
102,object+baseline_or_comparator+composite_or_multiple_objects,7,7,0.001794,0.001496
103,object+temporal_expression+instrument_or_scale+composite_or_multiple_objects+participant_population,6,6,0.001538,0.001282
