disease_area,disease,phase,completion_period,period_trial_count,outcome_normalized,percentage,rank,outcome_position
Disorder of eye,Dry Eye Disease,Phase 1,2006-2010,1,CONJUNCTIVAL HYPEREMIA,0.0000,1.0000,15
Disorder of eye,Dry Eye Disease,Phase 1,2006-2010,1,EPITHELIAL DEFECTS,0.0000,1.0000,16
Disorder of eye,Dry Eye Disease,Phase 1,2006-2010,1,PRESENCE OF ADVERSE EVENTS,0.0000,1.0000,18
Disorder of eye,Dry Eye Disease,Phase 1,2006-2010,1,BREAKUP TIME,0.0000,1.0000,19
Disorder of eye,Dry Eye Disease,Phase 1,2011-2015,2,CHEMOSIS,0.0000,1.0000,14
Disorder of eye,Dry Eye Disease,Phase 1,2011-2015,2,CONJUNCTIVAL HYPEREMIA,0.0000,1.0000,15
Disorder of eye,Dry Eye Disease,Phase 1,2011-2015,2,EPITHELIAL DEFECTS,0.0000,1.0000,16
Disorder of eye,Dry Eye Disease,Phase 1,2011-2015,2,PRESENCE OF ADVERSE EVENTS,0.0000,1.0000,18
Disorder of eye,Dry Eye Disease,Phase 1,2011-2015,2,BREAKUP TIME,0.0000,1.0000,19
Disorder of eye,Dry Eye Disease,Phase 1,2016-2020,3,CHEMOSIS,100.0000,1.0000,14
Disorder of eye,Dry Eye Disease,Phase 1,2016-2020,3,CONJUNCTIVAL HYPEREMIA,100.0000,1.0000,15
Disorder of eye,Dry Eye Disease,Phase 1,2016-2020,3,EPITHELIAL DEFECTS,100.0000,1.0000,16
Disorder of eye,Dry Eye Disease,Phase 1,2016-2020,3,PRESENCE OF ADVERSE EVENTS,100.0000,1.0000,18
Disorder of eye,Dry Eye Disease,Phase 1,2016-2020,3,BREAKUP TIME,100.0000,1.0000,19
Disorder of eye,Dry Eye Disease,Phase 2,2006-2010,8,OCULAR DISCOMFORT SCORE,33.3333,1.0000,2
Disorder of eye,Dry Eye Disease,Phase 2,2006-2010,8,CHANGE IN OCULAR DISCOMFORT SCORE,0.0000,2.0000,1
Disorder of eye,Dry Eye Disease,Phase 2,2006-2010,8,CHANGE IN SANDE SCORE,0.0000,2.0000,7
Disorder of eye,Dry Eye Disease,Phase 2,2006-2010,8,TEAR FILM BREAK-UP TIME,0.0000,2.0000,8
Disorder of eye,Dry Eye Disease,Phase 2,2006-2010,8,CHANGE FROM BASELINE IN SANDE SCORE,0.0000,2.0000,9
Disorder of eye,Dry Eye Disease,Phase 2,2011-2015,13,TEAR FILM BREAK-UP TIME,25.0000,1.0000,8
Disorder of eye,Dry Eye Disease,Phase 2,2011-2015,13,OCULAR DISCOMFORT SCORE,0.0000,2.0000,2
Disorder of eye,Dry Eye Disease,Phase 2,2011-2015,13,CHANGE IN OCULAR DISCOMFORT SCORE,0.0000,2.0000,1
Disorder of eye,Dry Eye Disease,Phase 2,2011-2015,13,CHANGE IN SANDE SCORE,0.0000,2.0000,7
Disorder of eye,Dry Eye Disease,Phase 2,2011-2015,13,CHANGE FROM BASELINE IN SANDE SCORE,0.0000,2.0000,9
Disorder of eye,Dry Eye Disease,Phase 2,2016-2020,27,CHANGE IN SANDE SCORE,29.1667,1.0000,7
Disorder of eye,Dry Eye Disease,Phase 2,2016-2020,27,CHANGE FROM BASELINE IN SANDE SCORE,22.2222,2.0000,9
Disorder of eye,Dry Eye Disease,Phase 2,2016-2020,27,CHANGE IN OCULAR DISCOMFORT SCORE,18.9815,3.0000,1
Disorder of eye,Dry Eye Disease,Phase 2,2016-2020,27,TEAR FILM BREAK-UP TIME,15.5556,4.0000,8
Disorder of eye,Dry Eye Disease,Phase 2,2016-2020,27,OCULAR DISCOMFORT SCORE,14.5370,5.0000,2
Disorder of eye,Dry Eye Disease,Phase 2,2021-2025,22,CHANGE IN SANDE SCORE,55.5556,1.0000,7
Disorder of eye,Dry Eye Disease,Phase 2,2021-2025,22,OCULAR DISCOMFORT SCORE,28.5714,2.0000,2
Disorder of eye,Dry Eye Disease,Phase 2,2021-2025,22,TEAR FILM BREAK-UP TIME,28.5714,2.0000,8
Disorder of eye,Dry Eye Disease,Phase 2,2021-2025,22,CHANGE IN OCULAR DISCOMFORT SCORE,22.2222,4.0000,1
Disorder of eye,Dry Eye Disease,Phase 2,2021-2025,22,CHANGE FROM BASELINE IN SANDE SCORE,12.6984,5.0000,9
Disorder of eye,Dry Eye Disease,Phase 3,2006-2010,4,CHANGE IN EYE DRYNESS SCORE,0.0000,1.0000,0
Disorder of eye,Dry Eye Disease,Phase 3,2006-2010,4,CHANGE FROM BASELINE IN OSDI SCORE,0.0000,1.0000,3
Disorder of eye,Dry Eye Disease,Phase 3,2006-2010,4,CHANGE FROM BASELINE IN SCHIRMER TEST,0.0000,1.0000,4
Disorder of eye,Dry Eye Disease,Phase 3,2006-2010,4,CHANGE FROM BASELINE IN TEAR BREAK-UP TIME,0.0000,1.0000,5
Disorder of eye,Dry Eye Disease,Phase 3,2006-2010,4,CHANGE FROM BASELINE IN TEAR FILM BREAK-UP TIME,0.0000,1.0000,6
Disorder of eye,Dry Eye Disease,Phase 3,2011-2015,19,CHANGE FROM BASELINE IN TEAR BREAK-UP TIME,31.1111,1.0000,5
Disorder of eye,Dry Eye Disease,Phase 3,2011-2015,19,CHANGE FROM BASELINE IN OSDI SCORE,26.6667,2.0000,3
Disorder of eye,Dry Eye Disease,Phase 3,2011-2015,19,CHANGE FROM BASELINE IN SCHIRMER TEST,24.4444,3.0000,4
Disorder of eye,Dry Eye Disease,Phase 3,2011-2015,19,CHANGE IN EYE DRYNESS SCORE,22.5000,4.0000,0
Disorder of eye,Dry Eye Disease,Phase 3,2011-2015,19,CHANGE FROM BASELINE IN TEAR FILM BREAK-UP TIME,0.0000,5.0000,6
Disorder of eye,Dry Eye Disease,Phase 3,2016-2020,15,CHANGE FROM BASELINE IN OSDI SCORE,100.0000,1.0000,3
Disorder of eye,Dry Eye Disease,Phase 3,2016-2020,15,CHANGE FROM BASELINE IN SCHIRMER TEST,100.0000,1.0000,4
Disorder of eye,Dry Eye Disease,Phase 3,2016-2020,15,CHANGE FROM BASELINE IN TEAR BREAK-UP TIME,50.0000,3.0000,5
Disorder of eye,Dry Eye Disease,Phase 3,2016-2020,15,CHANGE FROM BASELINE IN TEAR FILM BREAK-UP TIME,25.0000,4.0000,6
Disorder of eye,Dry Eye Disease,Phase 3,2016-2020,15,CHANGE IN EYE DRYNESS SCORE,20.8333,5.0000,0
Disorder of eye,Dry Eye Disease,Phase 3,2021-2025,19,CHANGE FROM BASELINE IN TEAR FILM BREAK-UP TIME,33.3333,1.0000,6
Disorder of eye,Dry Eye Disease,Phase 3,2021-2025,19,CHANGE IN EYE DRYNESS SCORE,16.6667,2.0000,0
Disorder of eye,Dry Eye Disease,Phase 3,2021-2025,19,CHANGE FROM BASELINE IN OSDI SCORE,16.6667,2.0000,3
Disorder of eye,Dry Eye Disease,Phase 3,2021-2025,19,CHANGE FROM BASELINE IN SCHIRMER TEST,0.0000,4.0000,4
Disorder of eye,Dry Eye Disease,Phase 3,2021-2025,19,CHANGE FROM BASELINE IN TEAR BREAK-UP TIME,0.0000,4.0000,5
Disorder of eye,Dry Eye Disease,Phase 4,2006-2010,8,CHANGE FROM BASELINE IN CONJUNCTIVAL STAINING,33.3333,1.0000,20
Disorder of eye,Dry Eye Disease,Phase 4,2006-2010,8,CHANGE FROM BASELINE IN CORNEAL STAINING,33.3333,1.0000,21
Disorder of eye,Dry Eye Disease,Phase 4,2006-2010,8,CHANGE IN OSDI SCORE,0.0000,3.0000,12
Disorder of eye,Dry Eye Disease,Phase 4,2006-2010,8,OCULAR SURFACE DISEASE INDEX SCORE,0.0000,3.0000,13
Disorder of eye,Dry Eye Disease,Phase 4,2006-2010,8,INTRAOCULAR PRESSURE,0.0000,3.0000,17
Disorder of eye,Dry Eye Disease,Phase 4,2011-2015,8,CHANGE IN OSDI SCORE,50.0000,1.0000,12
Disorder of eye,Dry Eye Disease,Phase 4,2011-2015,8,OCULAR SURFACE DISEASE INDEX SCORE,50.0000,1.0000,13
Disorder of eye,Dry Eye Disease,Phase 4,2011-2015,8,CHANGE FROM BASELINE IN CONJUNCTIVAL STAINING,50.0000,1.0000,20
Disorder of eye,Dry Eye Disease,Phase 4,2011-2015,8,CHANGE FROM BASELINE IN CORNEAL STAINING,50.0000,1.0000,21
Disorder of eye,Dry Eye Disease,Phase 4,2011-2015,8,INTRAOCULAR PRESSURE,0.0000,5.0000,17
Disorder of eye,Dry Eye Disease,Phase 4,2016-2020,12,OCULAR SURFACE DISEASE INDEX SCORE,66.6667,1.0000,13
Disorder of eye,Dry Eye Disease,Phase 4,2016-2020,12,CHANGE IN OSDI SCORE,50.0000,2.0000,12
Disorder of eye,Dry Eye Disease,Phase 4,2016-2020,12,INTRAOCULAR PRESSURE,41.6667,3.0000,17
Disorder of eye,Dry Eye Disease,Phase 4,2016-2020,12,CHANGE FROM BASELINE IN CONJUNCTIVAL STAINING,0.0000,4.0000,20
Disorder of eye,Dry Eye Disease,Phase 4,2016-2020,12,CHANGE FROM BASELINE IN CORNEAL STAINING,0.0000,4.0000,21
Disorder of eye,Dry Eye Disease,Phase 4,2021-2025,14,OCULAR SURFACE DISEASE INDEX SCORE,100.0000,1.0000,13
Disorder of eye,Dry Eye Disease,Phase 4,2021-2025,14,CHANGE IN OSDI SCORE,25.0000,2.0000,12
Disorder of eye,Dry Eye Disease,Phase 4,2021-2025,14,INTRAOCULAR PRESSURE,0.0000,3.0000,17
Disorder of eye,Dry Eye Disease,Phase 4,2021-2025,14,CHANGE FROM BASELINE IN CONJUNCTIVAL STAINING,0.0000,3.0000,20
Disorder of eye,Dry Eye Disease,Phase 4,2021-2025,14,CHANGE FROM BASELINE IN CORNEAL STAINING,0.0000,3.0000,21
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2011-2015,2,MAXIMUM PLASMA CONCENTRATION,0.0000,1.0000,2
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2011-2015,2,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,0.0000,1.0000,8
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2011-2015,2,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,0.0000,1.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2011-2015,2,TIME TO MAXIMUM CONCENTRATION,0.0000,1.0000,11
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2011-2015,2,AUC FROM 0 TO INFINITY,0.0000,1.0000,13
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2016-2020,5,MAXIMUM PLASMA CONCENTRATION,100.0000,1.0000,2
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2016-2020,5,AUC FROM 0 TO INFINITY,100.0000,1.0000,13
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2016-2020,5,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,66.6667,3.0000,8
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2016-2020,5,TIME TO MAXIMUM CONCENTRATION,66.6667,3.0000,11
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2016-2020,5,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,33.3333,5.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2021-2025,5,NUMBER OF PARTICIPANTS WITH ADVERSE EVENTS,100.0000,1.0000,8
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2021-2025,5,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,75.0000,2.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2021-2025,5,MAXIMUM PLASMA CONCENTRATION,50.0000,3.0000,2
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2021-2025,5,TIME TO MAXIMUM CONCENTRATION,50.0000,3.0000,11
Neurological disorder,Duchenne Muscular Dystrophy,Phase 1,2021-2025,5,AUC FROM 0 TO INFINITY,50.0000,3.0000,13
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2006-2010,6,CHANGE IN 6-MINUTE WALK DISTANCE,88.8889,1.0000,0
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2006-2010,6,NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,66.6667,2.0000,4
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2006-2010,6,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,33.3333,3.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2006-2010,6,PLASMA DRUG CONCENTRATION,33.3333,3.0000,5
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2006-2010,6,MAXIMUM PLASMA CONCENTRATION,0.0000,5.0000,2
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2011-2015,6,CHANGE IN 6-MINUTE WALK DISTANCE,100.0000,1.0000,0
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2011-2015,6,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,100.0000,1.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2011-2015,6,NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,0.0000,3.0000,4
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2011-2015,6,PLASMA DRUG CONCENTRATION,0.0000,3.0000,5
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2011-2015,6,MAXIMUM PLASMA CONCENTRATION,0.0000,3.0000,2
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2016-2020,28,CHANGE IN 6-MINUTE WALK DISTANCE,29.4444,1.0000,0
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2016-2020,28,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,29.3750,2.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2016-2020,28,NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,20.0000,3.0000,4
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2016-2020,28,PLASMA DRUG CONCENTRATION,20.0000,3.0000,5
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2016-2020,28,MAXIMUM PLASMA CONCENTRATION,20.0000,3.0000,2
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2021-2025,15,CHANGE IN 6-MINUTE WALK DISTANCE,40.0000,1.0000,0
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2021-2025,15,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,35.0000,2.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2021-2025,15,PLASMA DRUG CONCENTRATION,35.0000,2.0000,5
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2021-2025,15,MAXIMUM PLASMA CONCENTRATION,23.3333,4.0000,2
Neurological disorder,Duchenne Muscular Dystrophy,Phase 2,2021-2025,15,NUMBER OF PARTICIPANTS WITH TREATMENT EMERGENT ADVERSE EVENTS,22.5000,5.0000,4
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2006-2010,4,CHANGE IN 6-MINUTE WALK DISTANCE,0.0000,1.0000,0
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2006-2010,4,CHANGE FROM BASELINE IN NSAA TOTAL SCORE,0.0000,1.0000,6
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2006-2010,4,CHANGE FROM BASELINE IN TIME TO CLIMB 4 STAIRS,0.0000,1.0000,3
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2006-2010,4,CHANGE FROM BASELINE IN TIME TO DESCEND 4 STAIRS,0.0000,1.0000,9
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2006-2010,4,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,0.0000,1.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2011-2015,3,CHANGE IN 6-MINUTE WALK DISTANCE,100.0000,1.0000,0
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2011-2015,3,CHANGE FROM BASELINE IN NSAA TOTAL SCORE,100.0000,1.0000,6
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2011-2015,3,CHANGE FROM BASELINE IN TIME TO CLIMB 4 STAIRS,100.0000,1.0000,3
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2011-2015,3,CHANGE FROM BASELINE IN TIME TO DESCEND 4 STAIRS,100.0000,1.0000,9
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2011-2015,3,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,0.0000,5.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2016-2020,7,CHANGE FROM BASELINE IN NSAA TOTAL SCORE,100.0000,1.0000,6
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2016-2020,7,CHANGE IN 6-MINUTE WALK DISTANCE,72.2222,2.0000,0
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2016-2020,7,CHANGE FROM BASELINE IN TIME TO CLIMB 4 STAIRS,33.3333,3.0000,3
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2016-2020,7,CHANGE FROM BASELINE IN TIME TO DESCEND 4 STAIRS,33.3333,3.0000,9
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2016-2020,7,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,33.3333,3.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2021-2025,9,NUMBER OF PARTICIPANTS WITH TREATMENT-EMERGENT ADVERSE EVENTS,75.0000,1.0000,1
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2021-2025,9,CHANGE FROM BASELINE IN TIME TO CLIMB 4 STAIRS,50.0000,2.0000,3
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2021-2025,9,CHANGE FROM BASELINE IN TIME TO DESCEND 4 STAIRS,50.0000,2.0000,9
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2021-2025,9,CHANGE FROM BASELINE IN NSAA TOTAL SCORE,37.5000,4.0000,6
Neurological disorder,Duchenne Muscular Dystrophy,Phase 3,2021-2025,9,CHANGE IN 6-MINUTE WALK DISTANCE,0.0000,5.0000,0
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,2011-2015,4,CHANGE IN FVC (%-PREDICTED),0.0000,1.0000,16
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,2011-2015,4,CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,0.0000,1.0000,17
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,2011-2015,4,CHANGE IN MAXIMAL EXPIRATORY PRESSURES,0.0000,1.0000,18
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,2011-2015,4,CHANGE IN MAXIMAL INSUFFLATION CAPACITY,0.0000,1.0000,19
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,2011-2015,4,CHANGE IN MAXIMUM INSPIRATORY PRESSURES,0.0000,1.0000,20
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,2016-2020,1,CHANGE IN FVC (%-PREDICTED),100.0000,1.0000,16
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,2016-2020,1,CHANGE IN HEALTH-RELATED QUALITY OF LIFE SCORE,100.0000,1.0000,17
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,2016-2020,1,CHANGE IN MAXIMAL EXPIRATORY PRESSURES,100.0000,1.0000,18
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,2016-2020,1,CHANGE IN MAXIMAL INSUFFLATION CAPACITY,100.0000,1.0000,19
Neurological disorder,Duchenne Muscular Dystrophy,Phase 4,2016-2020,1,CHANGE IN MAXIMUM INSPIRATORY PRESSURES,100.0000,1.0000,20
Mental illness,Eating Disorders,Phase 2,2006-2010,3,CHANGE IN BODY WEIGHT,100.0000,1.0000,0
Mental illness,Eating Disorders,Phase 2,2006-2010,3,CHANGE IN FASTING PLASMA GLUCOSE,50.0000,2.0000,2
Mental illness,Eating Disorders,Phase 2,2006-2010,3,CHANGE IN BEHAVIORAL INHIBITION SCORE,0.0000,3.0000,7
Mental illness,Eating Disorders,Phase 2,2006-2010,3,CHANGE IN BINGE EATING SCORE,0.0000,3.0000,8
Mental illness,Eating Disorders,Phase 2,2006-2010,3,CHANGE IN BODY MASS INDEX,0.0000,3.0000,3
Mental illness,Eating Disorders,Phase 2,2011-2015,2,CHANGE IN BEHAVIORAL INHIBITION SCORE,0.0000,1.0000,7
Mental illness,Eating Disorders,Phase 2,2011-2015,2,CHANGE IN BINGE EATING SCORE,0.0000,1.0000,8
Mental illness,Eating Disorders,Phase 2,2011-2015,2,CHANGE IN BODY MASS INDEX,0.0000,1.0000,3
Mental illness,Eating Disorders,Phase 2,2011-2015,2,CHANGE IN BODY WEIGHT,0.0000,1.0000,0
Mental illness,Eating Disorders,Phase 2,2011-2015,2,CHANGE IN FASTING PLASMA GLUCOSE,0.0000,1.0000,2
Mental illness,Eating Disorders,Phase 2,2016-2020,2,CHANGE IN BODY MASS INDEX,100.0000,1.0000,3
Mental illness,Eating Disorders,Phase 2,2016-2020,2,CHANGE IN BODY WEIGHT,100.0000,1.0000,0
Mental illness,Eating Disorders,Phase 2,2016-2020,2,CHANGE IN FASTING PLASMA GLUCOSE,100.0000,1.0000,2
Mental illness,Eating Disorders,Phase 2,2016-2020,2,CHANGE IN BEHAVIORAL INHIBITION SCORE,0.0000,4.0000,7
Mental illness,Eating Disorders,Phase 2,2016-2020,2,CHANGE IN BINGE EATING SCORE,0.0000,4.0000,8
Mental illness,Eating Disorders,Phase 2,2021-2025,5,CHANGE IN BEHAVIORAL INHIBITION SCORE,40.0000,1.0000,7
Mental illness,Eating Disorders,Phase 2,2021-2025,5,CHANGE IN BINGE EATING SCORE,40.0000,1.0000,8
Mental illness,Eating Disorders,Phase 2,2021-2025,5,CHANGE IN BODY MASS INDEX,0.0000,3.0000,3
Mental illness,Eating Disorders,Phase 2,2021-2025,5,CHANGE IN BODY WEIGHT,0.0000,3.0000,0
Mental illness,Eating Disorders,Phase 2,2021-2025,5,CHANGE IN FASTING PLASMA GLUCOSE,0.0000,3.0000,2
Mental illness,Eating Disorders,Phase 3,2006-2010,1,CHANGE IN HEMOGLOBIN A1C,100.0000,1.0000,1
Mental illness,Eating Disorders,Phase 3,2006-2010,1,CHANGE IN TOTAL CHOLESTEROL,100.0000,1.0000,4
Mental illness,Eating Disorders,Phase 3,2006-2010,1,CHANGE IN FASTING PLASMA GLUCOSE,100.0000,1.0000,2
Mental illness,Eating Disorders,Phase 3,2006-2010,1,CHANGE IN BODY WEIGHT,0.0000,4.0000,0
Mental illness,Eating Disorders,Phase 3,2006-2010,1,CHANGE IN WAIST CIRCUMFERENCE,0.0000,4.0000,5
Mental illness,Eating Disorders,Phase 3,2011-2015,7,CHANGE IN HEMOGLOBIN A1C,100.0000,1.0000,1
Mental illness,Eating Disorders,Phase 3,2011-2015,7,CHANGE IN BODY WEIGHT,50.0000,2.0000,0
Mental illness,Eating Disorders,Phase 3,2011-2015,7,CHANGE IN TOTAL CHOLESTEROL,50.0000,2.0000,4
Mental illness,Eating Disorders,Phase 3,2011-2015,7,CHANGE IN WAIST CIRCUMFERENCE,37.5000,4.0000,5
Mental illness,Eating Disorders,Phase 3,2011-2015,7,CHANGE IN FASTING PLASMA GLUCOSE,25.0000,5.0000,2
Mental illness,Eating Disorders,Phase 3,2016-2020,8,CHANGE IN BODY WEIGHT,88.8889,1.0000,0
Mental illness,Eating Disorders,Phase 3,2016-2020,8,CHANGE IN HEMOGLOBIN A1C,77.7778,2.0000,1
Mental illness,Eating Disorders,Phase 3,2016-2020,8,CHANGE IN TOTAL CHOLESTEROL,66.6667,3.0000,4
Mental illness,Eating Disorders,Phase 3,2016-2020,8,CHANGE IN FASTING PLASMA GLUCOSE,66.6667,3.0000,2
Mental illness,Eating Disorders,Phase 3,2016-2020,8,CHANGE IN WAIST CIRCUMFERENCE,66.6667,3.0000,5
Mental illness,Eating Disorders,Phase 3,2021-2025,4,CHANGE IN HEMOGLOBIN A1C,100.0000,1.0000,1
Mental illness,Eating Disorders,Phase 3,2021-2025,4,CHANGE IN BODY WEIGHT,100.0000,1.0000,0
Mental illness,Eating Disorders,Phase 3,2021-2025,4,CHANGE IN TOTAL CHOLESTEROL,100.0000,1.0000,4
Mental illness,Eating Disorders,Phase 3,2021-2025,4,CHANGE IN FASTING PLASMA GLUCOSE,100.0000,1.0000,2
Mental illness,Eating Disorders,Phase 3,2021-2025,4,CHANGE IN WAIST CIRCUMFERENCE,100.0000,1.0000,5
Mental illness,Eating Disorders,Phase 4,2006-2010,2,BINGE EATING DAYS,100.0000,1.0000,11
Mental illness,Eating Disorders,Phase 4,2006-2010,2,CHANGE IN BODY WEIGHT,100.0000,1.0000,0
Mental illness,Eating Disorders,Phase 4,2006-2010,2,5-HT TRANSPORTER BINDING POTENTIAL,0.0000,3.0000,10
Mental illness,Eating Disorders,Phase 4,2006-2010,2,CHANGE IN CHILD QUALITY OF LIFE SCORE,0.0000,3.0000,12
Mental illness,Eating Disorders,Phase 4,2006-2010,2,CHANGE IN GAD-7 SCORE,0.0000,3.0000,13
Mental illness,Eating Disorders,Phase 4,2016-2020,2,5-HT TRANSPORTER BINDING POTENTIAL,100.0000,1.0000,10
Mental illness,Eating Disorders,Phase 4,2016-2020,2,BINGE EATING DAYS,0.0000,2.0000,11
Mental illness,Eating Disorders,Phase 4,2016-2020,2,CHANGE IN BODY WEIGHT,0.0000,2.0000,0
Mental illness,Eating Disorders,Phase 4,2016-2020,2,CHANGE IN CHILD QUALITY OF LIFE SCORE,0.0000,2.0000,12
Mental illness,Eating Disorders,Phase 4,2016-2020,2,CHANGE IN GAD-7 SCORE,0.0000,2.0000,13
Mental illness,Eating Disorders,Phase 4,2021-2025,1,CHANGE IN CHILD QUALITY OF LIFE SCORE,100.0000,1.0000,12
Mental illness,Eating Disorders,Phase 4,2021-2025,1,CHANGE IN GAD-7 SCORE,100.0000,1.0000,13
Mental illness,Eating Disorders,Phase 4,2021-2025,1,5-HT TRANSPORTER BINDING POTENTIAL,0.0000,3.0000,10
Mental illness,Eating Disorders,Phase 4,2021-2025,1,BINGE EATING DAYS,0.0000,3.0000,11
Mental illness,Eating Disorders,Phase 4,2021-2025,1,CHANGE IN BODY WEIGHT,0.0000,3.0000,0
Clinical finding,Edema,Phase 2,2006-2010,1,CHANGE IN VAS PAIN SCORE,0.0000,1.0000,2
Clinical finding,Edema,Phase 2,2006-2010,1,AESTHETIC APPEARANCE IMPROVEMENT,0.0000,1.0000,10
Clinical finding,Edema,Phase 2,2006-2010,1,AESTHETIC APPEARANCE IMPROVEMENT LIKERT SCORES,0.0000,1.0000,11
Clinical finding,Edema,Phase 2,2006-2010,1,AUC FROM 0 TO INFINITY,0.0000,1.0000,14
Clinical finding,Edema,Phase 2,2006-2010,1,AUC [0-24],0.0000,1.0000,15
Clinical finding,Edema,Phase 2,2011-2015,4,CHANGE IN VAS PAIN SCORE,75.0000,1.0000,2
Clinical finding,Edema,Phase 2,2011-2015,4,AESTHETIC APPEARANCE IMPROVEMENT,0.0000,2.0000,10
Clinical finding,Edema,Phase 2,2011-2015,4,AESTHETIC APPEARANCE IMPROVEMENT LIKERT SCORES,0.0000,2.0000,11
Clinical finding,Edema,Phase 2,2011-2015,4,AUC FROM 0 TO INFINITY,0.0000,2.0000,14
