disease_area,disease,phase,completion_period,period_trial_count,outcome_normalized,percentage,rank,outcome_position
Disorder of skin,Acne,Phase 3,2016-2020,38,IGA RESPONSE,30.7599,2.0000,0
Disorder of skin,Acne,Phase 3,2016-2020,38,PERCENT CHANGE IN INFLAMMATORY LESION COUNTS,29.0909,3.0000,1
Disorder of skin,Acne,Phase 3,2016-2020,38,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNT,19.9301,4.0000,3
Disorder of skin,Acne,Phase 3,2016-2020,38,PERCENT CHANGE IN TOTAL LESION COUNTS,18.1818,5.0000,2
Disorder of skin,Acne,Phase 3,2021-2025,4,IGA RESPONSE,0.0000,1.0000,0
Disorder of skin,Acne,Phase 3,2021-2025,4,PERCENT CHANGE IN INFLAMMATORY LESION COUNTS,0.0000,1.0000,1
Disorder of skin,Acne,Phase 3,2021-2025,4,ABSOLUTE CHANGE IN INFLAMMATORY LESION COUNT,0.0000,1.0000,3
Disorder of skin,Acne,Phase 3,2021-2025,4,PERCENT CHANGE IN NON-INFLAMMATORY LESION COUNTS,0.0000,1.0000,4
Disorder of skin,Acne,Phase 3,2021-2025,4,PERCENT CHANGE IN TOTAL LESION COUNTS,0.0000,1.0000,2
Disorder of skin,Acne,Phase 4,2006-2010,30,IGA RESPONSE,21.1275,1.0000,0
Disorder of skin,Acne,Phase 4,2006-2010,30,PERCENT CHANGE IN INFLAMMATORY LESION COUNTS,16.2500,2.0000,1
Disorder of skin,Acne,Phase 4,2006-2010,30,PATIENT SATISFACTION,11.7647,3.0000,9
Disorder of skin,Acne,Phase 4,2006-2010,30,PERCENT CHANGE IN TOTAL LESION COUNT,0.0000,4.0000,8
Disorder of skin,Acne,Phase 4,2006-2010,30,PERCENT CHANGE IN NON-INFLAMMATORY LESION COUNT,0.0000,4.0000,10
Disorder of skin,Acne,Phase 4,2011-2015,14,PATIENT SATISFACTION,70.0000,1.0000,9
Disorder of skin,Acne,Phase 4,2011-2015,14,PERCENT CHANGE IN NON-INFLAMMATORY LESION COUNT,50.0000,2.0000,10
Disorder of skin,Acne,Phase 4,2011-2015,14,PERCENT CHANGE IN TOTAL LESION COUNT,37.5000,3.0000,8
Disorder of skin,Acne,Phase 4,2011-2015,14,PERCENT CHANGE IN INFLAMMATORY LESION COUNTS,22.5000,4.0000,1
Disorder of skin,Acne,Phase 4,2011-2015,14,IGA RESPONSE,20.0000,5.0000,0
Disorder of skin,Acne,Phase 4,2016-2020,12,PERCENT CHANGE IN TOTAL LESION COUNT,54.1667,1.0000,8
Disorder of skin,Acne,Phase 4,2016-2020,12,PERCENT CHANGE IN NON-INFLAMMATORY LESION COUNT,54.1667,1.0000,10
Disorder of skin,Acne,Phase 4,2016-2020,12,IGA RESPONSE,36.1111,3.0000,0
Disorder of skin,Acne,Phase 4,2016-2020,12,PERCENT CHANGE IN INFLAMMATORY LESION COUNTS,33.3333,4.0000,1
Disorder of skin,Acne,Phase 4,2016-2020,12,PATIENT SATISFACTION,0.0000,5.0000,9
Disorder of skin,Acne,Phase 4,2021-2025,13,IGA RESPONSE,73.3333,1.0000,0
Disorder of skin,Acne,Phase 4,2021-2025,13,PERCENT CHANGE IN TOTAL LESION COUNT,0.0000,2.0000,8
Disorder of skin,Acne,Phase 4,2021-2025,13,PATIENT SATISFACTION,0.0000,2.0000,9
Disorder of skin,Acne,Phase 4,2021-2025,13,PERCENT CHANGE IN INFLAMMATORY LESION COUNTS,0.0000,2.0000,1
Disorder of skin,Acne,Phase 4,2021-2025,13,PERCENT CHANGE IN NON-INFLAMMATORY LESION COUNT,0.0000,2.0000,10
Disorder of endocrine system,Acromegaly,Phase 2,2011-2015,4,CHANGE IN BODY MASS INDEX,0.0000,1.0000,0
Disorder of endocrine system,Acromegaly,Phase 2,2011-2015,4,CHANGE FROM BASELINE IN ANNUALIZED GROWTH VELOCITY,0.0000,1.0000,1
Disorder of endocrine system,Acromegaly,Phase 2,2011-2015,4,CHANGE FROM BASELINE IN HEIGHT,0.0000,1.0000,2
Disorder of endocrine system,Acromegaly,Phase 2,2011-2015,4,CHANGE FROM BASELINE IN LOWER FACIAL VOLUME,0.0000,1.0000,3
Disorder of endocrine system,Acromegaly,Phase 2,2011-2015,4,CHANGE FROM BASELINE IN RESPIRATORY RATE,0.0000,1.0000,4
Disorder of endocrine system,Acromegaly,Phase 2,2016-2020,14,CHANGE FROM BASELINE IN RESPIRATORY RATE,25.0000,1.0000,4
Disorder of endocrine system,Acromegaly,Phase 2,2016-2020,14,CHANGE FROM BASELINE IN LOWER FACIAL VOLUME,22.5000,2.0000,3
Disorder of endocrine system,Acromegaly,Phase 2,2016-2020,14,CHANGE IN BODY MASS INDEX,20.0000,3.0000,0
Disorder of endocrine system,Acromegaly,Phase 2,2016-2020,14,CHANGE FROM BASELINE IN ANNUALIZED GROWTH VELOCITY,20.0000,3.0000,1
Disorder of endocrine system,Acromegaly,Phase 2,2016-2020,14,CHANGE FROM BASELINE IN HEIGHT,20.0000,3.0000,2
Disorder of endocrine system,Acromegaly,Phase 2,2021-2025,6,CHANGE FROM BASELINE IN ANNUALIZED GROWTH VELOCITY,100.0000,1.0000,1
