outcome_normalized,disease_area,disease,outcome_trial_count,disease_trial_count,percentage
CHANGE IN QUALITY OF LIFE SCORE,Disorder of ear,Tinnitus,1,51,1.9608
CHANGE IN QUALITY OF LIFE SCORE,Disorder of haemostatic system,Von Willebrand Disease,1,17,5.8824
CHANGE IN QUALITY OF LIFE SCORE,Neoplastic disease,Waldenstrom Macroglobulinemia,1,78,1.2821
CHANGE IN RESPIRATORY RATE,Respiratory disease,Chronic Obstructive Pulmonary Disease,3,849,0.3534
CHANGE IN RESPIRATORY RATE,Situation with explicit context,Healthy Volunteers,3,2042,0.1469
CHANGE IN RESPIRATORY RATE,Neurological disorder,Multiple Sclerosis,3,495,0.6061
CHANGE IN RESPIRATORY RATE,Respiratory disease,Asthma,2,737,0.2714
CHANGE IN RESPIRATORY RATE,Cardiovascular disease,Heart Failure,2,687,0.2911
CHANGE IN RESPIRATORY RATE,Disorder of haemostatic system,Hemophilia A,2,167,1.1976
CHANGE IN RESPIRATORY RATE,Neurological disorder,Migraine,2,470,0.4255
CHANGE IN RESPIRATORY RATE,Neurological disorder,Parkinson's Disease,2,545,0.3670
CHANGE IN RESPIRATORY RATE,Mental illness,Post-Traumatic Stress Disorder,2,473,0.4228
CHANGE IN RESPIRATORY RATE,Respiratory disease,Pulmonary Arterial Hypertension,2,280,0.7143
CHANGE IN RESPIRATORY RATE,Neoplastic disease,Acute Lymphoblastic Leukemia,1,364,0.2747
CHANGE IN RESPIRATORY RATE,Clinical finding,Acute Pain,1,1010,0.0990
CHANGE IN RESPIRATORY RATE,Disorder of digestive system,Acute Pancreatitis,1,158,0.6329
CHANGE IN RESPIRATORY RATE,Respiratory disease,Acute Respiratory Distress Syndrome,1,189,0.5291
CHANGE IN RESPIRATORY RATE,Procedure,Anesthesia,1,379,0.2639
CHANGE IN RESPIRATORY RATE,Respiratory disease,Bronchiectasis,1,255,0.3922
CHANGE IN RESPIRATORY RATE,Cardiovascular disease,Cardiomyopathy,1,126,0.7937
CHANGE IN RESPIRATORY RATE,Disorder of the genitourinary system,Chronic Kidney Disease,1,337,0.2967
CHANGE IN RESPIRATORY RATE,Cardiovascular disease,Coronary Artery Disease,1,662,0.1511
CHANGE IN RESPIRATORY RATE,Disorder of endocrine system,Cushing's Syndrome,1,65,1.5385
CHANGE IN RESPIRATORY RATE,Respiratory disease,Cystic Fibrosis,1,320,0.3125
CHANGE IN RESPIRATORY RATE,Disorder of the genitourinary system,End-Stage Renal Disease,1,226,0.4425
CHANGE IN RESPIRATORY RATE,Disorder of the genitourinary system,Erectile Dysfunction,1,141,0.7092
CHANGE IN RESPIRATORY RATE,Cardiovascular disease,Familial Hypercholesterolemia,1,257,0.3891
CHANGE IN RESPIRATORY RATE,Clinical finding,Fatigue,1,83,1.2048
CHANGE IN RESPIRATORY RATE,Disorder of endocrine system,Gestational Diabetes,1,982,0.1018
CHANGE IN RESPIRATORY RATE,Neoplastic disease,Hematologic Malignancies General,1,160,0.6250
CHANGE IN RESPIRATORY RATE,Disorder of haemostatic system,Hemophilia B,1,76,1.3158
CHANGE IN RESPIRATORY RATE,Disorder of endocrine system,Hypoparathyroidism,1,179,0.5587
CHANGE IN RESPIRATORY RATE,Disorder of the genitourinary system,IgA Nephropathy,1,80,1.2500
CHANGE IN RESPIRATORY RATE,Infection,Malaria,1,213,0.4695
CHANGE IN RESPIRATORY RATE,Cardiovascular disease,Mitral Regurgitation,1,94,1.0638
CHANGE IN RESPIRATORY RATE,Mental illness,Opioid Use Disorder,1,334,0.2994
CHANGE IN RESPIRATORY RATE,Disorder of immune function,Primary Immunodeficiency,1,147,0.6803
CHANGE IN RESPIRATORY RATE,Infection,Respiratory Syncytial Virus,1,284,0.3521
CHANGE IN RESPIRATORY RATE,Disorder of eye,Retinal Vein Occlusion,1,355,0.2817
CHANGE IN RESPIRATORY RATE,Infection,Sexually Transmitted Infections,1,131,0.7634
CHANGE IN RESPIRATORY RATE,Cardiovascular disease,Shock,1,73,1.3699
CHANGE IN RESPIRATORY RATE,Neoplastic disease,Solid Tumors (Advanced),1,345,0.2899
CHANGE IN RESPIRATORY RATE,Procedure,Surgical Procedures,1,384,0.2604
CHANGE IN SDAI SCORE,Disorder of immune function,Rheumatoid Arthritis,80,734,10.8992
CHANGE IN SDAI SCORE,Cardiovascular disease,Atherosclerosis,1,254,0.3937
CHANGE IN SDAI SCORE,Disorder of digestive system,Celiac Disease,1,58,1.7241
CHANGE IN SDAI SCORE,Musculoskeletal disorder,Psoriatic Arthritis,1,150,0.6667
CHANGE IN SDAI SCORE,Disorder of immune function,Sjögren's Syndrome,1,73,1.3699
CHANGE IN SELF-EFFICACY SCORE,Mental illness,Smoking Cessation,7,741,0.9447
CHANGE IN SELF-EFFICACY SCORE,Disorder of endocrine system,Gestational Diabetes,4,982,0.4073
CHANGE IN SELF-EFFICACY SCORE,Neoplastic disease,Breast Cancer,2,1499,0.1334
CHANGE IN SELF-EFFICACY SCORE,Neoplastic disease,Endometrial Cancer,2,241,0.8299
CHANGE IN SELF-EFFICACY SCORE,Disorder of endocrine system,Obesity,2,811,0.2466
CHANGE IN SELF-EFFICACY SCORE,Musculoskeletal disorder,Osteoarthritis,2,845,0.2367
CHANGE IN SELF-EFFICACY SCORE,Mental illness,Postpartum Depression,2,190,1.0526
CHANGE IN SELF-EFFICACY SCORE,Blood disease,Sickle Cell Disease,2,177,1.1299
CHANGE IN SELF-EFFICACY SCORE,Mental illness,Alcohol Use Disorder,1,574,0.1742
CHANGE IN SELF-EFFICACY SCORE,Respiratory disease,Allergic Asthma,1,265,0.3774
CHANGE IN SELF-EFFICACY SCORE,Mental illness,Anorexia,1,117,0.8547
CHANGE IN SELF-EFFICACY SCORE,Neoplastic disease,Cancer Immunotherapy,1,295,0.3390
CHANGE IN SELF-EFFICACY SCORE,Disorder of the genitourinary system,Chronic Kidney Disease,1,337,0.2967
CHANGE IN SELF-EFFICACY SCORE,Neurological disorder,Dementia,1,153,0.6536
CHANGE IN SELF-EFFICACY SCORE,Disorder of endocrine system,Diabetic Nephropathy,1,69,1.4493
CHANGE IN SELF-EFFICACY SCORE,Musculoskeletal disorder,Fibromyalgia,1,246,0.4065
CHANGE IN SELF-EFFICACY SCORE,Disorder of immune function,Food Allergy,1,91,1.0989
CHANGE IN SELF-EFFICACY SCORE,Infection,HIV/AIDS,1,1396,0.0716
CHANGE IN SELF-EFFICACY SCORE,Neoplastic disease,Head and Neck Cancer,1,445,0.2247
CHANGE IN SELF-EFFICACY SCORE,Situation with explicit context,Healthy Volunteers,1,2042,0.0490
CHANGE IN SELF-EFFICACY SCORE,Blood disease,Immune Thrombocytopenia,1,74,1.3514
CHANGE IN SELF-EFFICACY SCORE,Neoplastic disease,Locally Advanced Cancer,1,572,0.1748
CHANGE IN SELF-EFFICACY SCORE,Mental illness,Major Depressive Disorder,1,1109,0.0902
CHANGE IN SELF-EFFICACY SCORE,Neurological disorder,Migraine,1,470,0.2128
CHANGE IN SELF-EFFICACY SCORE,Disorder of digestive system,Nonalcoholic Fatty Liver Disease,1,235,0.4255
CHANGE IN SELF-EFFICACY SCORE,Mental illness,Opioid Use Disorder,1,334,0.2994
CHANGE IN SELF-EFFICACY SCORE,Disorder of immune function,Organ Transplant Rejection,1,362,0.2762
CHANGE IN SELF-EFFICACY SCORE,Neurological disorder,Parkinson's Disease,1,545,0.1835
CHANGE IN SELF-EFFICACY SCORE,Cardiovascular disease,Peripheral Artery Disease,1,332,0.3012
CHANGE IN SELF-EFFICACY SCORE,Situation with explicit context,Preventive Care,1,274,0.3650
CHANGE IN SELF-EFFICACY SCORE,Disorder of immune function,Primary Immunodeficiency,1,147,0.6803
CHANGE IN SELF-EFFICACY SCORE,Neoplastic disease,Prostate Cancer,1,906,0.1104
CHANGE IN SELF-EFFICACY SCORE,Neoplastic disease,Recurrent Cancer,1,444,0.2252
CHANGE IN SELF-EFFICACY SCORE,Mental illness,Social Anxiety Disorder,1,280,0.3571
CHANGE IN SELF-EFFICACY SCORE,Neurological disorder,Spinal Cord Injury,1,294,0.3401
CHANGE IN SELF-EFFICACY SCORE,Mental illness,Substance Use Disorder,1,370,0.2703
CHANGE IN SELF-EFFICACY SCORE,Disorder of endocrine system,Type 1 Diabetes,1,599,0.1669
CHANGE IN SERUM CREATININE,Disorder of immune function,Organ Transplant Rejection,10,362,2.7624
CHANGE IN SERUM CREATININE,Cardiovascular disease,Heart Failure,6,687,0.8734
CHANGE IN SERUM CREATININE,Infection,HIV/AIDS,5,1396,0.3582
CHANGE IN SERUM CREATININE,Cardiovascular disease,Hypertension,4,614,0.6515
CHANGE IN SERUM CREATININE,Disorder of immune function,Lupus Nephritis,3,91,3.2967
CHANGE IN SERUM CREATININE,Disorder of the genitourinary system,Nephrotic Syndrome,3,106,2.8302
CHANGE IN SERUM CREATININE,Disorder of the genitourinary system,Acute Kidney Injury,2,110,1.8182
CHANGE IN SERUM CREATININE,Infection,Hepatitis B,2,266,0.7519
CHANGE IN SERUM CREATININE,Infection,Hepatitis C,2,658,0.3040
CHANGE IN SERUM CREATININE,Cardiovascular disease,Hyperlipidemia,2,218,0.9174
CHANGE IN SERUM CREATININE,Disorder of the genitourinary system,IgA Nephropathy,2,80,2.5000
CHANGE IN SERUM CREATININE,Disorder of endocrine system,Type 2 Diabetes,2,1369,0.1461
CHANGE IN SERUM CREATININE,Respiratory disease,Acute Respiratory Distress Syndrome,1,189,0.5291
CHANGE IN SERUM CREATININE,Blood disease,Anemia,1,312,0.3205
CHANGE IN SERUM CREATININE,Cardiovascular disease,Atrial Fibrillation,1,482,0.2075
CHANGE IN SERUM CREATININE,Infection,COVID-19,1,793,0.1261
CHANGE IN SERUM CREATININE,Disorder of the genitourinary system,Chronic Kidney Disease,1,337,0.2967
CHANGE IN SERUM CREATININE,Respiratory disease,Cystic Fibrosis,1,320,0.3125
CHANGE IN SERUM CREATININE,Disorder of endocrine system,Diabetic Nephropathy,1,69,1.4493
CHANGE IN SERUM CREATININE,Clinical finding,Edema,1,128,0.7812
CHANGE IN SERUM CREATININE,Cardiovascular disease,Familial Hypercholesterolemia,1,257,0.3891
CHANGE IN SERUM CREATININE,Disorder of the genitourinary system,Focal Segmental Glomerulosclerosis,1,40,2.5000
CHANGE IN SERUM CREATININE,Disorder of endocrine system,Gestational Diabetes,1,982,0.1018
CHANGE IN SERUM CREATININE,Neoplastic disease,Head and Neck Cancer,1,445,0.2247
CHANGE IN SERUM CREATININE,Disorder of endocrine system,Hypoparathyroidism,1,179,0.5587
CHANGE IN SERUM CREATININE,Congenital disease,Lysosomal Storage Disorders,1,179,0.5587
CHANGE IN SERUM CREATININE,Disorder of endocrine system,Obesity,1,811,0.1233
CHANGE IN SERUM CREATININE,Musculoskeletal disorder,Osteoporosis,1,441,0.2268
CHANGE IN SERUM CREATININE,Disorder of the genitourinary system,Polycystic Kidney Disease,1,61,1.6393
CHANGE IN SERUM CREATININE,Cardiovascular disease,Shock,1,73,1.3699
CHANGE IN SERUM CREATININE,Blood disease,Sickle Cell Disease,1,177,0.5650
CHANGE IN SERUM CREATININE,Procedure,Surgical Procedures,1,384,0.2604
CHANGE IN SERUM CREATININE,Disorder of immune function,Systemic Lupus Erythematosus,1,155,0.6452
CHANGE IN SERUM CREATININE,Blood disease,Thalassemia,1,40,2.5000
CHANGE IN SERUM CREATININE,Blood disease,Thrombotic Thrombocytopenic Purpura,1,101,0.9901
CHANGE IN SERUM CREATININE,Injury,Trauma,1,219,0.4566
CHANGE IN SF-12 SCORE,Musculoskeletal disorder,Osteoarthritis,10,845,1.1834
CHANGE IN SF-12 SCORE,Cardiovascular disease,Aortic Stenosis,5,321,1.5576
CHANGE IN SF-12 SCORE,Mental illness,Schizophrenia,4,692,0.5780
CHANGE IN SF-12 SCORE,Mental illness,Major Depressive Disorder,3,1109,0.2705
CHANGE IN SF-12 SCORE,Cardiovascular disease,Atrial Fibrillation,2,482,0.4149
CHANGE IN SF-12 SCORE,Musculoskeletal disorder,Fibromyalgia,2,246,0.8130
CHANGE IN SF-12 SCORE,Infection,HIV/AIDS,2,1396,0.1433
CHANGE IN SF-12 SCORE,Cardiovascular disease,Heart Failure,2,687,0.2911
CHANGE IN SF-12 SCORE,Disorder of the genitourinary system,IgA Nephropathy,2,80,2.5000
CHANGE IN SF-12 SCORE,Mental illness,Post-Traumatic Stress Disorder,2,473,0.4228
CHANGE IN SF-12 SCORE,Disorder of endocrine system,Type 2 Diabetes,2,1369,0.1461
CHANGE IN SF-12 SCORE,Disorder of digestive system,Acute Pancreatitis,1,158,0.6329
CHANGE IN SF-12 SCORE,Respiratory disease,Acute Respiratory Distress Syndrome,1,189,0.5291
CHANGE IN SF-12 SCORE,Disorder of the genitourinary system,Benign Prostatic Hyperplasia,1,118,0.8475
CHANGE IN SF-12 SCORE,Mental illness,Bipolar Disorder,1,329,0.3040
CHANGE IN SF-12 SCORE,Disorder of haemostatic system,Deep Vein Thrombosis,1,101,0.9901
CHANGE IN SF-12 SCORE,Mental illness,Delirium,1,132,0.7576
CHANGE IN SF-12 SCORE,Disorder of endocrine system,Diabetic Neuropathy,1,124,0.8065
CHANGE IN SF-12 SCORE,Clinical finding,Fatigue,1,83,1.2048
CHANGE IN SF-12 SCORE,Musculoskeletal disorder,Gout,1,140,0.7143
CHANGE IN SF-12 SCORE,Cardiovascular disease,Hypertension,1,614,0.1629
CHANGE IN SF-12 SCORE,Disorder of endocrine system,Hypogonadism,1,126,0.7937
CHANGE IN SF-12 SCORE,Blood disease,Immune Thrombocytopenia,1,74,1.3514
CHANGE IN SF-12 SCORE,Disorder of the genitourinary system,Interstitial Cystitis,1,82,1.2195
CHANGE IN SF-12 SCORE,Neoplastic disease,Locally Advanced Cancer,1,572,0.1748
CHANGE IN SF-12 SCORE,Musculoskeletal disorder,Low Back Pain,1,330,0.3030
CHANGE IN SF-12 SCORE,Cardiovascular disease,Mitral Regurgitation,1,94,1.0638
CHANGE IN SF-12 SCORE,Neurological disorder,Neuropathic Pain,1,114,0.8772
CHANGE IN SF-12 SCORE,Disorder of digestive system,Nonalcoholic Fatty Liver Disease,1,235,0.4255
CHANGE IN SF-12 SCORE,Musculoskeletal disorder,Osteoporosis,1,441,0.2268
CHANGE IN SF-12 SCORE,Cardiovascular disease,Peripheral Artery Disease,1,332,0.3012
CHANGE IN SF-12 SCORE,Disorder of the genitourinary system,Pregnancy Study,1,181,0.5525
CHANGE IN SF-12 SCORE,Situation with explicit context,Preventive Care,1,274,0.3650
CHANGE IN SF-12 SCORE,Neoplastic disease,Prostate Cancer,1,906,0.1104
CHANGE IN SF-12 SCORE,Disorder of skin,Psoriasis,1,645,0.1550
CHANGE IN SF-12 SCORE,Musculoskeletal disorder,Psoriatic Arthritis,1,150,0.6667
CHANGE IN SF-12 SCORE,Respiratory disease,Severe Asthma,1,35,2.8571
CHANGE IN SF-12 SCORE,Neurological disorder,Spinal Muscular Atrophy,1,199,0.5025
CHANGE IN SF-12 SCORE,Neurological disorder,Stroke,1,607,0.1647
CHANGE IN SF-12 SCORE,Musculoskeletal disorder,Tendinopathy,1,164,0.6098
CHANGE IN SF-12 SCORE,Neurological disorder,Traumatic Brain Injury,1,208,0.4808
CHANGE IN SF-12 SCORE,Disorder of the genitourinary system,Urinary Incontinence,1,328,0.3049
CHANGE IN SF-36 SCORE,Disorder of immune function,Rheumatoid Arthritis,99,734,13.4877
CHANGE IN SF-36 SCORE,Musculoskeletal disorder,Osteoarthritis,37,845,4.3787
CHANGE IN SF-36 SCORE,Disorder of endocrine system,Gestational Diabetes,27,982,2.7495
CHANGE IN SF-36 SCORE,Musculoskeletal disorder,Fibromyalgia,22,246,8.9431
CHANGE IN SF-36 SCORE,Disorder of skin,Psoriasis,19,645,2.9457
CHANGE IN SF-36 SCORE,Disorder of endocrine system,Obesity,18,811,2.2195
CHANGE IN SF-36 SCORE,Musculoskeletal disorder,Psoriatic Arthritis,18,150,12.0000
CHANGE IN SF-36 SCORE,Musculoskeletal disorder,Low Back Pain,16,330,4.8485
CHANGE IN SF-36 SCORE,Neurological disorder,Multiple Sclerosis,14,495,2.8283
CHANGE IN SF-36 SCORE,Disorder of endocrine system,Diabetic Neuropathy,12,124,9.6774
CHANGE IN SF-36 SCORE,Mental illness,Major Depressive Disorder,12,1109,1.0821
CHANGE IN SF-36 SCORE,Respiratory disease,Pulmonary Arterial Hypertension,12,280,4.2857
CHANGE IN SF-36 SCORE,Clinical finding,Acute Pain,11,1010,1.0891
CHANGE IN SF-36 SCORE,Musculoskeletal disorder,Ankylosing Spondylitis,11,175,6.2857
CHANGE IN SF-36 SCORE,Disorder of immune function,Systemic Lupus Erythematosus,9,155,5.8065
CHANGE IN SF-36 SCORE,Cardiovascular disease,Heart Failure,8,687,1.1645
CHANGE IN SF-36 SCORE,Congenital disease,Lysosomal Storage Disorders,8,179,4.4693
CHANGE IN SF-36 SCORE,Neurological disorder,Migraine,8,470,1.7021
CHANGE IN SF-36 SCORE,Disorder of immune function,Organ Transplant Rejection,8,362,2.2099
CHANGE IN SF-36 SCORE,Mental illness,Post-Traumatic Stress Disorder,8,473,1.6913
CHANGE IN SF-36 SCORE,Disorder of immune function,Sjögren's Syndrome,8,73,10.9589
CHANGE IN SF-36 SCORE,Disorder of immune function,Systemic Sclerosis,8,88,9.0909
CHANGE IN SF-36 SCORE,Cardiovascular disease,Aortic Stenosis,7,321,2.1807
CHANGE IN SF-36 SCORE,Musculoskeletal disorder,Bone Fracture,7,217,3.2258
CHANGE IN SF-36 SCORE,Neurological disorder,Chronic Pain,7,322,2.1739
CHANGE IN SF-36 SCORE,Cardiovascular disease,Peripheral Artery Disease,7,332,2.1084
CHANGE IN SF-36 SCORE,Mental illness,Schizophrenia,7,692,1.0116
CHANGE IN SF-36 SCORE,Disorder of endocrine system,Type 2 Diabetes,7,1369,0.5113
CHANGE IN SF-36 SCORE,Disorder of digestive system,Crohn's Disease,6,225,2.6667
CHANGE IN SF-36 SCORE,Sleep disorder,Restless Legs Syndrome,6,67,8.9552
CHANGE IN SF-36 SCORE,Disorder of digestive system,Ulcerative Colitis,6,376,1.5957
CHANGE IN SF-36 SCORE,Blood disease,Anemia,5,312,1.6026
CHANGE IN SF-36 SCORE,Neoplastic disease,Breast Cancer,5,1499,0.3336
CHANGE IN SF-36 SCORE,Infection,COVID-19,5,793,0.6305
CHANGE IN SF-36 SCORE,Respiratory disease,Chronic Obstructive Pulmonary Disease,5,849,0.5889
CHANGE IN SF-36 SCORE,Musculoskeletal disorder,Gout,5,140,3.5714
CHANGE IN SF-36 SCORE,Disorder of haemostatic system,Hemophilia A,5,167,2.9940
CHANGE IN SF-36 SCORE,Infection,Hepatitis C,5,658,0.7599
CHANGE IN SF-36 SCORE,Disorder of endocrine system,Hypogonadism,5,126,3.9683
CHANGE IN SF-36 SCORE,Cardiovascular disease,Mitral Regurgitation,5,94,5.3191
CHANGE IN SF-36 SCORE,Musculoskeletal disorder,Osteoporosis,5,441,1.1338
CHANGE IN SF-36 SCORE,Disorder of immune function,Primary Immunodeficiency,5,147,3.4014
CHANGE IN SF-36 SCORE,Disorder of immune function,Vasculitis,5,43,11.6279
CHANGE IN SF-36 SCORE,Respiratory disease,Asthma,4,737,0.5427
CHANGE IN SF-36 SCORE,Cardiovascular disease,Atrial Fibrillation,4,482,0.8299
CHANGE IN SF-36 SCORE,Infection,Clostridium Difficile Infection,4,124,3.2258
CHANGE IN SF-36 SCORE,Cardiovascular disease,Coronary Artery Disease,4,662,0.6042
CHANGE IN SF-36 SCORE,Mental illness,Eating Disorders,4,161,2.4845
CHANGE IN SF-36 SCORE,Cardiovascular disease,Myocardial Infarction,4,207,1.9324
CHANGE IN SF-36 SCORE,Neoplastic disease,Prostate Cancer,4,906,0.4415
CHANGE IN SF-36 SCORE,Injury,Trauma,4,219,1.8265
CHANGE IN SF-36 SCORE,Neurological disorder,Trigeminal Neuralgia,4,252,1.5873
CHANGE IN SF-36 SCORE,Disorder of haemostatic system,Venous Thromboembolism,4,240,1.6667
CHANGE IN SF-36 SCORE,Neurological disorder,Alzheimer's Disease,3,626,0.4792
CHANGE IN SF-36 SCORE,Respiratory disease,Bronchiectasis,3,255,1.1765
CHANGE IN SF-36 SCORE,Neurological disorder,Essential Tremor,3,170,1.7647
CHANGE IN SF-36 SCORE,Situation with explicit context,Geriatric Population,3,206,1.4563
CHANGE IN SF-36 SCORE,Disorder of endocrine system,Hypoparathyroidism,3,179,1.6760
CHANGE IN SF-36 SCORE,Disorder of the genitourinary system,IgA Nephropathy,3,80,3.7500
CHANGE IN SF-36 SCORE,Sleep disorder,Insomnia,3,252,1.1905
CHANGE IN SF-36 SCORE,Disorder of immune function,Lupus Nephritis,3,91,3.2967
CHANGE IN SF-36 SCORE,Disorder of the genitourinary system,Polycystic Kidney Disease,3,61,4.9180
CHANGE IN SF-36 SCORE,Neurological disorder,Spinal Cord Injury,3,294,1.0204
CHANGE IN SF-36 SCORE,Neurological disorder,Spinal Muscular Atrophy,3,199,1.5075
CHANGE IN SF-36 SCORE,Blood disease,Thalassemia,3,40,7.5000
CHANGE IN SF-36 SCORE,Blood disease,Thrombotic Thrombocytopenic Purpura,3,101,2.9703
CHANGE IN SF-36 SCORE,Disorder of endocrine system,Type 1 Diabetes,3,599,0.5008
CHANGE IN SF-36 SCORE,Cardiovascular disease,Acute Coronary Syndrome,2,152,1.3158
CHANGE IN SF-36 SCORE,Respiratory disease,Acute Respiratory Distress Syndrome,2,189,1.0582
CHANGE IN SF-36 SCORE,Mental illness,Attention Deficit Hyperactivity Disorder,2,385,0.5195
CHANGE IN SF-36 SCORE,Neoplastic disease,Cancer Immunotherapy,2,295,0.6780
CHANGE IN SF-36 SCORE,Cardiovascular disease,Cardiomyopathy,2,126,1.5873
CHANGE IN SF-36 SCORE,Disorder of digestive system,Chronic Pancreatitis,2,282,0.7092
CHANGE IN SF-36 SCORE,Disorder of digestive system,Constipation,2,137,1.4599
CHANGE IN SF-36 SCORE,Disorder of endocrine system,Cushing's Syndrome,2,65,3.0769
CHANGE IN SF-36 SCORE,Disorder of haemostatic system,Deep Vein Thrombosis,2,101,1.9802
CHANGE IN SF-36 SCORE,Mental illness,Delirium,2,132,1.5152
CHANGE IN SF-36 SCORE,Neurological disorder,Epilepsy,2,416,0.4808
CHANGE IN SF-36 SCORE,Disorder of digestive system,Gastroesophageal Reflux Disease,2,145,1.3793
CHANGE IN SF-36 SCORE,Disorder of digestive system,Gastroparesis,2,143,1.3986
CHANGE IN SF-36 SCORE,Mental illness,Generalized Anxiety Disorder,2,63,3.1746
CHANGE IN SF-36 SCORE,Disorder of immune function,Graft-versus-Host Disease,2,184,1.0870
CHANGE IN SF-36 SCORE,Infection,HIV/AIDS,2,1396,0.1433
CHANGE IN SF-36 SCORE,Situation with explicit context,Healthy Volunteers,2,2042,0.0979
CHANGE IN SF-36 SCORE,Disorder of haemostatic system,Hemophilia B,2,76,2.6316
CHANGE IN SF-36 SCORE,Disorder of skin,Hidradenitis Suppurativa,2,137,1.4599
CHANGE IN SF-36 SCORE,Cardiovascular disease,Hypertension,2,614,0.3257
CHANGE IN SF-36 SCORE,Respiratory disease,Idiopathic Pulmonary Fibrosis,2,170,1.1765
CHANGE IN SF-36 SCORE,Blood disease,Immune Thrombocytopenia,2,74,2.7027
CHANGE IN SF-36 SCORE,Disorder of the genitourinary system,Interstitial Cystitis,2,82,2.4390
CHANGE IN SF-36 SCORE,Disorder of ear,Meniere's Disease,2,98,2.0408
CHANGE IN SF-36 SCORE,Disorder of endocrine system,Metabolic Syndrome,2,285,0.7018
CHANGE IN SF-36 SCORE,Neurological disorder,Myasthenia Gravis,2,135,1.4815
CHANGE IN SF-36 SCORE,Sleep disorder,Narcolepsy,2,79,2.5316
CHANGE IN SF-36 SCORE,Disorder of digestive system,Nonalcoholic Fatty Liver Disease,2,235,0.8511
CHANGE IN SF-36 SCORE,Mental illness,Opioid Use Disorder,2,334,0.5988
CHANGE IN SF-36 SCORE,Situation with explicit context,Post-Operative Care,2,282,0.7092
CHANGE IN SF-36 SCORE,Disorder of eye,Retinal Vein Occlusion,2,355,0.5634
CHANGE IN SF-36 SCORE,Disorder of digestive system,Short Bowel Syndrome,2,234,0.8547
CHANGE IN SF-36 SCORE,Neoplastic disease,Small Cell Lung Cancer,2,505,0.3960
CHANGE IN SF-36 SCORE,Mental illness,Social Anxiety Disorder,2,280,0.7143
CHANGE IN SF-36 SCORE,Neurological disorder,Stroke,2,607,0.3295
CHANGE IN SF-36 SCORE,Musculoskeletal disorder,Tendinopathy,2,164,1.2195
CHANGE IN SF-36 SCORE,Disorder of the genitourinary system,Urinary Incontinence,2,328,0.6098
CHANGE IN SF-36 SCORE,Disorder of eye,Uveitis,2,100,2.0000
CHANGE IN SF-36 SCORE,Cardiovascular disease,Ventricular Arrhythmias,2,159,1.2579
CHANGE IN SF-36 SCORE,Neoplastic disease,Waldenstrom Macroglobulinemia,2,78,2.5641
CHANGE IN SF-36 SCORE,Disorder of endocrine system,Acromegaly,1,72,1.3889
CHANGE IN SF-36 SCORE,Neoplastic disease,Acute Lymphoblastic Leukemia,1,364,0.2747
CHANGE IN SF-36 SCORE,Disorder of digestive system,Acute Pancreatitis,1,158,0.6329
CHANGE IN SF-36 SCORE,Disorder of endocrine system,Addison's Disease,1,21,4.7619
CHANGE IN SF-36 SCORE,Respiratory disease,Allergic Rhinitis,1,190,0.5263
CHANGE IN SF-36 SCORE,Neurological disorder,Amyotrophic Lateral Sclerosis,1,170,0.5882
CHANGE IN SF-36 SCORE,Disorder of the genitourinary system,Benign Prostatic Hyperplasia,1,118,0.8475
CHANGE IN SF-36 SCORE,Mental illness,Bipolar Disorder,1,329,0.3040
CHANGE IN SF-36 SCORE,Neoplastic disease,Brain Tumors,1,505,0.1980
CHANGE IN SF-36 SCORE,Injury,Burns,1,86,1.1628
CHANGE IN SF-36 SCORE,Neoplastic disease,Cancer Supportive Care,1,45,2.2222
CHANGE IN SF-36 SCORE,Disorder of digestive system,Celiac Disease,1,58,1.7241
CHANGE IN SF-36 SCORE,Neoplastic disease,Cervical Cancer,1,269,0.3717
CHANGE IN SF-36 SCORE,Disorder of the genitourinary system,Chronic Kidney Disease,1,337,0.2967
CHANGE IN SF-36 SCORE,Disorder of digestive system,Cirrhosis,1,167,0.5988
CHANGE IN SF-36 SCORE,Disorder of immune function,Common Variable Immunodeficiency,1,33,3.0303
CHANGE IN SF-36 SCORE,Situation with explicit context,Critical Illness,1,74,1.3514
CHANGE IN SF-36 SCORE,Disorder of eye,Diabetic Retinopathy,1,124,0.8065
CHANGE IN SF-36 SCORE,Neoplastic disease,Diffuse Large B-Cell Lymphoma,1,221,0.4525
CHANGE IN SF-36 SCORE,Disorder of haemostatic system,Disseminated Intravascular Coagulation,1,102,0.9804
CHANGE IN SF-36 SCORE,Neurological disorder,Duchenne Muscular Dystrophy,1,159,0.6289
CHANGE IN SF-36 SCORE,Disorder of the genitourinary system,End-Stage Renal Disease,1,226,0.4425
CHANGE IN SF-36 SCORE,Neoplastic disease,Endometrial Cancer,1,241,0.4149
CHANGE IN SF-36 SCORE,Disorder of digestive system,Eosinophilic Esophagitis,1,209,0.4785
CHANGE IN SF-36 SCORE,Neoplastic disease,Esophageal Cancer,1,157,0.6369
CHANGE IN SF-36 SCORE,Cardiovascular disease,Familial Hypercholesterolemia,1,257,0.3891
CHANGE IN SF-36 SCORE,Clinical finding,Fatigue,1,83,1.2048
CHANGE IN SF-36 SCORE,Disorder of immune function,Food Allergy,1,91,1.0989
CHANGE IN SF-36 SCORE,Disorder of eye,Glaucoma,1,715,0.1399
CHANGE IN SF-36 SCORE,Disorder of endocrine system,Growth Hormone Deficiency,1,77,1.2987
