outcome_normalized,disease_area,disease,outcome_trial_count,disease_trial_count,percentage
2-YEAR SURVIVAL RATE,Neoplastic disease,Non-Small Cell Lung Cancer,3,944,0.3178
2-YEAR SURVIVAL RATE,Neoplastic disease,Acute Lymphoblastic Leukemia,2,364,0.5495
2-YEAR SURVIVAL RATE,Cardiovascular disease,Aortic Stenosis,2,321,0.6231
2-YEAR SURVIVAL RATE,Neoplastic disease,Chronic Myeloid Leukemia,2,399,0.5013
2-YEAR SURVIVAL RATE,Neoplastic disease,Colorectal Cancer,2,556,0.3597
2-YEAR SURVIVAL RATE,Neoplastic disease,Diffuse Large B-Cell Lymphoma,2,221,0.9050
2-YEAR SURVIVAL RATE,Neoplastic disease,Follicular Lymphoma,2,209,0.9569
2-YEAR SURVIVAL RATE,Neoplastic disease,Glioblastoma,2,386,0.5181
2-YEAR SURVIVAL RATE,Neoplastic disease,Hodgkin Lymphoma,2,469,0.4264
2-YEAR SURVIVAL RATE,Neoplastic disease,Locally Advanced Cancer,2,572,0.3497
2-YEAR SURVIVAL RATE,Neoplastic disease,Multiple Myeloma,2,573,0.3490
2-YEAR SURVIVAL RATE,Disorder of immune function,Organ Transplant Rejection,2,362,0.5525
2-YEAR SURVIVAL RATE,Musculoskeletal disorder,Osteoarthritis,2,845,0.2367
2-YEAR SURVIVAL RATE,Neoplastic disease,Pancreatic Cancer,2,515,0.3883
2-YEAR SURVIVAL RATE,Cardiovascular disease,Atherosclerosis,1,254,0.3937
2-YEAR SURVIVAL RATE,Neoplastic disease,Chronic Lymphocytic Leukemia,1,198,0.5051
2-YEAR SURVIVAL RATE,Disorder of the genitourinary system,End-Stage Renal Disease,1,226,0.4425
2-YEAR SURVIVAL RATE,Disorder of the genitourinary system,Endometriosis,1,186,0.5376
2-YEAR SURVIVAL RATE,Neoplastic disease,Esophageal Cancer,1,157,0.6369
2-YEAR SURVIVAL RATE,Neoplastic disease,Head and Neck Cancer,1,445,0.2247
2-YEAR SURVIVAL RATE,Neoplastic disease,Hematologic Malignancies General,1,160,0.6250
2-YEAR SURVIVAL RATE,Disorder of skin,Hidradenitis Suppurativa,1,137,0.7299
2-YEAR SURVIVAL RATE,Disorder of endocrine system,Hypothyroidism,1,25,4.0000
2-YEAR SURVIVAL RATE,Neoplastic disease,Metastatic Disease,1,366,0.2732
2-YEAR SURVIVAL RATE,Blood disease,Myelodysplastic Syndromes,1,297,0.3367
2-YEAR SURVIVAL RATE,Neoplastic disease,Ovarian Cancer,1,373,0.2681
2-YEAR SURVIVAL RATE,Disorder of immune function,Primary Immunodeficiency,1,147,0.6803
2-YEAR SURVIVAL RATE,Neoplastic disease,Sarcoma,1,246,0.4065
2-YEAR SURVIVAL RATE,Neoplastic disease,Small Cell Lung Cancer,1,505,0.1980
2-YEAR SURVIVAL RATE,Neoplastic disease,Solid Tumors General,1,252,0.3968
28-DAY MORTALITY,Infection,COVID-19,18,793,2.2699
28-DAY MORTALITY,Infection,Influenza,5,610,0.8197
28-DAY MORTALITY,Infection,Sepsis,5,164,3.0488
28-DAY MORTALITY,Cardiovascular disease,Shock,5,73,6.8493
28-DAY MORTALITY,Situation with explicit context,Critical Illness,4,74,5.4054
28-DAY MORTALITY,Respiratory disease,Acute Respiratory Distress Syndrome,2,189,1.0582
28-DAY MORTALITY,Cardiovascular disease,Atrial Fibrillation,1,482,0.2075
28-DAY MORTALITY,Disorder of body system,Multiple Organ Failure,1,50,2.0000
28-DAY MORTALITY,Disorder of endocrine system,Obesity,1,811,0.1233
28-DAY MORTALITY,Infection,Pneumonia,1,244,0.4098
28-DAY MORTALITY,Disorder of skin,Pressure Ulcers,1,49,2.0408
28-DAY MORTALITY,Injury,Trauma,1,219,0.4566
28-DAY MORTALITY,Neurological disorder,Traumatic Brain Injury,1,208,0.4808
30-DAY MORTALITY,Infection,COVID-19,17,793,2.1438
30-DAY MORTALITY,Injury,Trauma,9,219,4.1096
30-DAY MORTALITY,Infection,Sepsis,7,164,4.2683
30-DAY MORTALITY,Cardiovascular disease,Heart Failure,6,687,0.8734
30-DAY MORTALITY,Neurological disorder,Stroke,6,607,0.9885
30-DAY MORTALITY,Neoplastic disease,Acute Myeloid Leukemia,5,369,1.3550
30-DAY MORTALITY,Cardiovascular disease,Aortic Stenosis,4,321,1.2461
30-DAY MORTALITY,Procedure,Blood Transfusion,4,204,1.9608
30-DAY MORTALITY,Cardiovascular disease,Shock,4,73,5.4795
30-DAY MORTALITY,Disorder of the genitourinary system,Acute Kidney Injury,3,110,2.7273
30-DAY MORTALITY,Respiratory disease,Acute Respiratory Distress Syndrome,3,189,1.5873
30-DAY MORTALITY,Neoplastic disease,Colorectal Cancer,3,556,0.5396
30-DAY MORTALITY,Disorder of haemostatic system,Disseminated Intravascular Coagulation,3,102,2.9412
30-DAY MORTALITY,Neoplastic disease,Head and Neck Cancer,3,445,0.6742
30-DAY MORTALITY,Cardiovascular disease,Myocardial Infarction,3,207,1.4493
30-DAY MORTALITY,Neoplastic disease,Non-Small Cell Lung Cancer,3,944,0.3178
30-DAY MORTALITY,Infection,Osteomyelitis,3,162,1.8519
30-DAY MORTALITY,Procedure,Surgical Procedures,3,384,0.7812
30-DAY MORTALITY,Neoplastic disease,Acute Lymphoblastic Leukemia,2,364,0.5495
30-DAY MORTALITY,Disorder of digestive system,Acute Pancreatitis,2,158,1.2658
30-DAY MORTALITY,Procedure,Anesthesia,2,379,0.5277
30-DAY MORTALITY,Cardiovascular disease,Atherosclerosis,2,254,0.7874
30-DAY MORTALITY,Neoplastic disease,Bladder Cancer,2,334,0.5988
30-DAY MORTALITY,Infection,Clostridium Difficile Infection,2,124,1.6129
30-DAY MORTALITY,Cardiovascular disease,Coronary Artery Disease,2,662,0.3021
30-DAY MORTALITY,Disorder of endocrine system,Gestational Diabetes,2,982,0.2037
30-DAY MORTALITY,Disorder of endocrine system,Hypoparathyroidism,2,179,1.1173
30-DAY MORTALITY,Infection,Influenza,2,610,0.3279
30-DAY MORTALITY,Blood disease,Myelodysplastic Syndromes,2,297,0.6734
30-DAY MORTALITY,Disorder of immune function,Organ Transplant Rejection,2,362,0.5525
30-DAY MORTALITY,Neoplastic disease,Pancreatic Cancer,2,515,0.3883
30-DAY MORTALITY,Cardiovascular disease,Peripheral Artery Disease,2,332,0.6024
30-DAY MORTALITY,Infection,Pneumonia,2,244,0.8197
30-DAY MORTALITY,Situation with explicit context,Post-Operative Care,2,282,0.7092
30-DAY MORTALITY,Disorder of immune function,Rheumatoid Arthritis,2,734,0.2725
30-DAY MORTALITY,Neoplastic disease,Small Cell Lung Cancer,2,505,0.3960
30-DAY MORTALITY,Neurological disorder,Traumatic Brain Injury,2,208,0.9615
30-DAY MORTALITY,Disorder of digestive system,Ulcerative Colitis,2,376,0.5319
30-DAY MORTALITY,Cardiovascular disease,Acute Coronary Syndrome,1,152,0.6579
30-DAY MORTALITY,Clinical finding,Acute Pain,1,1010,0.0990
30-DAY MORTALITY,Disorder of endocrine system,Addison's Disease,1,21,4.7619
30-DAY MORTALITY,Blood disease,Anemia,1,312,0.3205
30-DAY MORTALITY,Disorder of digestive system,Cirrhosis,1,167,0.5988
30-DAY MORTALITY,Respiratory disease,Cystic Fibrosis,1,320,0.3125
30-DAY MORTALITY,Disorder of haemostatic system,Deep Vein Thrombosis,1,101,0.9901
30-DAY MORTALITY,Mental illness,Delirium,1,132,0.7576
30-DAY MORTALITY,Mental illness,Eating Disorders,1,161,0.6211
30-DAY MORTALITY,Clinical finding,Edema,1,128,0.7812
30-DAY MORTALITY,Neoplastic disease,Esophageal Cancer,1,157,0.6369
30-DAY MORTALITY,Clinical finding,Fever,1,217,0.4608
30-DAY MORTALITY,Infection,Fungal Infection,1,203,0.4926
30-DAY MORTALITY,Neoplastic disease,Gastric Cancer,1,190,0.5263
30-DAY MORTALITY,Disorder of digestive system,Gastroparesis,1,143,0.6993
30-DAY MORTALITY,Infection,HIV/AIDS,1,1396,0.0716
30-DAY MORTALITY,Neoplastic disease,Hematologic Malignancies General,1,160,0.6250
30-DAY MORTALITY,Neoplastic disease,Hodgkin Lymphoma,1,469,0.2132
30-DAY MORTALITY,Disorder of digestive system,Malnutrition,1,76,1.3158
30-DAY MORTALITY,Neoplastic disease,Multiple Myeloma,1,573,0.1745
30-DAY MORTALITY,Neoplastic disease,Neuroendocrine Tumors,1,260,0.3846
30-DAY MORTALITY,Musculoskeletal disorder,Osteoporosis,1,441,0.2268
30-DAY MORTALITY,Neoplastic disease,Ovarian Cancer,1,373,0.2681
30-DAY MORTALITY,Disorder of digestive system,Peptic Ulcer Disease,1,119,0.8403
30-DAY MORTALITY,Disorder of immune function,Primary Immunodeficiency,1,147,0.6803
30-DAY MORTALITY,Respiratory disease,Pulmonary Embolism,1,68,1.4706
30-DAY MORTALITY,Respiratory disease,Severe Asthma,1,35,2.8571
30-DAY MORTALITY,Infection,Skin and Soft Tissue Infection,1,340,0.2941
30-DAY MORTALITY,Neoplastic disease,Solid Tumors General,1,252,0.3968
