semantic_pattern,example_rank,aact_outcome_title,endpoint_record_count,word_count
object+measurement_operator+explicit_unit+participant_population,3,Percentage of Participants Who Achieved Weight Loss ≥5%,6,8
object+measurement_operator+composite_or_multiple_objects+participant_population,1,Number of Participants Reporting Local Reactogenicity Signs and Symptoms: Erythema and/or Induration,15,12
object+measurement_operator+composite_or_multiple_objects+participant_population,2,Number of Participants Reporting Local Reactogenicity Signs and Symptoms: Pain and/or Tenderness,15,12
object+measurement_operator+composite_or_multiple_objects+participant_population,3,Number of Participants Reporting Local Solicited Adverse Events Signs and Symptoms: Pain and/or Tenderness,4,14
object+measurement_operator+baseline_or_comparator+explicit_unit,1,Change From Baseline in Forced Expiratory Volume in 1 Second (FEV1),15,11
object+measurement_operator+baseline_or_comparator+explicit_unit,2,Change From Baseline in Forced Expiratory Volume in One Second (FEV1),7,11
object+measurement_operator+baseline_or_comparator+explicit_unit,3,Change From Baseline in Peak Forced Expiratory Volume in One Second (FEV1),5,12
object+measurement_operator+explicit_unit,1,Change in Body Weight (kg),14,5
object+measurement_operator+explicit_unit,2,Absolute Change in Percent Predicted Forced Expiratory Volume in 1 Second (ppFEV1),13,12
object+measurement_operator+explicit_unit,3,Change in Body Weight (%),6,4
object+baseline_or_comparator+instrument_or_scale,1,Asthma Control Questionnaire (ACQ),12,4
object+baseline_or_comparator+instrument_or_scale,2,Asthma Control Questionnaire,2,3
object+baseline_or_comparator+instrument_or_scale,3,Baseline Hospital Anxiety and Depression Scale (HADS) Scores,2,8
object+temporal_expression+explicit_unit+participant_population,1,"Overall Survival (OS), the Length of Time, in Months, That Patients Were Alive From Their First Date of Protocol Treatment Until Death",11,22
object+temporal_expression+explicit_unit+participant_population,2,14-day Participant Mortality,7,3
object+temporal_expression+explicit_unit+participant_population,3,"Progression Free Survival (PFS), the Length of Time, in Months, That Patients Were Alive From Their First Date of Protocol Treatment Until Worsening of Their Disease",7,26
object+temporal_expression+measurement_operator+baseline_or_comparator+explicit_unit+participant_population,1,Percentage of Patients With at Least 5% Weight Loss From Baseline at Week 24,10,14
object+temporal_expression+measurement_operator+baseline_or_comparator+explicit_unit+participant_population,2,Change From Baseline in Patient Oriented Eczema Measure (POEM) at Week 16,5,12
object+temporal_expression+measurement_operator+baseline_or_comparator+explicit_unit+participant_population,3,Change From Baseline in SBP at Week 12 for All Participants,4,11
object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale+explicit_unit,1,Change From Baseline on the Sleep Scale From the Medical Outcomes Study (MOS Sleep Scale) - Average Hours of Sleep,9,19
object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale+explicit_unit,2,Change From Baseline in Dermatology Life Quality Index (DLQI) at Week 16,8,12
object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale+explicit_unit,3,Change From Baseline in Sheehan Disability Scale (SDS) Total Score at Week 8,8,13
object+temporal_expression+measurement_operator+baseline_or_comparator,1,Change From Baseline in Daytime (6am to 10 pm) Mean Diastolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring.,8,19
object+temporal_expression+measurement_operator+baseline_or_comparator,2,Change From Baseline in Daytime (6am to 10 pm) Mean Systolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring.,8,19
object+temporal_expression+measurement_operator+baseline_or_comparator,3,Change From Baseline in the Nighttime (12 am to 6 am) Mean Diastolic Blood Pressure Measured by Ambulatory Blood Pressure Monitoring.,8,21
object+temporal_expression+measurement_operator+instrument_or_scale,1,Pain Score at Rest,8,4
object+temporal_expression+measurement_operator+instrument_or_scale,2,Overall Response Rate (ORR) by Investigator Assessment,5,7
object+temporal_expression+measurement_operator+instrument_or_scale,3,Hb Level at Each Assessment Time Point,4,7
object+measurement_operator+instrument_or_scale+participant_population,1,Patient Satisfaction Score,7,3
object+measurement_operator+instrument_or_scale+participant_population,2,Patient Global Impression of Change (PGIC) Score,6,7
object+measurement_operator+instrument_or_scale+participant_population,3,Subject Satisfaction Score,6,3
object+temporal_expression+instrument_or_scale+explicit_unit,1,Time Unwell in Days as Measured by the Symptom and Clinical Event Scale,7,13
object+temporal_expression+instrument_or_scale+explicit_unit,2,Body Mass Index at Week 12,6,6
object+temporal_expression+instrument_or_scale+explicit_unit,3,3 Months Assessment for Beck Anxiety Inventory (BAI),4,8
object+temporal_expression+measurement_operator+instrument_or_scale+explicit_unit,1,Mean Days Benefit as Measured by the Symptom and Clinical Event Scale,7,12
object+temporal_expression+measurement_operator+instrument_or_scale+explicit_unit,2,Number of In-treatment Pregnancies (With +2 Day Window) Per 100 Woman Years of Exposure (Pearl Index),5,16
object+temporal_expression+measurement_operator+instrument_or_scale+explicit_unit,3,Change in Clinical Status Using CGI-I Score at Week 8,4,10
object+temporal_expression+instrument_or_scale,1,Quality of Life (QOL) as Measured by the PROMIS-29 - Anxiety,7,10
object+temporal_expression+instrument_or_scale,2,Quality of Life (QOL) as Measured by the PROMIS-29 - Fatigue,7,10
object+temporal_expression+instrument_or_scale,3,Quality of Life (QOL) as Measured by the PROMIS-29 - Pain,7,10
object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale,1,Change From Baseline in Average Pain Intensity as Measured by the Numeric Rating Scale (NRS),6,15
object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale,2,Time to an Improvement of One Category From Baseline Using an Ordinal Scale,4,13
object+temporal_expression+measurement_operator+baseline_or_comparator+instrument_or_scale,3,Time to an Improvement of Two Categories From Baseline Using an Ordinal Scale,4,13
object+temporal_expression+measurement_operator+instrument_or_scale+explicit_unit+participant_population,1,Number of Participants at Each Score on the COVID Clinical Progression Scale at Day 7,6,15
object+temporal_expression+measurement_operator+instrument_or_scale+explicit_unit+participant_population,2,Percentage of Participants With a Psoriasis Area and Severity Index 90 (PASI90) Response at Week 16,4,16
object+temporal_expression+measurement_operator+instrument_or_scale+explicit_unit+participant_population,3,Number of Participants Meeting Criteria for Each of the 8 Ordinal Scale Categories on Day 8,3,16
object+temporal_expression+measurement_operator+baseline_or_comparator+participant_population,1,Change From Baseline for Overall Improvement as Measured by Patient's Global Impression of Change,6,15
object+temporal_expression+measurement_operator+baseline_or_comparator+participant_population,2,Percent of Participants With Clinical Global Impression - Severity of Illness (CGI-S) at Baseline,3,13
object+temporal_expression+measurement_operator+baseline_or_comparator+participant_population,3,Percentage of Participants With Systemic Manifestations of RA at Baseline,3,10
object+explicit_unit+participant_population,1,Participants Who Achieve Weight Loss ≥5% (Yes/no),5,7
object+explicit_unit+participant_population,2,Participants Who Achieve Weight Loss ≥10% (Yes/no),4,7
object+explicit_unit+participant_population,3,Participants Who Achieve HbA1c <7.0% (53 mmol/Mol) ADA Target (Yes/no),3,11
object+measurement_operator+baseline_or_comparator+instrument_or_scale+participant_population,1,Change From Baseline in Patient's Global Assessment of Disease Activity,5,11
object+measurement_operator+baseline_or_comparator+instrument_or_scale+participant_population,2,Change From Baseline in the Total Score of the Patient Oriented Eczema Measure (POEM),5,14
object+measurement_operator+baseline_or_comparator+instrument_or_scale+participant_population,3,Change From Baseline in the Patient Global Impression of Severity-Atopic Dermatitis (PGI-S-AD) Score,4,13
object+temporal_expression+participant_population,1,Patients With Treatment-Emergent Adverse Experiences (TEAE) During the Treatment Period,5,10
object+temporal_expression+participant_population,2,Pain Perceived by Patient,3,4
object+temporal_expression+participant_population,3,Participants With a Positive Anti-Reslizumab Antibody Status During Study,3,9
object+measurement_operator+baseline_or_comparator+explicit_unit+participant_population,1,Number of Participants With Glycosylated Hemoglobin Decrease From Baseline ≥ 0.5%.,5,11
object+measurement_operator+baseline_or_comparator+explicit_unit+participant_population,2,Number of Participants With Glycosylated Hemoglobin Decrease From Baseline ≥ 1.0%.,5,11
object+measurement_operator+baseline_or_comparator+explicit_unit+participant_population,3,Number of Participants With Glycosylated Hemoglobin Decrease From Baseline ≥ 1.5%.,5,11
object+temporal_expression+measurement_operator+explicit_unit+composite_or_multiple_objects+participant_population,1,Percentage of Participants With Missing Sustained Virologic Response 12 Weeks Post-Treatment (SVR12) Data and/or Nonresponders Who Did Not Meet Specific SVR12 Nonresponder Criteria,5,23
object+temporal_expression+measurement_operator+explicit_unit+composite_or_multiple_objects+participant_population,2,Number of Participants With Any Occurrence of Unplanned Re-hospitalization and/or Any Emergency/Urgent Care Visits Within 30 Days of Hospital Discharge,2,20
object+temporal_expression+measurement_operator+explicit_unit+composite_or_multiple_objects+participant_population,3,Number of Subjects With 6-Month Composite Clinical Success,2,8
object+temporal_expression+baseline_or_comparator,1,Intraocular Pressure (IOP) at Baseline,5,5
object+temporal_expression+baseline_or_comparator,2,Apolipoprotein A1 at Baseline and at the Primary Efficacy Time Point,3,11
object+temporal_expression+baseline_or_comparator,3,Apolipoprotein B at Baseline and at the Primary Efficacy Time Point,3,11
object+baseline_or_comparator+participant_population,1,Subject's New York Heart Association (NYHA) Functional Class Compared to Baseline,5,12
