disease_domain,outcome_category,observed_endpoint_domain_records,expected_under_independence,within_domain_pct,standardized_residual,residual_flag
Disorder of ear,Response Rates,51,166.238791,1.860635,-8.937839,underrepresented
Situation with explicit context,Dose-Finding,13,104.781611,0.045862,-8.966297,underrepresented
Disorder of skin,Other Clinical Endpoints,63,185.037948,0.343193,-8.971488,underrepresented
Disorder of immune function,Pharmacokinetics,1475,1864.885527,5.963451,-9.028405,underrepresented
Disorder of immune function,Survival/Time-to-Event,986,1317.540039,3.986415,-9.133854,underrepresented
Injury,Survival/Time-to-Event,44,161.509719,1.451187,-9.246438,underrepresented
Disorder of the genitourinary system,Response Rates,932,1266.835410,4.461892,-9.407436,underrepresented
Disorder of labour / delivery,Response Rates,38,155.685872,1.480327,-9.431912,underrepresented
Clinical finding,Disease Control,89,235.451697,0.760424,-9.544287,underrepresented
Disorder of skin,Adverse Events/Safety,2136,2627.630385,11.635888,-9.590839,underrepresented
Respiratory disease,Imaging Outcomes,634,932.803563,2.151048,-9.783419,underrepresented
Mental illness,Dose-Finding,32,156.636421,0.075518,-9.958607,underrepresented
Neurological disorder,Hospitalization/Healthcare Use,762,1092.866749,1.818703,-10.008512,underrepresented
Disorder of the genitourinary system,Functional Status,701,1020.988780,3.355994,-10.014385,underrepresented
Disorder of haemostatic system,Vital Signs/Physical Measures,235,448.472097,2.818422,-10.080299,underrepresented
Clinical finding,Mortality,31,158.384926,0.264867,-10.121878,underrepresented
Disorder of haemostatic system,Functional Status,203,407.554790,2.434637,-10.132501,underrepresented
Disorder of ear,Survival/Time-to-Event,23,146.008622,0.839110,-10.179965,underrepresented
Disorder of immune function,Hospitalization/Healthcare Use,386,645.161253,1.560605,-10.203189,underrepresented
Neoplastic disease,Other Clinical Endpoints,664,985.619141,0.679075,-10.244419,underrepresented
Injury,Response Rates,44,183.887637,1.451187,-10.315804,underrepresented
Neurological disorder,Vital Signs/Physical Measures,1755,2253.548084,4.188744,-10.502039,underrepresented
Disorder of skin,Imaging Outcomes,327,580.968820,1.781337,-10.536685,underrepresented
Injury,Pharmacokinetics,69,228.605681,2.275726,-10.556133,underrepresented
Disorder of ear,Pharmacokinetics,54,206.664964,1.970084,-10.619546,underrepresented
Disorder of endocrine system,Mortality,340,601.900611,0.764423,-10.675153,underrepresented
Musculoskeletal disorder,Disease Control,235,470.501050,1.004789,-10.857068,underrepresented
Blood disease,Vital Signs/Physical Measures,364,640.705160,3.055742,-10.931711,underrepresented
Mental illness,Hospitalization/Healthcare Use,738,1105.282725,1.741634,-11.047495,underrepresented
Respiratory disease,Immunogenicity,518,840.856233,1.757481,-11.133925,underrepresented
Disorder of eye,Mortality,48,209.497355,0.310057,-11.157738,underrepresented
Disorder of endocrine system,Hospitalization/Healthcare Use,780,1160.163427,1.753676,-11.161196,underrepresented
Disorder of labour / delivery,Pharmacokinetics,36,193.545773,1.402415,-11.324392,underrepresented
Procedure,Disease Activity Scores,95,289.336207,0.856319,-11.424898,underrepresented
Respiratory disease,Remission/Cure,23,175.917494,0.078035,-11.529293,underrepresented
Disorder of eye,Adverse Events/Safety,1670,2215.958272,10.787417,-11.597881,underrepresented
Disorder of digestive system,Functional Status,757,1151.056338,3.214574,-11.614754,underrepresented
Disorder of haemostatic system,Quality of Life/PRO,500,838.626639,5.996642,-11.693292,underrepresented
Blood disease,Disease Activity Scores,102,310.669993,0.856279,-11.838873,underrepresented
Injury,Biomarkers/Lab Values,181,427.043014,5.969657,-11.906256,underrepresented
Infection,Dose-Finding,31,200.880093,0.057045,-11.985994,underrepresented
Neurological disorder,Remission/Cure,60,250.070950,0.143205,-12.019437,underrepresented
Clinical finding,Disease Activity Scores,94,305.245265,0.803144,-12.091008,underrepresented
Blood disease,Quality of Life/PRO,779,1198.095529,6.539624,-12.107858,underrepresented
Sleep disorder,Immunogenicity,13,171.885689,0.215768,-12.118948,underrepresented
Blood disease,Immunogenicity,116,339.834411,0.973808,-12.142082,underrepresented
Disorder of haemostatic system,Response Rates,231,505.691002,2.770449,-12.215235,underrepresented
Situation with explicit context,Remission/Cure,8,169.184953,0.028223,-12.392063,underrepresented
Blood disease,Imaging Outcomes,134,376.995183,1.124916,-12.514969,underrepresented
Disorder of skin,Treatment Adherence,228,511.869682,1.242033,-12.546983,underrepresented
Blood disease,Functional Status,278,582.249059,2.333781,-12.608832,underrepresented
Disorder of eye,Hospitalization/Healthcare Use,147,403.806152,0.949551,-12.779650,underrepresented
Procedure,Biomarkers/Lab Values,1055,1562.537994,9.509645,-12.839652,underrepresented
Situation with explicit context,Mortality,131,383.593568,0.462146,-12.896939,underrepresented
Clinical finding,Imaging Outcomes,121,370.412326,1.033835,-12.959111,underrepresented
Cardiovascular disease,Remission/Cure,22,212.367523,0.061831,-13.063177,underrepresented
Disorder of haemostatic system,Survival/Time-to-Event,167,444.151728,2.002878,-13.150792,underrepresented
Disorder of ear,Biomarkers/Lab Values,127,386.057025,4.633345,-13.184682,underrepresented
Musculoskeletal disorder,Microbiological/Virological,25,223.131937,0.106892,-13.263973,underrepresented
Musculoskeletal disorder,Mortality,80,316.499201,0.342056,-13.293623,underrepresented
Disorder of endocrine system,Remission/Cure,47,265.469848,0.105670,-13.408615,underrepresented
Disorder of eye,Response Rates,523,938.906501,3.378335,-13.573271,underrepresented
Disorder of skin,Vital Signs/Physical Measures,559,987.359353,3.045160,-13.632347,underrepresented
Neoplastic disease,Imaging Outcomes,2331,3094.575977,2.383923,-13.726243,underrepresented
Disorder of skin,Hospitalization/Healthcare Use,178,478.823689,0.969657,-13.747516,underrepresented
Disorder of the genitourinary system,Survival/Time-to-Event,648,1112.669861,3.102260,-13.930328,underrepresented
Sleep disorder,Response Rates,96,365.409965,1.593361,-14.093649,underrepresented
Disorder of immune function,Symptoms/Pain,1136,1728.357444,4.592868,-14.248432,underrepresented
Disorder of endocrine system,Disease Control,461,894.772776,1.036467,-14.501266,underrepresented
Disorder of skin,Immunogenicity,189,523.702174,1.029580,-14.625689,underrepresented
Situation with explicit context,Imaging Outcomes,456,897.104220,1.608693,-14.727186,underrepresented
Disorder of skin,Mortality,16,248.416959,0.087160,-14.746101,underrepresented
Musculoskeletal disorder,Biomarkers/Lab Values,2430,3294.090372,10.389944,-15.055369,underrepresented
Sleep disorder,Biomarkers/Lab Values,401,848.593060,6.655602,-15.365037,underrepresented
Sleep disorder,Pharmacokinetics,125,454.270854,2.074689,-15.448839,underrepresented
Disorder of skin,Pharmacokinetics,801,1384.074700,4.363458,-15.672722,underrepresented
Procedure,Immunogenicity,34,316.497898,0.306472,-15.879243,underrepresented
Neurological disorder,Disease Control,380,842.870403,0.906965,-15.943329,underrepresented
Musculoskeletal disorder,Adverse Events/Safety,2424,3347.770303,10.364289,-15.965634,underrepresented
Neurological disorder,Immunogenicity,642,1195.297362,1.532293,-16.003708,underrepresented
Blood disease,Mental Health Outcomes,198,600.553709,1.662189,-16.426608,underrepresented
Disorder of endocrine system,Functional Status,1407,2174.049166,3.163362,-16.450857,underrepresented
Sleep disorder,Survival/Time-to-Event,26,320.941972,0.431535,-16.463544,underrepresented
Cardiovascular disease,Microbiological/Virological,35,339.458588,0.098367,-16.524747,underrepresented
Disorder of the genitourinary system,Disease Activity Scores,156,544.767865,0.746840,-16.656533,underrepresented
Neurological disorder,Adverse Events/Safety,4706,5997.301186,11.232040,-16.674377,underrepresented
Mental illness,Imaging Outcomes,730,1341.067319,1.722755,-16.686443,underrepresented
Situation with explicit context,Disease Control,171,570.242122,0.603260,-16.718862,underrepresented
Sleep disorder,Adverse Events/Safety,368,862.421587,6.107884,-16.835950,underrepresented
Clinical finding,Survival/Time-to-Event,203,623.453086,1.734450,-16.838975,underrepresented
Clinical finding,Pharmacokinetics,377,882.454120,3.221121,-17.015146,underrepresented
Neurological disorder,Microbiological/Virological,58,399.725581,0.138431,-17.092143,underrepresented
Disorder of eye,Immunogenicity,80,441.653503,0.516762,-17.208849,underrepresented
Disorder of endocrine system,Microbiological/Virological,68,424.339930,0.152885,-17.298464,underrepresented
Disorder of haemostatic system,Symptoms/Pain,162,582.641076,1.942912,-17.426539,underrepresented
Disorder of haemostatic system,Mental Health Outcomes,63,420.367430,0.755577,-17.430122,underrepresented
Disorder of endocrine system,Pharmacokinetics,2336,3353.536770,5.252035,-17.571085,underrepresented
Procedure,Response Rates,217,672.839527,1.956012,-17.573418,underrepresented
Blood disease,Symptoms/Pain,323,832.384324,2.711551,-17.655647,underrepresented
Mental illness,Disease Activity Scores,512,1105.131823,1.208288,-17.842027,underrepresented
Musculoskeletal disorder,Mental Health Outcomes,565,1179.126104,2.415769,-17.884526,underrepresented
Respiratory disease,Disease Activity Scores,270,768.694373,0.916062,-17.986954,underrepresented
Mental illness,Microbiological/Virological,35,404.266833,0.082598,-18.365648,underrepresented
Cardiovascular disease,Quality of Life/PRO,2441,3578.696862,6.860403,-19.017968,underrepresented
Situation with explicit context,Biomarkers/Lab Values,2790,3992.401475,9.842659,-19.029720,underrepresented
Disorder of immune function,Vital Signs/Physical Measures,633,1330.356063,2.559230,-19.119240,underrepresented
Mental illness,Mortality,104,573.428132,0.245434,-19.603319,underrepresented
Neoplastic disease,Immunogenicity,1750,2789.540695,1.789732,-19.682268,underrepresented
Disorder of the genitourinary system,Immunogenicity,109,595.908427,0.521831,-19.946079,underrepresented
Situation with explicit context,Symptoms/Pain,1084,1980.756049,3.824173,-20.149247,underrepresented
Clinical finding,Biomarkers/Lab Values,829,1648.453639,7.083049,-20.183014,underrepresented
Clinical finding,Response Rates,172,709.835391,1.469583,-20.186943,underrepresented
Cardiovascular disease,Survival/Time-to-Event,990,1895.342126,2.782384,-20.795479,underrepresented
Disorder of endocrine system,Mental Health Outcomes,1248,2242.396564,2.805882,-20.999232,underrepresented
Disorder of the genitourinary system,Mental Health Outcomes,368,1053.086457,1.761777,-21.111222,underrepresented
Respiratory disease,Survival/Time-to-Event,731,1570.032147,2.480152,-21.175044,underrepresented
Disorder of skin,Biomarkers/Lab Values,1484,2585.497561,8.084110,-21.662645,underrepresented
Cardiovascular disease,Disease Activity Scores,267,927.967513,0.750400,-21.697701,underrepresented
Disorder of eye,Survival/Time-to-Event,196,824.647746,1.266068,-21.891379,underrepresented
Situation with explicit context,Disease Activity Scores,142,739.275656,0.500953,-21.967044,underrepresented
Musculoskeletal disorder,Vital Signs/Physical Measures,477,1257.959392,2.039507,-22.018876,underrepresented
Disorder of digestive system,Mental Health Outcomes,420,1187.243057,1.783515,-22.267074,underrepresented
Disorder of skin,Mental Health Outcomes,235,925.483919,1.280166,-22.697035,underrepresented
Neoplastic disease,Treatment Adherence,1541,2726.513998,1.575987,-22.704023,underrepresented
Disorder of skin,Functional Status,208,897.275519,1.133083,-23.010706,underrepresented
Disorder of digestive system,Survival/Time-to-Event,420,1254.417013,1.783515,-23.559289,underrepresented
Disorder of skin,Survival/Time-to-Event,240,977.847599,1.307403,-23.595603,underrepresented
Disorder of endocrine system,Disease Activity Scores,343,1160.005032,0.771168,-23.988042,underrepresented
Mental illness,Response Rates,1348,2569.938897,3.181196,-24.103943,underrepresented
Disorder of endocrine system,Adverse Events/Safety,4441,6366.603708,9.984712,-24.133094,underrepresented
Disorder of eye,Mental Health Outcomes,103,780.487909,0.665332,-24.250375,underrepresented
Disorder of endocrine system,Symptoms/Pain,1736,3108.024679,3.903053,-24.610458,underrepresented
Musculoskeletal disorder,Survival/Time-to-Event,364,1245.840804,1.556354,-24.983824,underrepresented
Neurological disorder,Pharmacokinetics,1750,3159.010828,4.176810,-25.069102,underrepresented
Neoplastic disease,Microbiological/Virological,153,932.864751,0.156474,-25.533476,underrepresented
Mental illness,Disease Control,95,852.446189,0.224194,-25.942887,underrepresented
Disorder of endocrine system,Response Rates,1342,2697.544302,3.017222,-26.099334,underrepresented
Disorder of eye,Biomarkers/Lab Values,954,2180.426418,6.162393,-26.264599,underrepresented
Disorder of eye,Pharmacokinetics,266,1167.231052,1.718235,-26.378964,underrepresented
Disorder of immune function,Mental Health Outcomes,313,1246.985850,1.265465,-26.449017,underrepresented
Cardiovascular disease,Mental Health Outcomes,669,1793.846669,1.880217,-26.558324,underrepresented
Infection,Vital Signs/Physical Measures,1454,2922.921465,2.675598,-27.170023,underrepresented
Infection,Disease Activity Scores,393,1417.288400,0.723184,-27.207782,underrepresented
Neurological disorder,Response Rates,1147,2541.069994,2.737601,-27.655166,underrepresented
Disorder of endocrine system,Immunogenicity,275,1268.901524,0.618283,-27.901619,underrepresented
Musculoskeletal disorder,Pharmacokinetics,561,1763.400287,2.398666,-28.633446,underrepresented
Neoplastic disease,Hospitalization/Healthcare Use,1064,2550.491926,1.088157,-29.434088,underrepresented
Cardiovascular disease,Immunogenicity,65,1015.081279,0.182682,-29.820186,underrepresented
Respiratory disease,Mental Health Outcomes,310,1485.957020,1.051774,-30.506215,underrepresented
Infection,Survival/Time-to-Event,1246,2894.763417,2.292844,-30.644448,underrepresented
Infection,Imaging Outcomes,408,1719.866459,0.750787,-31.633137,underrepresented
Neurological disorder,Survival/Time-to-Event,710,2231.838464,1.694592,-32.213445,underrepresented
Respiratory disease,Response Rates,421,1787.567354,1.428378,-32.322120,underrepresented
Neurological disorder,Biomarkers/Lab Values,3391,5901.137268,8.093465,-32.676055,underrepresented
Cardiovascular disease,Response Rates,640,2157.950533,1.798713,-32.676601,underrepresented
Situation with explicit context,Survival/Time-to-Event,222,1509.945418,0.783179,-33.144909,underrepresented
Cardiovascular disease,Pharmacokinetics,922,2682.723859,2.591271,-33.994078,underrepresented
Mental illness,Immunogenicity,26,1208.877044,0.061358,-34.021115,underrepresented
Mental illness,Pharmacokinetics,1205,3194.900110,2.843725,-35.204861,underrepresented
Neoplastic disease,Quality of Life/PRO,6277,9834.602152,6.419513,-35.873932,underrepresented
Situation with explicit context,Response Rates,219,1719.155330,0.772596,-36.180842,underrepresented
Cardiovascular disease,Symptoms/Pain,675,2486.321914,1.897080,-36.325948,underrepresented
Mental illness,Biomarkers/Lab Values,3158,5968.179641,7.452683,-36.375849,underrepresented
Infection,Mental Health Outcomes,835,2739.749010,1.536536,-36.390026,underrepresented
Disorder of endocrine system,Survival/Time-to-Event,530,2369.270877,1.191600,-37.786645,underrepresented
Infection,Quality of Life/PRO,2469,5465.757668,4.543363,-40.534651,underrepresented
Infection,Symptoms/Pain,1293,3797.369152,2.379331,-40.640303,underrepresented
Mental illness,Survival/Time-to-Event,266,2257.194212,0.627743,-41.911109,underrepresented
Neoplastic disease,Disease Activity Scores,386,2550.143712,0.394764,-42.855224,underrepresented
Infection,Functional Status,393,2656.242498,0.723184,-43.913417,underrepresented
Mental illness,Adverse Events/Safety,2193,6065.436070,5.175343,-49.722533,underrepresented
Neoplastic disease,Biomarkers/Lab Values,7927,13771.855508,8.106975,-49.805528,underrepresented
Neoplastic disease,Functional Status,1203,4779.408414,1.230313,-51.732091,underrepresented
Neoplastic disease,Mental Health Outcomes,1195,4929.662666,1.222131,-53.191566,underrepresented
Neoplastic disease,Vital Signs/Physical Measures,1385,5259.247021,1.416445,-53.422662,underrepresented
Neoplastic disease,Symptoms/Pain,2269,6832.651044,2.320515,-55.210008,underrepresented
