disease_domain,outcome_category,observed_endpoint_domain_records,expected_under_independence,within_domain_pct,standardized_residual,residual_flag
Disorder of immune function,Response Rates,2207,1500.091298,8.922940,18.251749,overrepresented
Disorder of eye,Symptoms/Pain,1682,1081.778184,10.864931,18.249151,overrepresented
Disorder of eye,Quality of Life/PRO,2277,1557.061525,14.708352,18.244942,overrepresented
Procedure,Adverse Events/Safety,2313,1588.000844,20.849108,18.193327,overrepresented
Disorder of ear,Immunogenicity,237,78.197290,8.646479,17.958169,overrepresented
Injury,Mental Health Outcomes,373,152.860884,12.302111,17.805289,overrepresented
Injury,Functional Status,358,148.201742,11.807388,17.233569,overrepresented
Neurological disorder,Imaging Outcomes,1931,1326.002703,4.608812,16.614269,overrepresented
Situation with explicit context,Immunogenicity,1277,808.675808,4.505045,16.468702,overrepresented
Disorder of labour / delivery,Adverse Events/Safety,681,367.441695,26.529022,16.357770,overrepresented
Blood disease,Response Rates,1143,722.450374,9.595366,15.646357,overrepresented
Disorder of eye,Disease Activity Scores,717,403.751021,4.631484,15.589524,overrepresented
Disorder of digestive system,Biomarkers/Lab Values,4209,3316.766469,17.873370,15.492485,overrepresented
Mental illness,Other Clinical Endpoints,719,427.128508,1.696795,14.122527,overrepresented
Infection,Pharmacokinetics,4997,4097.334608,9.195297,14.054982,overrepresented
Infection,Mortality,1113,735.399183,2.048102,13.924235,overrepresented
Respiratory disease,Symptoms/Pain,2663,2059.578205,9.035082,13.296332,overrepresented
Blood disease,Mortality,328,161.199696,2.753526,13.137561,overrepresented
Disorder of labour / delivery,Other Clinical Endpoints,89,25.875274,3.467082,12.409578,overrepresented
Disorder of skin,Disease Control,594,369.291422,3.235823,11.693245,overrepresented
Disorder of body system,Vital Signs/Physical Measures,169,71.751233,12.668666,11.480728,overrepresented
Disorder of eye,Disease Control,512,311.434357,3.307280,11.365100,overrepresented
Situation with explicit context,Treatment Adherence,1109,790.404641,3.912369,11.332212,overrepresented
Injury,Hospitalization/Healthcare Use,179,79.086639,5.903694,11.234972,overrepresented
Clinical finding,Hospitalization/Healthcare Use,501,305.286945,4.280588,11.201229,overrepresented
Procedure,Other Clinical Endpoints,229,111.827150,2.064179,11.080347,overrepresented
Congenital disease,Imaging Outcomes,159,69.341542,7.256960,10.766995,overrepresented
Neurological disorder,Disease Activity Scores,1446,1092.717542,3.451239,10.687303,overrepresented
Disorder of haemostatic system,Pharmacokinetics,896,628.665623,10.745982,10.662154,overrepresented
Blood disease,Adverse Events/Safety,2141,1705.089783,17.973472,10.556584,overrepresented
Disorder of labour / delivery,Vital Signs/Physical Measures,259,138.070026,10.089599,10.291632,overrepresented
Cardiovascular disease,Other Clinical Endpoints,549,358.655294,1.542958,10.050836,overrepresented
Disorder of the genitourinary system,Other Clinical Endpoints,355,210.550344,1.699540,9.954937,overrepresented
Disorder of the genitourinary system,Hospitalization/Healthcare Use,775,544.842251,3.710264,9.860302,overrepresented
Blood disease,Dose-Finding,108,44.032970,0.906649,9.639782,overrepresented
Disorder of body system,Functional Status,143,65.204856,10.719640,9.634130,overrepresented
Respiratory disease,Functional Status,1799,1440.665613,6.103685,9.440759,overrepresented
Disorder of haemostatic system,Mortality,213,112.834374,2.554569,9.429703,overrepresented
Mental illness,Symptoms/Pain,3472,2961.001793,8.193704,9.390745,overrepresented
Injury,Other Clinical Endpoints,81,30.562459,2.671504,9.123464,overrepresented
Disorder of eye,Vital Signs/Physical Measures,1089,832.669289,7.034429,8.883096,overrepresented
Injury,Quality of Life/PRO,460,304.955141,15.171504,8.878496,overrepresented
Clinical finding,Quality of Life/PRO,1466,1177.175124,12.525632,8.418100,overrepresented
Cardiovascular disease,Disease Control,919,715.790057,2.582839,7.595426,overrepresented
Situation with explicit context,Quality of Life/PRO,3254,2851.008720,11.479574,7.547383,overrepresented
Disorder of body system,Mental Health Outcomes,129,67.254756,9.670165,7.529082,overrepresented
Sleep disorder,Treatment Adherence,264,168.002115,4.381743,7.406351,overrepresented
Mental illness,Remission/Cure,358,252.911987,0.844858,6.607976,overrepresented
Sleep disorder,Vital Signs/Physical Measures,443,324.063850,7.352697,6.606913,overrepresented
Procedure,Symptoms/Pain,958,775.224286,8.635298,6.564548,overrepresented
Disorder of digestive system,Hospitalization/Healthcare Use,773,614.251732,3.282517,6.405246,overrepresented
Injury,Treatment Adherence,143,84.544799,4.716359,6.357403,overrepresented
Congenital disease,Functional Status,172,107.094333,7.850297,6.271904,overrepresented
Respiratory disease,Mortality,519,398.858280,1.760874,6.015677,overrepresented
Congenital disease,Pharmacokinetics,242,165.196256,11.045185,5.975611,overrepresented
Disorder of ear,Symptoms/Pain,274,191.535043,9.996352,5.958615,overrepresented
Infection,Treatment Adherence,1740,1515.309370,3.201884,5.772106,overrepresented
Disorder of immune function,Biomarkers/Lab Values,3818,3483.668175,15.436242,5.664471,overrepresented
Disorder of digestive system,Disease Control,592,473.739919,2.513907,5.433356,overrepresented
Disorder of ear,Other Clinical Endpoints,56,27.629189,2.043050,5.397438,overrepresented
Injury,Imaging Outcomes,148,95.957807,4.881266,5.312702,overrepresented
Situation with explicit context,Other Clinical Endpoints,368,285.726735,1.298243,4.867246,overrepresented
